beat_id,section,start,spoken_end,visual_end,duration_sec,route,canonical_asset,source,origin,gfx_id,motion,transition
B001,S01,0,5.4,6.34,6.34,GENERATED_R5_PASS,B001.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121010_4676da5f-bbf6-4876-b648-c348e26594fa.png,R5_TEST10_PASS,,PUSH_1PCT,HARD_CUT
B002,S01,6.34,7,7.76,1.42,GENERATED_R7,B002.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160844_06779bba-5d10-41cd-87a6-5c5bc68c35b8.png,R7_BATCH15,,STATIC,HARD_CUT
B003,S01,7.76,8.66,9.48,1.72,GENERATED_R7,B003.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163252_47de0fcb-99fa-438e-9fdb-b3b0069eebea.png,R7_BATCH35,,STATIC,HARD_CUT
B004,S01,9.48,10.48,11.16,1.68,GENERATED_R5_PASS,B004.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121009_378df3ec-d265-4b5f-9077-7b5a45b67803.png,R5_TEST10_PASS,,STATIC,HARD_CUT
B005,S01,11.16,21.76,22.3,11.14,GENERATED_R7,B005.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160843_a227d178-816f-4552-b2d2-6c70521e1a4d.png,R7_BATCH15,,PUSH_1PCT,HARD_CUT
B006,S01,22.3,29.24,30.12,7.82,GENERATED_R5_PASS,B006.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121012_58d38764-b55e-4400-8624-fbf3e9b37b54.png,R5_TEST10_PASS,,STATIC,HARD_CUT
B007,S01,30.12,36.64,37.38,7.26,EDITOR_BUILD,B007_EDITOR.png,DC011_SEVEN_GUILTY_DOJ.png,DETERMINISTIC_SOURCE_EDITOR,,PUSH_1PCT,HARD_CUT
B008,S01,37.38,52.66,53.28,15.9,FINAL_GFX,GFX-01_three_legal_consequences_dossier.png,GFX_ARCHIVE,G14-001,G14-001,STATIC,HARD_CUT
B009,S01,53.28,61.64,61.64,8.36,GENERATED_R7,B009.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160843_11aa00d4-2501-410a-9d12-f6a0ce895476.png,R7_BATCH15,,STATIC,HARD_CUT
B010,S01,61.64,73.98,74.68,13.04,GENERATED_R7,B010.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160844_2fd9995c-9f2c-4102-aa1c-b326ccebe477.png,R7_BATCH15,,PUSH_1PCT,HARD_CUT
