generation_slot,beat_id,frame_family,style_lock,layout_lock,text_lock,subtitle_safe,legal_lock,source_fidelity,person_lock,rights_gate,raw_document_gate,non_monotony,no_21b,spend_gate,overall
G001,B002,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G002,B003,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G003,B004,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G004,B005,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G005,B006,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G006,B011,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G007,B013,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G008,B014,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G009,B015,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G010,B017,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G011,B018,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G012,B019,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G013,B021,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G014,B024,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G015,B026,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G016,B027,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G017,B028,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G018,B029,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G019,B031,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G020,B032,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G021,B033,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G022,B035,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G023,B036,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G024,B037,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G025,B038,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G026,B039,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G027,B040,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G028,B041,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G029,B042,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G030,B043,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G031,B044,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G032,B046,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G033,B047,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G034,B048,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G035,B049,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G036,B050,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G037,B051,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G038,B056,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G039,B057,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G040,B058,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G041,B060,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G042,B062,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G043,B063,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G044,B064,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G045,B066,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G046,B067,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G047,B068,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G048,B070,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
