source_id,source_type,title,publisher,author,url,court_or_agency,case_name,docket_number,filing_date,publication_date,access_date,primary_or_secondary,authority_level,archived_copy,status,notes
S001,COMPANY_STATEMENT,Adobe to Acquire Figma,Adobe,,https://news.adobe.com/news/news-details/2022/adobe-to-acquire-figma,,Adobe / Figma proposed merger,,,2022-09-15,2026-09-25,PRIMARY,TIER_1,,VERIFIED,"Original transaction announcement; approximately $20B, about half cash and half stock, subject to regulatory approvals and other closing conditions."
S002,SEC_FILING,Adobe Form 8-K — merger agreement,U.S. SEC / Adobe Inc.,,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_8k.htm,U.S. Securities and Exchange Commission,Adobe / Figma proposed merger,SEC File 0-15175,2022-09-15,2022-09-15,2026-09-25,PRIMARY,TIER_1,,VERIFIED,Adobe filing announcing execution of the Agreement and Plan of Merger.
S003,CONTRACT_EXHIBIT,Agreement and Plan of Merger — Adobe / Figma,U.S. SEC / Adobe Inc.,,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,U.S. Securities and Exchange Commission,Adobe / Figma proposed merger,Exhibit 2.1,2022-09-15,2022-09-15,2026-09-25,PRIMARY,TIER_1,,VERIFIED,Controlling contract. Section 8.2 sets $1B termination fee mechanics and expressly states the fee is not a penalty but liquidated damages.
S004,SEC_FILING,Figma Consent Solicitation Statement / Adobe Prospectus (424B3),U.S. SEC / Adobe Inc. / Figma Inc.,,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,U.S. Securities and Exchange Commission,Adobe / Figma proposed merger,Registration No. 333-268364,2023-01-11,2023-01-11,2026-09-25,PRIMARY,TIER_1,,VERIFIED,"Detailed deal background, negotiation chronology, regulatory conditions and reverse termination fee summary; Annex A reproduces merger agreement."
S005,SEC_FILING,Adobe Form 10-Q — Figma acquisition risk / reverse termination fee,U.S. SEC / Adobe Inc.,,https://www.sec.gov/Archives/edgar/data/796343/000079634323000055/adbe-20230303.htm,U.S. Securities and Exchange Commission,Adobe / Figma proposed merger,,,2023,2026-09-25,PRIMARY,TIER_1,,VERIFIED,Adobe states $1B reverse termination fee would apply if regulatory clearance failed under specified conditions or transaction failed to close within 18 months.
S006,AGENCY_RECORD,Adobe / Figma merger inquiry,UK Competition and Markets Authority,,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,Competition and Markets Authority,"Anticipated acquisition of Figma, Inc. by Adobe Inc.",,,2023-05-03,2026-09-25,PRIMARY,TIER_1,,VERIFIED,Canonical UK case page. Inquiry opened May 3; Phase 2 referral July 13; provisional findings Nov 28; inquiry cancelled after abandonment; case closed Dec 19.
S007,AGENCY_RECORD,Adobe / Figma deal could harm UK digital design sector,UK Competition and Markets Authority,,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,Competition and Markets Authority,"Anticipated acquisition of Figma, Inc. by Adobe Inc.",,,2023-11-28,2026-09-25,PRIMARY,TIER_1,,VERIFIED,CMA press release summarizing provisional findings; expressly provisional and subject to consultation/final decision.
S008,AGENCY_RECORD,Notice of Possible Remedies — Adobe / Figma,UK Competition and Markets Authority,,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,Competition and Markets Authority,"Anticipated acquisition of Figma, Inc. by Adobe Inc.",,2023-11-28,2023-11-28,2026-09-25,PRIMARY,TIER_1,,VERIFIED,"Possible remedies included prohibition or structural divestiture; document is a consultation-stage remedies notice, not a final order."
S009,PARTY_STATEMENT,Parties’ Joint Response to CMA Issues Statement,Adobe Inc. / Figma Inc. via CMA,,https://assets.publishing.service.gov.uk/media/65155a816dfda600148e37c2/Parties__joint_response_pdfa_28_Sept.pdf,Competition and Markets Authority,"Anticipated acquisition of Figma, Inc. by Adobe Inc.",,2023-09-28,2023-09-28,2026-09-25,PRIMARY,TIER_1,,VERIFIED,"Parties' advocacy record. They argued their products were complementary and the transaction pro-competitive; use only as attributed position, not independent finding."
S010,PARTY_STATEMENT,Parties’ Response to CMA Notice of Possible Remedies,Adobe Inc. / Figma Inc. via CMA,,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Competition and Markets Authority,"Anticipated acquisition of Figma, Inc. by Adobe Inc.",,2023-12-14,2023-12-18,2026-09-25,PRIMARY,TIER_1,,VERIFIED,Parties strongly disagreed with provisional findings and said remedies notice effectively pointed to prohibition or divestiture of Figma Design.
S011,AGENCY_RECORD,Competition Merger Brief 2/2024 — M.11033 Adobe/Figma,"European Commission, DG Competition",DG COMP staff,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission — DG Competition,M.11033 Adobe/Figma,M.11033,,2024-09-25,2026-09-25,PRIMARY,TIER_1,,VERIFIED,"Official Commission staff brief. Records notification June 30 2023, Phase II opening Aug 7, Statement of Objections Nov 17, abandonment Dec 18, and that investigation ended without a formal Commission decision. Brief itself states authors' views do not bind Commission."
S012,AGENCY_RECORD,Antitrust AAG Kanter Statement After Adobe and Figma Abandon Merger,U.S. Department of Justice,Jonathan Kanter,https://www.justice.gov/archives/opa/pr/antitrust-aag-kanter-statement-after-adobe-and-figma-abandon-merger,U.S. Department of Justice — Antitrust Division,Adobe / Figma proposed merger,,,2023-12-18,2026-09-25,PRIMARY,TIER_1,,VERIFIED,Confirms DOJ Antitrust Division conducted an investigation and publicly welcomed abandonment. Does not establish that DOJ filed a lawsuit.
S013,COMPANY_STATEMENT,Adobe and Figma Mutually Agree to Terminate Merger Agreement,Adobe / Figma,,https://news.adobe.com/news/news-details/2023/adobe-and-figma-mutually-agree-to-terminate-merger-agreement,,Adobe / Figma proposed merger,,,2023-12-18,2026-09-25,PRIMARY,TIER_1,,VERIFIED,Joint announcement: companies said no clear path to necessary regulatory approvals from EC and CMA; both continued to disagree with regulatory findings.
S014,SEC_FILING,Adobe Form 8-K — mutual termination,U.S. SEC / Adobe Inc.,,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,U.S. Securities and Exchange Commission,Adobe / Figma proposed merger,SEC File 0-15175,2023-12-18,2023-12-18,2026-09-25,PRIMARY,TIER_1,,VERIFIED,Reports Dec 17 mutual termination; $1B cash termination payment due within three business days; fee described as sole and exclusive remedy under termination arrangement.
