gfx_id,beats,timecode,name,master_png,overlay_png,animation_spec,preview_mp4,qc
G14-001,B007-B010,00:30.120-01:13.980,OPENING LEGAL STACK,G14-001_MASTER_1920x1080.png,G14-001_OVERLAY_1920x1080.png,G14-001_ANIMATION_SPEC.json,G14-001_PREVIEW_8s_25fps.mp4,PASS
G14-002,B017-B025,02:11.060-03:24.200,EXECUTIVE MESSAGE CHRONOLOGY,G14-002_MASTER_1920x1080.png,G14-002_OVERLAY_1920x1080.png,G14-002_ANIMATION_SPEC.json,G14-002_PREVIEW_8s_25fps.mp4,PASS
G14-003,B024-B033,03:10.560-04:43.080,CRITICISM TO SECURITY TO OPERATION,G14-003_MASTER_1920x1080.png,G14-003_OVERLAY_1920x1080.png,G14-003_ANIMATION_SPEC.json,G14-003_PREVIEW_8s_25fps.mp4,PASS
G14-004,B038-B041,05:19.880-05:55.800,GPS / SURVEILLANCE DISTINCTION,G14-004_MASTER_1920x1080.png,G14-004_OVERLAY_1920x1080.png,G14-004_ANIMATION_SPEC.json,G14-004_PREVIEW_8s_25fps.mp4,PASS
G14-005,B042-B047,05:56.860-06:55.800,DISCOVERY TO CORPORATE RESPONSE,G14-005_MASTER_1920x1080.png,G14-005_OVERLAY_1920x1080.png,G14-005_ANIMATION_SPEC.json,G14-005_PREVIEW_8s_25fps.mp4,PASS
G14-006,B048-B054,06:56.540-07:56.000,INDIVIDUAL ACCOUNTABILITY,G14-006_MASTER_1920x1080.png,G14-006_OVERLAY_1920x1080.png,G14-006_ANIMATION_SPEC.json,G14-006_PREVIEW_8s_25fps.mp4,PASS
G14-007,B055-B064,07:57.340-09:15.980,DPA EXPLAINER,G14-007_MASTER_1920x1080.png,G14-007_OVERLAY_1920x1080.png,G14-007_ANIMATION_SPEC.json,G14-007_PREVIEW_8s_25fps.mp4,PASS
G14-008,B067-B080,09:30.640-11:49.000,CIVIL LIABILITY LADDER,G14-008_MASTER_1920x1080.png,G14-008_OVERLAY_1920x1080.png,G14-008_ANIMATION_SPEC.json,G14-008_PREVIEW_8s_25fps.mp4,PASS
G14-009,B081-B087,11:50.380-12:41.360,SETTLEMENT TIMELINE,G14-009_MASTER_1920x1080.png,G14-009_OVERLAY_1920x1080.png,G14-009_ANIMATION_SPEC.json,G14-009_PREVIEW_8s_25fps.mp4,PASS
G14-010,B088-B097,12:42.080-13:35.940,SETTLEMENT MONEY BREAKDOWN,G14-010_MASTER_1920x1080.png,G14-010_OVERLAY_1920x1080.png,G14-010_ANIMATION_SPEC.json,G14-010_PREVIEW_8s_25fps.mp4,PASS
G14-011,B098-B101,13:36.540-14:03.700,TWO SEPARATE LEGAL TRACKS,G14-011_MASTER_1920x1080.png,G14-011_OVERLAY_1920x1080.png,G14-011_ANIMATION_SPEC.json,G14-011_PREVIEW_8s_25fps.mp4,PASS
G14-012,B102-B115,14:04.600-15:56.920,ENDING RECAP,G14-012_MASTER_1920x1080.png,G14-012_OVERLAY_1920x1080.png,G14-012_ANIMATION_SPEC.json,G14-012_PREVIEW_8s_25fps.mp4,PASS
