visual_source_id,source_id,type,title,url,usage,status,rights_or_provenance,beats_or_gfx
VSR-001,S009,COURT_ORDER,"Steiner v. eBay — Memorandum and Order (Aug. 12 2025)","https://docs.justia.com/cases/federal/district-courts/massachusetts/madce/1%3A2021cv11181/236568/711","Exact source crops / court-status support",SOURCE_READY,"Authentic federal court order; crop minimally; redact personal data if present","B014;B017-B030;B065-B080;GFX-002;GFX-003;GFX-007;GFX-012;GFX-014"
VSR-002,S002,DPA,"United States v. eBay Inc. — Deferred Prosecution Agreement","https://www.justice.gov/usao-ma/media/1332791/dl","Corporate admissions / GPS-attempt / DPA crops",SOURCE_READY,"Authentic legal source; excerpt only; retain DOJ/case metadata","B008;B044;B057-B064;B098-B101;B109;GFX-006;GFX-011;GFX-014"
VSR-003,S003,CRIMINAL_INFORMATION,"United States v. eBay Inc. — Criminal Information","https://www.justice.gov/usao-ma/media/1333086/dl","Six-count charging document / message screenshots",SOURCE_READY,"Authentic court filing; charge ≠ conviction","B008;B044;B054-B056;GFX-006"
VSR-004,S001,DOJ_CASE_PAGE,"U.S. v. eBay, Inc.","https://www.justice.gov/usao-ma/case/us-v-ebay-inc","Official overview / DPA / penalty / monitor",SOURCE_READY,"Official DOJ case page","GFX-001;GFX-006;GFX-011"
VSR-005,S004,DOJ_RELEASE,"Final Defendant in eBay Cyberstalking Case Sentenced","https://www.justice.gov/usao-ma/pr/final-defendant-ebay-cyberstalking-case-sentenced","Seven guilty pleas / sentencing spine",SOURCE_READY,"Official DOJ release","B007;B048-B053;B108;B112;GFX-005"
VSR-006,S005,DOJ_RELEASE,"Two Former eBay Executives Sentenced to Prison for Cyberstalking","https://www.justice.gov/usao-ma/pr/two-former-ebay-executives-sentenced-prison-cyberstalking","Baugh 57 months / Harville 24 months",SOURCE_READY,"Official DOJ release","B050-B051;GFX-005"
VSR-007,S012,EBAY_STATEMENT,"eBay agreement with U.S. Attorney's Office","https://www.ebayinc.com/stories/news/ebay-agreement-us-attorney-office-mass/","Company position / DPA context",SOURCE_READY,"First-party company statement; keep attribution","B046;B062-B064"
VSR-008,S013,EBAY_STATEMENT,"eBay statement regarding agreement with Ina and David Steiner","https://www.ebayinc.com/stories/news/ebay-statement-regarding-agreement-with-ina-and-david-steiner/","July 2026 apology / company-position crop",SOURCE_READY,"First-party company statement; exact scope only","B009;B102-B103;B106;B114-B115"
VSR-009,S014,PARTY_COUNSEL,"$55.7M settlement terms","https://www.ecommercebytes.com/2026/07/27/ebay-and-execs-settle-cyberstalking-case-for-55-7-million-in-compensation-and-charitable-commitments/","Exact announced allocation",SOURCE_READY,"Party-side primary announcement; figures corroborated independently","B085-B101;B110-B113;GFX-008-GFX-011;GFX-013;GFX-015"
VSR-010,S015,REUTERS_REFERENCE,"Feb. 25 2026 settlement in principle","https://www.reuters.com/legal/government/couple-harassed-by-ebay-employees-settle-lawsuit-against-company-ex-ceo-2026-02-25/","Chronology corroboration only",REFERENCE_ONLY_NO_SCREENSHOT,"Copyrighted news report; do not use article body as visual asset","B081-B083;GFX-013"
VSR-011,S016,REUTERS_REFERENCE,"June 2026 settlement failed / case reopened","https://www.reuters.com/legal/government/ebay-faces-new-trial-over-harassment-couple-after-settlement-fizzles-2026-06-17/","Chronology corroboration only",REFERENCE_ONLY_NO_SCREENSHOT,"Copyrighted news report; do not use article body as visual asset","B083-B085;GFX-013"
VSR-012,S017,REUTERS_REFERENCE,"July 2026 final settlement","https://www.reuters.com/legal/government/ebay-former-executives-pay-56-million-settle-couples-harassment-case-2026-07-28/","Settlement corroboration only",REFERENCE_ONLY_NO_SCREENSHOT,"Copyrighted news report; figures used as factual corroboration, not screenshot asset","GFX-008-GFX-011"
VSR-013,,PUBLICATION_CONTEXT,"EcommerceBytes — About","https://www.ecommercebytes.com/about/","Authentic publication context / site capture",SOURCE_READY,"Publisher-owned webpage; minimal documentary screenshot; rights refresh at Stage 16","B011-B016"
VSR-014,,PUBLICATION_CONTEXT,"EcommerceBytes 2019 editorial example","https://www.ecommercebytes.com/2019/05/11/from-the-editor-may-12-2019/","2019 publication/context capture",SOURCE_READY,"Publisher-owned webpage; minimal documentary screenshot; no photo reuse without separate rights clearance","B011-B016"
VSR-015,,CC_PHOTO,"eBay headquarters 2018","https://commons.wikimedia.org/wiki/File:EBay_headquarters_2018.jpg","Corporate establishing photo",SOURCE_READY,"CC BY-SA 4.0; credit Coolcaesar; link license; indicate crop/changes","B006;B046;B061;B064"
VSR-016,,CC_PHOTO,"Looking west. Downtown Natick, MA","https://commons.wikimedia.org/wiki/File:Looking_west._Downtown_Natick,_MA.jpg","Natick establishing context",SOURCE_READY,"CC BY-SA 2.0; credit source author per file page; link license; indicate changes","B001;B028;B038;B041-B042"
VSR-017,,OFFICIAL_MEDIA,"eBay Press Room — Campus Photos / B-Roll","https://www.ebayinc.com/stories/press-room/","Optional official corporate B-roll source",SOURCE_READY,"Official eBay media-download portal; verify asset-specific terms before use","B006;B046;B061;B064"
