beat_id,section,start,end,frame_type,template_id,template_variant,secondary_template_id,primary_live_asset,secondary_live_assets,factual_source_ids,claim_ids,needs_gfx,gfx_ids,subtitle_safe_zone,caption_collision_rule,short_ids,shorts_9x16_strategy,production_note
B001,S01,0.000,5.400,map,T05,GEOGRAPHY_CONTEXT,,NATICK_CENTER_2020_CC_BY_SA.jpg,SOUTH_NATICK_BACON_LIBRARY_CC0.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,S001;S009,C010,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B002,S01,6.340,7.000,evidence,T01,PHYSICAL_EVIDENCE,,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg,S001;S009;S012,C010,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Authentic/real context first; never let shock treatment become horror. Source label above subtitle-safe line.
B003,S01,7.760,8.660,evidence,T01,MESSAGE_OR_HARASSMENT_EVIDENCE,,DC006_DELIVERIES_GPS_ATTEMPT.png,DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg;NATURAL_EARTH_50M_US_STATES.zip,S001;S009;S012,C010,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Authentic/real context first; never let shock treatment become horror. Source label above subtitle-safe line.
B004,S01,9.480,10.480,evidence,T01,AUTHENTIC_SHOCK_EVIDENCE,,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg,S001;S009;S012,C010,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Authentic/real context first; never let shock treatment become horror. Source label above subtitle-safe line.
B005,S01,11.160,21.760,map,T05,GEOGRAPHY_CONTEXT,,NATURAL_EARTH_50M_US_STATES.zip,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,S009;S001,C012,YES,GFX-004;GFX-014,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B006,S01,22.300,29.240,corporate/location,T05,CORPORATE_OR_LOCATION_ESTABLISHING,,EBAY_HQ_2018_CC_BY_SA.jpg,LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg;LIVE_SAN_JOSE_SKYLINE_CC_BY.jpg,S001;S009,C002,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B007,S01,30.120,36.640,dossier,T07,PARTICIPANTS_ACCOUNTABILITY_BOARD,T03,DC011_SEVEN_GUILTY_DOJ.png,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,S004,C016,YES,GFX-001;GFX-005,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use DOJ/court-backed names/statuses/sentences. Do not use unsourced portraits; guilty pleas and sentences must remain person-specific.
B008,S01,37.380,52.660,timeline,T06,OPERATION_OR_CASE_TIMELINE,T04,S002_EBAY_DEFERRED_PROSECUTION_AGREEMENT.pdf,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png,S001;S002;S003;S012,C019,YES,GFX-001;GFX-006,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,3–5 events maximum per frame; date spine and causal flow above subtitle-safe band. Do not cram the entire case into one screen.
B009,S01,53.280,61.640,money,T04,PENALTY_OR_COST,,S020_D986_STIPULATION_DISMISSAL.pdf,S013_EBAY_2026_SETTLEMENT_STATEMENT_REFERENCE.html,S014;S017;S018;S013,C028,YES,GFX-001;GFX-008,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,All material numbers are editor-native and source-bound. Keep $3M DPA separate from $55.7M civil package; settlement is not a judgment.
B010,S01,61.640,73.980,timeline,T06,OPERATION_OR_CASE_TIMELINE,,NATICK_CENTER_2020_CC_BY_SA.jpg,SOUTH_NATICK_BACON_LIBRARY_CC0.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,S009;S001,C003,YES,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,3–5 events maximum per frame; date spine and causal flow above subtitle-safe band. Do not cram the entire case into one screen.
B011,S02,74.680,82.100,corporate/location,T05,CORPORATE_OR_LOCATION_ESTABLISHING,,EBAY_HQ_2018_CC_BY_SA.jpg,S003_EBAY_CRIMINAL_INFORMATION.pdf;DC018_CIVIL_COMPLAINT_COVER.png,S009,C001,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
