claim_id,script_ref,claim_text,claim_class,legal_status,asserted_by,target,source_ids,primary_source_present,corroboration,verification_status,wording_guardrail,last_checked,notes
C001,S01;S02;S05,"On September 15, 2022, Adobe and Figma signed a definitive merger agreement for Adobe to acquire Figma for approximately $20 billion, roughly half cash and half Adobe stock.",DEAL_TERMS,UNDISPUTED_FACT,Adobe / Figma / SEC filings,Proposed transaction,S001;S002;S003;S004,yes,S016;S017,VERIFIED,Use approximately $20B; do not describe $20B as money actually paid because the acquisition never closed.,2026-09-25,
C002,S02;S05,The transaction required regulatory clearances and other closing conditions and the parties originally expected it to close in 2023.,DEAL_CONDITIONS,UNDISPUTED_FACT,Adobe,Proposed transaction,S001;S003;S004,yes,S005,VERIFIED,"Expected closing date was forward-looking, not guaranteed.",2026-09-25,
C003,S03,The 2022 negotiation record shows Adobe's June 19 proposal offered $20B and did not yet include a termination fee; Figma later proposed a reverse termination fee tied to antitrust-clearance failure.,NEGOTIATION_HISTORY,UNDISPUTED_FACT,Figma/Adobe SEC prospectus,Deal negotiations,S004,yes,,VERIFIED,Describe as the transaction background disclosed to Figma stockholders; do not infer unrecorded motives.,2026-09-25,
C004,S03,"By July 20, 2022, Adobe's revised proposal included a $1 billion reverse termination fee.",NEGOTIATION_HISTORY,UNDISPUTED_FACT,Figma/Adobe SEC prospectus,Deal negotiations,S004,yes,S003,VERIFIED,"This was negotiated contract risk allocation, not a later government-imposed charge.",2026-09-25,
C005,S04;S13,Section 8.2 of the merger agreement required a $1 billion cash termination fee in specified antitrust-clearance/closing circumstances and expressly stated that the fee was not a penalty but liquidated damages.,CONTRACT_MECHANISM,UNDISPUTED_FACT,Merger Agreement,Adobe / Figma,S003;S004,yes,S005,VERIFIED,"Never call the $1B a fine, antitrust penalty, damages award, or regulator-imposed payment.",2026-09-25,Core WHAT IT COST mechanism.
C006,,The merger agreement required reasonable best efforts to obtain regulatory approval but did not require Adobe to divest Adobe assets or Figma assets if such a Figma divestiture would reasonably be expected to be material to Figma.,CONTRACT_MECHANISM,UNDISPUTED_FACT,Merger Agreement,Regulatory remedies,S003;S004,yes,,VERIFIED,Use only if explaining contractual limits on remedy actions; do not state this clause itself caused termination.,2026-09-25,Potential narrative explanation for why extreme structural remedies mattered.
C007,S06,"The UK CMA opened its Adobe/Figma merger inquiry on May 3, 2023.",REGULATORY_CHRONOLOGY,UNDISPUTED_FACT,CMA,Proposed transaction,S006,yes,,VERIFIED,,2026-09-25,
C008,S06,"On June 30, 2023, the CMA said it was or may be the case that the merger could substantially lessen competition and the transaction was referred for an in-depth Phase 2 investigation on July 13.",REGULATORY_CHRONOLOGY,UNDISPUTED_FACT,CMA,Proposed transaction,S006,yes,,VERIFIED,"These were merger-review thresholds, not final findings of illegality.",2026-09-25,
C009,S06;S07,"The European Commission received notification of the proposed acquisition on June 30, 2023, opened an in-depth investigation on August 7, and adopted a Statement of Objections on November 17.",REGULATORY_CHRONOLOGY,UNDISPUTED_FACT,European Commission DG Competition,Proposed transaction,S011,yes,S013,VERIFIED,A Statement of Objections is preliminary and is not a final decision.,2026-09-25,M.11033.
C010,S07,"On November 28, 2023, the CMA provisionally identified competition concerns in all-in-one product design, vector editing and raster editing software.",REGULATORY_POSITION,CLAIM,CMA,Proposed transaction,S006;S007;S008,yes,,VERIFIED,Always use provisionally/provisional findings; never convert into a final finding that the merger was unlawful.,2026-09-25,
C011,S07,The CMA's provisional remedies notice considered prohibition of the merger or structural divestitures and said divesting Figma Design would be substantially similar to prohibition but with added risks.,REGULATORY_POSITION,CLAIM,CMA,Possible remedies,S008,yes,S010,VERIFIED,Possible remedies only; no final remedy or prohibition order was issued.,2026-09-25,
C012,S08,Adobe and Figma strongly disagreed with the CMA's provisional findings and argued that their products and capabilities were complementary and that the transaction would be pro-competitive.,PARTY_POSITION,DENIAL,Adobe / Figma,CMA competition concerns,S009;S010;S013,yes,,VERIFIED,Always attribute as the parties' position; not an independent finding.,2026-09-25,
