beat_id,section,factual_source_ids,physical_assets,primary_asset,production_route,source_role,source_integrity_rule,all_physical_assets_exist,missing_assets
B001,S01,S001;S009,NATICK_CENTER_2020_CC_BY_SA.jpg;SOUTH_NATICK_BACON_LIBRARY_CC0.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B002,S01,S001;S009;S012,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg,COCKROACH_CC0.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B003,S01,S001;S009;S012,DC022_THREATENING_MESSAGES.png,DC022_THREATENING_MESSAGES.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B004,S01,S001;S009;S012,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B005,S01,S009;S001,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,DC006_DELIVERIES_GPS_ATTEMPT.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B006,S01,S001;S009,EBAY_HQ_2018_CC_BY_SA.jpg;LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg,EBAY_HQ_2018_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B007,S01,S004,DC011_SEVEN_GUILTY_DOJ.png,DC011_SEVEN_GUILTY_DOJ.png,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B008,S01,S001;S002;S003;S012,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC015_DPA_CRIMINAL_PENALTY.png,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B009,S01,S014;S017;S018;S013,S020_D986_STIPULATION_DISMISSAL.pdf;EBAY_HQ_2018_CC_BY_SA.jpg,S020_D986_STIPULATION_DISMISSAL.pdf,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B010,S01,S009;S001,EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,EBAY_HQ_2018_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
