beat_id,section,start,end,production_route,execution_mode,frame_family,style_reference_name,style_reference_media_id,factual_source_origin,job_input_after_preprocessing,prepared_input_required,raw_docs_do_not_attach,exact_text,support_text,composition,legal_guardrail,production_prompt,status
B001,S01,0.000,5.400,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T06,R6_STYLE_NEUTRAL_MAP_TIMELINE,PENDING_OWNER_APPROVAL_NOT_GENERATED,NATICK_CENTER_2020_CC_BY_SA.jpg;SOUTH_NATICK_BACON_LIBRARY_CC0.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg; SOUTH_NATICK_BACON_LIBRARY_CC0.jpg,NONE,,MASSACHUSETTS — AUGUST 2019,,vertical chronology on left with one large date; authentic source/photo panel right; clipped note at upper-right; one red timeline marker; no crowded event list,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B001 — 16:9 WHAT IT COST
PURPOSE: MASSACHUSETTS — AUGUST 2019
NARRATION: ""In August twenty nineteen, a couple in Massachusetts began receiving things that made no sense.""
TEXT: ""MASSACHUSETTS — AUGUST 2019""
ATTACH: NATICK_CENTER_2020_CC_BY_SA.jpg; SOUTH_NATICK_BACON_LIBRARY_CC0.jpg; STYLE LAST: R6_STYLE_NEUTRAL_MAP_TIMELINE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: vertical chronology on left with one large date; authentic source/photo panel right; clipped note at upper-right; one red timeline marker; no crowded event list
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_NEUTRAL_STYLE_REF
B002,S01,6.340,7.000,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T01,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg,COCKROACH_CC0.jpg; SPIDER_CC0.jpg; LARVAE_CC0.jpg,NONE,,LIVE INSECTS,,two-source asymmetrical collage: dominant authentic source upper-right and smaller context crop upper-left; headline mid-left; black negative space below; one subtle binder-clip or file-tab element,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B002 — 16:9 WHAT IT COST
PURPOSE: LIVE INSECTS
NARRATION: ""Live insects.""
TEXT: ""LIVE INSECTS""
ATTACH: COCKROACH_CC0.jpg; SPIDER_CC0.jpg; LARVAE_CC0.jpg; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: two-source asymmetrical collage: dominant authentic source upper-right and smaller context crop upper-left; headline mid-left; black negative space below; one subtle binder-clip or file-tab element
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_NEUTRAL_STYLE_REF
B003,S01,7.760,8.660,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T03,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC022_THREATENING_MESSAGES.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B003_DC022_THREATENING_MESSAGES.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B003_DC022_THREATENING_MESSAGES.png,,THREATENING MESSAGES,,wide horizontal authentic excerpt across upper half; condensed headline above-left; one clipped corner/tab; black textured negative space below for captions,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B003 — 16:9 WHAT IT COST
PURPOSE: THREATENING MESSAGES
NARRATION: ""Threatening messages.""
TEXT: ""THREATENING MESSAGES""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B003_DC022_THREATENING_MESSAGES.png; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: wide horizontal authentic excerpt across upper half; condensed headline above-left; one clipped corner/tab; black textured negative space below for captions
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B004,S01,9.480,10.480,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T01,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,NONE,,A BLOODY PIG MASK,,large authentic source frame on the right two-thirds; oversized headline left; short red dash above headline; one thin horizontal rule; one small paper tab overlapping the source frame,Authentic evidence without horror/gore treatment.,"BEAT B004 — 16:9 WHAT IT COST
PURPOSE: A BLOODY PIG MASK
NARRATION: ""A bloody pig mask.""
TEXT: ""A BLOODY PIG MASK""
ATTACH: DOJ_FBI_PIG_MASK_AND_BOOK.jpg; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: large authentic source frame on the right two-thirds; oversized headline left; short red dash above headline; one thin horizontal rule; one small paper tab overlapping the source frame
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Authentic evidence without horror/gore treatment.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_NEUTRAL_STYLE_REF
B005,S01,11.160,21.760,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T01,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC006_DELIVERIES_GPS_ATTEMPT.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC007_GPS_GARAGE_ATTEMPT.png; GENERIC_GPS_TRACKER_CC0.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC006_DELIVERIES_GPS_ATTEMPT.png;12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC007_GPS_GARAGE_ATTEMPT.png,,GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED,,hero evidence object centered high on a warm-paper mount; headline upper-left; compact source label above; small red underline; faint secondary evidence edge behind the hero,Tracker attempted; installation not established.,"BEAT B005 — 16:9 WHAT IT COST
PURPOSE: GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED
NARRATION: ""And eventually, people connected to the campaign were watching them in person and trying to put a G-P-S tracker on their car. At first glance, this sounds like an internet stalking story.""
TEXT: ""GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC006_DELIVERIES_GPS_ATTEMPT.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC007_GPS_GARAGE_ATTEMPT.png; GENERIC_GPS_TRACKER_CC0.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: hero evidence object centered high on a warm-paper mount; headline upper-left; compact source label above; small red underline; faint secondary evidence edge behind the hero
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Tracker attempted; installation not established.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B006,S01,22.300,29.240,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T01,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,EBAY_HQ_2018_CC_BY_SA.jpg;LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg,EBAY_HQ_2018_CC_BY_SA.jpg; LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg,NONE,,EBAY SECURITY,,two-source asymmetrical collage: dominant authentic source upper-right and smaller context crop upper-left; headline mid-left; black negative space below; one subtle binder-clip or file-tab element,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B006 — 16:9 WHAT IT COST
PURPOSE: EBAY SECURITY
NARRATION: ""But the people behind it were not anonymous trolls. They worked in, or with, the security organization of eBay.""
TEXT: ""EBAY SECURITY""
ATTACH: EBAY_HQ_2018_CC_BY_SA.jpg; LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: two-source asymmetrical collage: dominant authentic source upper-right and smaller context crop upper-left; headline mid-left; black negative space below; one subtle binder-clip or file-tab element
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_NEUTRAL_STYLE_REF
B007,S01,30.120,36.640,HYBRID_SOURCE_EDITORIAL,HIGGSFIELD_CANDIDATE_BLOCKED,T07,R6_STYLE_NEUTRAL_DOSSIER_LEGAL,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC011_SEVEN_GUILTY_DOJ.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B007_DC011_SEVEN_GUILTY_DOJ.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B007_DC011_SEVEN_GUILTY_DOJ.png,,SEVEN GUILTY PLEAS,ALL SEVEN FEDERALLY PROSECUTED,Large SEVEN GUILTY PLEAS headline left; one tight authentic DOJ excerpt crop right proving the seven pleas; no full-page legal body text; one small source label only.,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B007 — 16:9 WHAT IT COST
PURPOSE: SEVEN GUILTY PLEAS
NARRATION: ""All seven former employees and contractors who were federally prosecuted over the campaign later pleaded guilty.""
TEXT: ""SEVEN GUILTY PLEAS"" | ""ALL SEVEN FEDERALLY PROSECUTED""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B007_DC011_SEVEN_GUILTY_DOJ.png; STYLE LAST: R6_STYLE_NEUTRAL_DOSSIER_LEGAL [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: Large SEVEN GUILTY PLEAS headline left; one tight authentic DOJ excerpt crop right proving the seven pleas; no full-page legal body text; one small source label only.
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B008,S01,37.380,52.660,HYBRID_SOURCE_EDITORIAL,HIGGSFIELD_CANDIDATE_BLOCKED,T04,R6_STYLE_NEUTRAL_DOSSIER_LEGAL,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC015_DPA_CRIMINAL_PENALTY.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC016_DPA_COMPLIANCE_MONITOR.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png; EBAY_HQ_2018_CC_BY_SA.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC015_DPA_CRIMINAL_PENALTY.png;12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC016_DPA_COMPLIANCE_MONITOR.png;12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,,$3M CRIMINAL PENALTY • INDEPENDENT MONITOR,DPA ≠ CONVICTION,"Large $3M CRIMINAL PENALTY at left, INDEPENDENT MONITOR as secondary line; real eBay/company image and two tiny authentic DPA excerpt crops on right; each excerpt is one short highlighted passage only.",DPA is not a conviction. $3M criminal DPA penalty is separate from the $55.7M civil settlement package.,"BEAT B008 — 16:9 WHAT IT COST
PURPOSE: $3M CRIMINAL PENALTY • INDEPENDENT MONITOR
NARRATION: ""Years later, prosecutors filed criminal charges against eBay itself. The company entered a deferred prosecution agreement, admitted a detailed factual account, paid a three-million-dollar criminal penalty, and accepted an independent compliance monitor.""
TEXT: ""$3M CRIMINAL PENALTY • INDEPENDENT MONITOR"" | ""DPA ≠ CONVICTION""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC015_DPA_CRIMINAL_PENALTY.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC016_DPA_COMPLIANCE_MONITOR.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png; EBAY_HQ_2018_CC_BY_SA.jpg; STYLE LAST: R6_STYLE_NEUTRAL_DOSSIER_LEGAL [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: Large $3M CRIMINAL PENALTY at left, INDEPENDENT MONITOR as secondary line; real eBay/company image and two tiny authentic DPA excerpt crops on right; each excerpt is one short highlighted passage only.
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: DPA is not a conviction. $3M criminal DPA penalty is separate from the $55.7M civil settlement package.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B009,S01,53.280,61.640,HYBRID_SOURCE_EDITORIAL,HIGGSFIELD_CANDIDATE_BLOCKED,T04,R6_STYLE_NEUTRAL_DOSSIER_LEGAL,PENDING_OWNER_APPROVAL_NOT_GENERATED,EBAY_HQ_2018_CC_BY_SA.jpg,EBAY_HQ_2018_CC_BY_SA.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B009_SETTLEMENT_55_7_FACT_STRIP.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B009_SETTLEMENT_55_7_FACT_STRIP.png,S020_D986_STIPULATION_DISMISSAL.pdf,$55.7M SETTLEMENT PACKAGE,,large money figure centered high; supporting source image in a bordered panel behind/right; one clipped legal caveat card; thin red underline; generous black negative space,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B009 — 16:9 WHAT IT COST
PURPOSE: $55.7M SETTLEMENT PACKAGE
NARRATION: ""And in July twenty twenty-six, the civil case ended in an announced settlement package worth fifty-five-point-seven million dollars.""
TEXT: ""$55.7M SETTLEMENT PACKAGE""
ATTACH: EBAY_HQ_2018_CC_BY_SA.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B009_SETTLEMENT_55_7_FACT_STRIP.png; STYLE LAST: R6_STYLE_NEUTRAL_DOSSIER_LEGAL [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: large money figure centered high; supporting source image in a bordered panel behind/right; one clipped legal caveat card; thin red underline; generous black negative space
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B010,S01,61.640,73.980,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T01,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,EBAY_HQ_2018_CC_BY_SA.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg,NONE,,CRITICISM → SECURITY → CONSEQUENCE,,two-source asymmetrical collage: dominant authentic source upper-right and smaller context crop upper-left; headline mid-left; black negative space below; one subtle binder-clip or file-tab element,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B010 — 16:9 WHAT IT COST
PURPOSE: CRITICISM → SECURITY → CONSEQUENCE
NARRATION: ""But the strangest part is not what arrived at the front door. It is how criticism of a company became a security problem inside that company — and how the consequences kept growing long after the harassment stopped.""
TEXT: ""CRITICISM → SECURITY → CONSEQUENCE""
ATTACH: EBAY_HQ_2018_CC_BY_SA.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: two-source asymmetrical collage: dominant authentic source upper-right and smaller context crop upper-left; headline mid-left; black negative space below; one subtle binder-clip or file-tab element
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_NEUTRAL_STYLE_REF
