crop_id,source_file,output_file,status,actual_pdf_page,rendered_file
DC001,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC001_CRUSH_THIS_LADY.png,RENDERED,4,DC001_CRUSH_THIS_LADY.png
DC002,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC002_OFF_THE_RADAR.png,RENDERED,5,DC002_OFF_THE_RADAR.png
DC003,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC003_TAKE_HER_DOWN.png,RENDERED,6,DC003_TAKE_HER_DOWN.png
DC004,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC004_NOW_IS_THE_TIME.png,RENDERED,6,DC004_NOW_IS_THE_TIME.png
DC005,S003_EBAY_CRIMINAL_INFORMATION.pdf,DC005_FIDOMASTER_JUNE8.png,RENDERED,5,DC005_FIDOMASTER_JUNE8.png
DC006,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC006_DELIVERIES_GPS_ATTEMPT.png,RENDERED,8,DC006_DELIVERIES_GPS_ATTEMPT.png
DC007,S003_EBAY_CRIMINAL_INFORMATION.pdf,DC007_GPS_GARAGE_ATTEMPT.png,RENDERED,14,DC007_GPS_GARAGE_ATTEMPT.png
DC008,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC008_WENIG_NO_DIRECT_BAUGH.png,RENDERED,40,DC008_WENIG_NO_DIRECT_BAUGH.png
DC009,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC009_WYMER_REASONABLE_JUROR.png,RENDERED,41,DC009_WYMER_REASONABLE_JUROR.png
DC010,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC010_SUMMARY_JUDGMENT_ORDER.png,RENDERED,54,DC010_SUMMARY_JUDGMENT_ORDER.png
DC011,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC011_SEVEN_GUILTY_DOJ.png,RENDERED,1,DC011_SEVEN_GUILTY_DOJ.png
DC012,S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,RENDERED,1,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png
DC015,S002_EBAY_DEFERRED_PROSECUTION_AGREEMENT.pdf,DC015_DPA_CRIMINAL_PENALTY.png,RENDERED,6,DC015_DPA_CRIMINAL_PENALTY.png
DC016,S002_EBAY_DEFERRED_PROSECUTION_AGREEMENT.pdf,DC016_DPA_COMPLIANCE_MONITOR.png,RENDERED,3,DC016_DPA_COMPLIANCE_MONITOR.png
DC017,S002_EBAY_DEFERRED_PROSECUTION_AGREEMENT.pdf,DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,RENDERED,1,DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png
DC018,S010_STEINER_CIVIL_COMPLAINT.pdf,DC018_CIVIL_COMPLAINT_COVER.png,RENDERED,1,DC018_CIVIL_COMPLAINT_COVER.png
DC021,S003_EBAY_CRIMINAL_INFORMATION.pdf,DC021_CRAIGSLIST_HARASSMENT.png,RENDERED,13,DC021_CRAIGSLIST_HARASSMENT.png
DC022,S003_EBAY_CRIMINAL_INFORMATION.pdf,DC022_THREATENING_MESSAGES.png,RENDERED,3,DC022_THREATENING_MESSAGES.png
DC023,S003_EBAY_CRIMINAL_INFORMATION.pdf,DC023_OBSTRUCTION_DELETION.png,ANCHOR_NOT_FOUND,,
