word_index,section,start,end,alignment,word
1,S01,0.000,0.240,DIRECT,Adobe
2,S01,0.240,0.780,DIRECT,agreed
3,S01,0.780,0.980,DIRECT,to
4,S01,0.980,1.160,DIRECT,buy
5,S01,1.160,1.620,DIRECT,Figma
6,S01,1.620,1.900,DIRECT,for
7,S01,1.900,2.100,DIRECT,about
8,S01,2.100,2.560,ALIGNED,twenty
9,S01,2.560,2.900,DIRECT,billion
10,S01,2.900,3.860,ALIGNED,dollars.
11,S01,3.860,4.180,DIRECT,The
12,S01,4.180,4.480,DIRECT,acquisition
13,S01,4.480,5.000,DIRECT,never
14,S01,5.000,5.360,DIRECT,closed.
15,S01,6.440,6.450,DIRECT,Adobe
16,S01,6.450,6.780,DIRECT,still
17,S01,6.780,7.120,DIRECT,paid
18,S01,7.120,7.520,DIRECT,Figma
19,S01,7.520,7.820,ALIGNED,one
20,S01,7.820,8.160,DIRECT,billion
21,S01,8.160,9.080,ALIGNED,dollars.
22,S01,9.080,9.600,DIRECT,That
23,S01,9.600,9.840,DIRECT,billion
24,S01,9.840,10.420,DIRECT,dollars
25,S01,10.420,10.600,DIRECT,was
26,S01,10.600,10.820,DIRECT,not
27,S01,10.820,10.920,DIRECT,a
28,S01,10.920,11.120,DIRECT,government
29,S01,11.120,11.520,DIRECT,fine.
30,S01,12.240,12.460,DIRECT,It
31,S01,12.460,12.580,DIRECT,was
32,S01,12.580,12.800,DIRECT,not
33,S01,12.800,12.940,DIRECT,a
34,S01,12.940,13.100,DIRECT,court
35,S01,13.100,13.440,DIRECT,judgment.
36,S01,14.080,14.260,DIRECT,And
37,S01,14.260,14.360,DIRECT,it
38,S01,14.360,14.440,DIRECT,was
39,S01,14.440,14.660,DIRECT,not
40,S01,14.660,14.920,DIRECT,part
41,S01,14.920,15.060,DIRECT,of
42,S01,15.060,15.160,DIRECT,the
43,S01,15.160,15.900,ALIGNED,twenty-billion-dollar
44,S01,15.900,16.380,DIRECT,purchase
45,S01,16.380,16.880,DIRECT,price.
46,S01,17.580,17.680,DIRECT,It
47,S01,17.680,17.820,DIRECT,was
48,S01,17.820,17.920,DIRECT,a
49,S01,17.920,18.260,DIRECT,contractual
50,S01,18.260,18.960,DIRECT,termination
51,S01,18.960,19.580,DIRECT,payment
52,S01,20.220,20.500,DIRECT,money
53,S01,20.500,20.840,DIRECT,Adobe
54,S01,20.840,21.160,DIRECT,had
55,S01,21.160,21.420,DIRECT,agreed
56,S01,21.420,21.740,DIRECT,could
57,S01,21.740,22.140,DIRECT,become
58,S01,22.140,22.400,DIRECT,due
59,S01,22.400,22.800,DIRECT,if
60,S01,22.800,22.960,DIRECT,the
61,S01,22.960,23.100,DIRECT,deal
62,S01,23.100,23.540,DIRECT,failed
63,S01,23.540,24.100,DIRECT,under
64,S01,24.100,24.580,DIRECT,specified
65,S01,24.580,25.160,DIRECT,closing
66,S01,25.160,25.560,DIRECT,and
67,S01,25.560,25.800,DIRECT,regulatory
68,S01,25.800,26.700,DIRECT,circumstances.
69,S01,27.440,27.800,DIRECT,The
70,S01,27.800,28.700,ALIGNED,billion-dollar
71,S01,28.700,29.080,DIRECT,consequence
72,S01,29.080,29.640,DIRECT,was
73,S01,29.640,29.860,DIRECT,not
74,S01,29.860,30.160,DIRECT,invented
75,S01,30.160,30.780,DIRECT,after
76,S01,30.780,31.000,DIRECT,the
77,S01,31.000,31.500,DIRECT,acquisition
78,S01,31.500,31.920,DIRECT,collapsed.
79,S01,32.840,32.940,DIRECT,It
80,S01,32.940,33.020,DIRECT,had
81,S01,33.020,33.180,DIRECT,been
82,S01,33.180,33.680,DIRECT,negotiated
83,S01,33.680,34.120,DIRECT,before
84,S01,34.120,34.500,DIRECT,the
85,S01,34.500,34.700,DIRECT,merger
86,S01,34.700,35.180,DIRECT,agreement
87,S01,35.180,35.460,DIRECT,was
88,S01,35.460,35.660,DIRECT,even
89,S01,35.660,36.100,DIRECT,signed.
90,S01,37.040,37.280,DIRECT,So
91,S01,37.520,37.600,DIRECT,the
92,S01,37.600,37.760,DIRECT,real
93,S01,37.760,38.120,DIRECT,story
94,S01,38.120,38.440,DIRECT,is
95,S01,38.440,38.640,DIRECT,not
96,S01,38.640,39.040,DIRECT,simply
97,S01,39.040,39.360,DIRECT,why
98,S01,39.360,39.780,DIRECT,regulators
99,S01,39.780,40.280,DIRECT,had
100,S01,40.280,40.680,DIRECT,concerns
101,S01,40.680,41.420,DIRECT,about
102,S01,41.420,41.600,DIRECT,Adobe
103,S01,41.600,42.280,DIRECT,buying
104,S01,42.280,42.720,DIRECT,Figma.
105,S01,43.580,43.700,DIRECT,It
106,S01,43.700,43.800,DIRECT,is
107,S01,43.800,43.980,DIRECT,how
108,S01,43.980,44.160,DIRECT,two
109,S01,44.160,44.580,DIRECT,companies
110,S01,44.580,44.940,DIRECT,priced
111,S01,44.940,45.240,DIRECT,the
112,S01,45.240,45.540,DIRECT,risk
113,S01,45.540,45.900,DIRECT,that
114,S01,45.900,46.020,DIRECT,the
115,S01,46.020,46.300,DIRECT,deal
116,S01,46.300,46.520,DIRECT,might
117,S01,46.520,46.840,DIRECT,never
118,S01,46.840,47.160,DIRECT,close
119,S01,47.760,48.080,DIRECT,and
120,S01,48.080,48.260,DIRECT,how
121,S01,48.260,48.440,DIRECT,that
122,S01,48.440,48.860,DIRECT,risk
123,S01,48.860,49.320,DIRECT,eventually
124,S01,49.320,49.740,DIRECT,became
125,S01,49.740,49.940,DIRECT,a
126,S01,49.940,50.200,DIRECT,real
127,S01,50.200,51.220,ALIGNED,one-billion-dollar
128,S01,51.220,51.820,DIRECT,cash
129,S01,51.820,52.320,DIRECT,payment.
130,S02,53.320,53.660,DIRECT,Figma
131,S02,53.660,53.860,DIRECT,had
132,S02,53.860,54.060,DIRECT,become
133,S02,54.060,54.300,DIRECT,a
134,S02,54.300,54.620,DIRECT,major
135,S02,54.620,55.220,DIRECT,collaborative
136,S02,55.220,55.520,DIRECT,design
137,S02,55.520,56.180,DIRECT,platform
138,S02,56.180,56.620,DIRECT,used
139,S02,56.620,56.940,DIRECT,by
140,S02,56.940,57.240,DIRECT,product
141,S02,57.240,57.580,DIRECT,teams.
142,S02,58.580,58.720,DIRECT,Its
143,S02,58.720,59.080,DIRECT,value
144,S02,59.080,59.320,DIRECT,was
145,S02,59.320,59.500,DIRECT,not
146,S02,59.500,59.840,DIRECT,just
147,S02,59.840,60.000,DIRECT,in
148,S02,60.000,60.200,DIRECT,drawing
149,S02,60.200,60.900,DIRECT,interfaces.
150,S02,61.700,61.920,DIRECT,Teams
151,S02,61.920,62.240,DIRECT,could
152,S02,62.240,62.480,DIRECT,work
153,S02,62.480,62.640,DIRECT,in
154,S02,62.640,62.740,DIRECT,the
155,S02,62.740,62.940,DIRECT,same
156,S02,62.940,63.360,DIRECT,"files,"
157,S02,63.900,64.200,DIRECT,"comment,"
158,S02,65.020,65.030,DIRECT,"prototype,"
159,S02,65.540,65.800,DIRECT,maintain
160,S02,65.800,66.400,DIRECT,shared
161,S02,66.400,66.700,DIRECT,design
162,S02,66.700,67.100,DIRECT,systems
163,S02,67.840,67.880,DIRECT,and
164,S02,67.880,68.080,DIRECT,move
165,S02,68.080,68.400,DIRECT,work
166,S02,68.400,68.760,DIRECT,between
167,S02,68.760,69.140,DIRECT,design
168,S02,69.140,69.460,DIRECT,and
169,S02,69.460,69.780,DIRECT,development.
170,S02,71.060,71.070,DIRECT,Adobe
171,S02,71.070,71.440,DIRECT,was
172,S02,71.440,71.640,DIRECT,one
173,S02,71.640,71.740,DIRECT,of
174,S02,71.740,71.840,DIRECT,the
175,S02,71.840,72.260,DIRECT,world's
176,S02,72.260,72.720,DIRECT,largest
177,S02,72.720,73.460,ALIGNED,creative-software
178,S02,73.460,74.060,DIRECT,"companies,"
179,S02,74.600,74.700,DIRECT,with
180,S02,74.700,75.080,DIRECT,products
181,S02,75.080,75.520,DIRECT,including
182,S02,75.520,75.960,DIRECT,"Photoshop,"
183,S02,76.760,77.160,DIRECT,Illustrator
184,S02,77.720,77.740,DIRECT,and
185,S02,77.740,77.980,DIRECT,Adobe
186,S02,77.980,78.520,DIRECT,XD.
187,S02,79.450,79.820,DIRECT,That
188,S02,79.820,80.100,DIRECT,meant
189,S02,80.100,80.280,DIRECT,the
190,S02,80.280,80.580,DIRECT,proposed
191,S02,80.580,80.960,DIRECT,acquisition
192,S02,80.960,81.580,DIRECT,was
193,S02,81.580,81.820,DIRECT,not
194,S02,81.820,82.100,DIRECT,just
195,S02,82.100,82.240,DIRECT,a
196,S02,82.240,82.480,DIRECT,large
197,S02,82.480,82.840,DIRECT,financial
198,S02,82.840,83.600,DIRECT,transaction.
199,S02,84.560,84.660,DIRECT,It
200,S02,84.660,84.940,DIRECT,connected
201,S02,84.940,85.320,DIRECT,two
202,S02,85.320,85.680,DIRECT,companies
203,S02,85.680,86.180,DIRECT,whose
204,S02,86.180,86.540,DIRECT,products
205,S02,86.540,86.900,DIRECT,touched
206,S02,86.900,87.240,DIRECT,important
207,S02,87.240,87.800,DIRECT,parts
208,S02,87.800,88.060,DIRECT,of
209,S02,88.060,88.160,DIRECT,the
210,S02,88.160,88.920,ALIGNED,digital-design
211,S02,88.920,89.260,DIRECT,"workflow,"
212,S02,89.960,90.380,DIRECT,even
213,S02,90.380,90.600,DIRECT,though
214,S02,90.600,90.780,DIRECT,Adobe
215,S02,90.780,91.240,DIRECT,and
216,S02,91.240,91.660,DIRECT,Figma
217,S02,91.660,91.940,DIRECT,later
218,S02,91.940,92.400,DIRECT,disputed
219,S02,92.400,93.020,DIRECT,how
220,S02,93.020,93.360,DIRECT,directly
221,S02,93.360,93.740,DIRECT,their
222,S02,93.740,94.020,DIRECT,products
223,S02,94.020,94.540,DIRECT,competed.
224,S02,95.480,95.620,DIRECT,On
225,S02,95.620,95.800,DIRECT,September
226,S02,95.800,96.440,ALIGNED,"fifteenth,"
227,S02,96.440,97.080,ALIGNED,twenty
228,S02,97.080,97.720,ALIGNED,"twenty-two,"
229,S02,98.300,98.600,DIRECT,Adobe
230,S02,98.600,99.000,DIRECT,and
231,S02,99.000,99.440,DIRECT,Figma
232,S02,99.440,99.820,DIRECT,announced
233,S02,99.820,100.100,DIRECT,a
234,S02,100.100,100.380,DIRECT,definitive
235,S02,100.380,100.880,DIRECT,merger
236,S02,100.880,101.420,DIRECT,agreement.
237,S02,102.160,102.440,DIRECT,The
238,S02,102.440,102.620,DIRECT,headline
239,S02,102.620,103.140,DIRECT,number
240,S02,103.140,103.400,DIRECT,was
241,S02,103.400,103.940,DIRECT,approximately
242,S02,103.940,104.540,ALIGNED,twenty
243,S02,104.540,104.940,DIRECT,billion
244,S02,104.940,105.860,ALIGNED,dollars.
245,S02,105.860,106.180,DIRECT,The
246,S02,106.180,106.740,DIRECT,consideration
247,S02,106.740,107.260,DIRECT,was
248,S02,107.260,107.680,DIRECT,expected
249,S02,107.680,107.920,DIRECT,to
250,S02,107.920,108.040,DIRECT,be
251,S02,108.040,108.240,DIRECT,roughly
252,S02,108.240,108.680,DIRECT,half
253,S02,108.680,108.940,DIRECT,cash
254,S02,108.940,109.620,DIRECT,and
255,S02,109.620,109.900,DIRECT,half
256,S02,109.900,110.100,DIRECT,Adobe
257,S02,110.100,110.620,DIRECT,stock.
258,S02,111.480,111.720,DIRECT,But
259,S02,111.720,111.860,DIRECT,the
260,S02,111.860,112.180,DIRECT,agreement
261,S02,112.180,112.500,DIRECT,did
262,S02,112.500,112.740,DIRECT,not
263,S02,112.740,113.060,DIRECT,guarantee
264,S02,113.060,113.580,DIRECT,that
265,S02,113.580,113.680,DIRECT,the
266,S02,113.680,113.960,DIRECT,transaction
267,S02,113.960,114.460,DIRECT,would
268,S02,114.460,114.760,DIRECT,close.
269,S02,115.820,115.980,DIRECT,It
270,S02,115.980,116.220,DIRECT,still
271,S02,116.220,116.540,DIRECT,depended
272,S02,116.540,116.860,DIRECT,on
273,S02,116.860,117.120,DIRECT,regulatory
274,S02,117.120,117.980,DIRECT,approvals
275,S02,117.980,118.480,DIRECT,and
276,S02,118.480,118.700,DIRECT,other
277,S02,118.700,118.960,DIRECT,closing
278,S02,118.960,119.480,DIRECT,conditions.
279,S02,120.540,120.700,DIRECT,And
280,S02,120.700,120.860,DIRECT,by
281,S02,120.860,121.000,DIRECT,the
282,S02,121.000,121.280,DIRECT,time
283,S02,121.280,121.420,DIRECT,the
284,S02,121.420,121.680,DIRECT,public
285,S02,121.680,122.000,DIRECT,heard
286,S02,122.000,122.220,DIRECT,the
287,S02,122.220,122.920,ALIGNED,twenty-billion-dollar
288,S02,122.920,123.680,DIRECT,"headline,"
289,S02,124.300,124.380,DIRECT,the
290,S02,124.380,124.680,DIRECT,contract
291,S02,124.680,125.240,DIRECT,already
292,S02,125.240,125.560,DIRECT,contained
293,S02,125.560,126.080,DIRECT,another
294,S02,126.080,126.480,DIRECT,number
