beat_id,verdict,qc_note
B057,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B058,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B059,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B060,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B061,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B063,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B064,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B065,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B066,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B067,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B068,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B069,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B070,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B071,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B072,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B073,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B074,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B075,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B076,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B079,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B080,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B105,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B106,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B107,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B108,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B109,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B110,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B112,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B113,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B114,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B026,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B032,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B042,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B046,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B047,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B055,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B056,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
