asset_source_id,role,related_source_ids,title,creator_or_publisher,url,rights_class,license,license_url,attribution_required,commercial_reuse,modification,planned_use,status,beats_or_gaps,guardrail
PS001,AUTHENTIC_SOURCE_DOCUMENT,S009,"Steiner v. eBay Inc. — Memorandum and Order, Document 711","U.S. District Court / GovInfo","https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf",US_FEDERAL_COURT_OPINION,"Public-domain government edict / GovInfo public-document policy","https://www.govinfo.gov/about/policies",CUSTOMARY_CREDIT,YES,YES,"Authentic court-document crops and verified quote/status source",SELECTED,"GAP-003;GAP-007;GAP-009","Use judge-authored court text/crops; preserve procedural context; inspect embedded third-party material separately; redact personal data."
PS002,AUTHENTIC_SOURCE_DOCUMENT,S003,"United States v. eBay Inc. — Criminal Information","U.S. Department of Justice","https://www.justice.gov/usao-ma/media/1333086/dl",US_GOV_PUBLIC_DOMAIN,"DOJ public-domain website information unless otherwise indicated","https://www.justice.gov/legalpolicies",CITE_DOJ_APPRECIATED,YES,YES,"Exact June 8 FidoMaster chronology; August messages; harassment/GPS factual record",SELECTED,"GAP-003;GAP-005;GAP-006;GAP-007","Prefer government-authored filing text. Do not reproduce DOJ seals/logos. Treat embedded third-party screenshots separately."
PS003,AUTHENTIC_SOURCE_PAGE,"S001;S004;S005;S006;S007;S008","DOJ eBay case page and sentencing releases","U.S. Department of Justice","https://www.justice.gov/usao-ma/case/us-v-ebay-inc",US_GOV_PUBLIC_DOMAIN,"DOJ public-domain website information unless otherwise indicated","https://www.justice.gov/legalpolicies",CITE_DOJ_APPRECIATED,YES,YES,"Corporate DPA context; seven guilty pleas; sentencing cards",SELECTED,"GAP-008","Exclude seals/logos and any externally credited photo/graphic unless separately cleared."
PS004,MAP_BASE,,"Natural Earth raster/vector map data","Natural Earth","https://www.naturalearthdata.com/downloads/",PUBLIC_DOMAIN,"Natural Earth public domain","https://www.naturalearthdata.com/about/terms-of-use/",NO,YES,YES,"Editor-built California → Massachusetts / Natick maps",SELECTED,"GAP-004;GAP-007","Map remains schematic and factual; no victim address."
PS005,LICENSED_CONTEXT,,"eBay headquarters 2018","Coolcaesar / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:EBay_headquarters_2018.jpg",CC_BY_SA,"CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",YES,YES,YES,"2018 San Jose corporate establishing image",SELECTED,"GAP-002","Credit Coolcaesar; link license; indicate crop/grade; comply with share-alike for adaptation."
PS006,LICENSED_CONTEXT,,"Natick spring 2020 — Natick Center","Rames1651 / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Natick_spring_2020.jpg",CC_BY_SA,"CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",YES,YES,YES,"Generic Natick establishing geography",SELECTED,"GAP-004;GAP-007","Never imply this is the Steiners' residence or an incident location."
PS007,LICENSED_CONTEXT,,"Bacon Free Library — South Natick","Daderot / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Bacon_Free_Library_-_South_Natick,_MA_-_DSC09574.jpg",CC0,"CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/",NO,YES,YES,"Secondary South Natick establishing option",SELECTED,"GAP-004","Generic geographic context only."
PS008,LICENSED_ILLUSTRATIVE_OBJECT,,"A cockroach","Goodymeraj / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:A_cockroach.jpg",CC0,"CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/",NO,YES,YES,"Generic object illustration for admitted disturbing-delivery list",SELECTED,"GAP-005","Must be labelled generic/illustrative; not authentic case evidence or delivered specimen."
PS009,LICENSED_ILLUSTRATIVE_OBJECT,,"Spider image view","Kanimozhi Vennila / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Spider_image_view.jpg",CC0,"CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/",NO,YES,YES,"Generic live-spider visual option",SELECTED,"GAP-005","Generic/illustrative only; not authentic case evidence."
PS010,LICENSED_ILLUSTRATIVE_OBJECT,,"Sawfly larvae on globemallow","Insects Unlocked / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Sawfly_larvae_on_globemallow_(Symphyta)_(30098020405).jpg",CC0,"CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/",NO,YES,YES,"Generic larvae texture/object option",SELECTED,"GAP-005","Species need not match the delivered larvae; do not label as actual case specimen."
