beat_id,job_id,model,resolution,quality,aspect_ratio,credits,provider_status,final_qc,final_override_media_id
B057,e3a4e787-8946-4f33-bac2-193a4cb734f5,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B058,4852ccf0-ea3c-4a79-9c8a-e569bd524b8b,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B059,a736d024-0ef7-431d-9098-f7ce9b1eb7cb,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B060,88c78f5a-c517-4d4d-91e0-04506a80d0d9,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B061,62a73b96-4294-4452-8d26-f3bb9635fa11,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B063,d4d754ba-8dae-4886-98f1-1c3138140601,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B064,aaec7f0c-3568-4da9-adea-fc9e23a1da3f,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B065,034b618c-13e2-4a75-b204-671a446af88a,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B066,f1653855-656f-4867-b362-c2dfbb46456a,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B067,34b3630f-e9a9-417c-9b0c-4ed5c7eb1697,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B068,df6a5803-d2da-4099-ab7f-28d635683333,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B069,5f3a4440-3303-48d1-982e-237ae4dae254,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B070,921dd17c-1ecc-4997-8968-08bde13faf32,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B071,463d8017-4aec-43f0-aa1e-4958fb6dd853,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B072,90641b3c-faa8-4cff-b93b-ddca68528319,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B073,e858fe73-6189-452c-a321-f33a0f1d574b,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B074,f826a032-bfbf-4726-9c17-e853aadbd721,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B075,ca9d11f8-29a6-4b31-9fd9-000242739645,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B076,9e44a2af-4b99-4857-beaa-072bf1540593,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B079,ef4e29b8-8f5e-40f0-9bfc-e65c5fb7ec3b,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B080,06200896-82f1-4795-9295-3aea0c12e766,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B105,b1279c1a-20d5-4057-84e3-55c5d6460f9c,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B106,bdcb4a4f-40dd-4a28-8b67-b2a52824020a,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B107,61ba5c3d-5c66-4413-b315-7ce819fa8c5d,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B108,eb44496e-64f0-459c-a51c-068f30ad1c7b,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B109,a8c16017-1a82-4912-8b1e-f8bc350aebea,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B110,f7a7fd05-72cc-4993-b440-3b2ac9c46b24,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B112,09899405-9595-4aba-8d98-c4474d829718,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B113,020af461-0759-4900-b988-d982a9c35903,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B114,72dfec76-f860-4c5d-b589-b2177361b2d8,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B026,4216b54a-2182-494b-8a82-72a03187011e,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B032,2a38d833-3eea-48d4-9ba3-2858f8e8b7b0,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B042,779e73aa-4dec-4473-a351-9d232d0eab62,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B046,7532e5f0-7085-40ad-9d2b-047f244c68a5,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B047,6fd77607-00da-48bf-b2ec-2431040733f6,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B055,10e30d95-8566-4d6f-8010-5d68b8ac93ad,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B056,2fab649a-dac5-40f8-b414-c9d49de15dcb,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B078,bdf5b5ca-fec5-4bbb-9449-9d8ed70dac8b,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B081,71bc39f8-4179-4503-87ba-18212ff29f53,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B082,7034fc14-ffc7-4edf-872b-018bfee5d5a8,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B083,8cf69920-8dfe-495a-b3ac-4464664a68a2,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B084,a55ade94-0aa5-4942-a781-4885a27a282f,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B085,0889319f-3174-4fbb-80f0-5b4fc3c65cb3,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B086,eed2e911-1c33-4526-be31-41ad3b159cb0,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B087,14ed844d-d962-4ce5-ad30-534009002be9,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B088,0efd0276-c042-410f-8382-e4bb210798cb,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B089,6022bad0-2144-40d7-bb7c-a9ced6b337a4,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B090,bfd78b39-dbfe-4dc0-ad90-a16634950462,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B091,1b199185-481e-44a2-b8a8-23dc3a73ff73,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B092,b37d8a6c-7c58-47fd-bbcc-9c365dd2d1d3,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B093,9589af67-a89d-446f-91a1-f7b6591ab877,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B094,447e2270-a3d2-4bec-ace6-f347e3c9a05c,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B095,104b88e4-8487-4266-b0c1-1cbabe65f637,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B096,6da9923f-126d-498e-9e5b-d16ae54a3a39,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B097,c4b0d8b6-413d-476b-a779-894c3dd878fb,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B098,b1b892fd-7299-45e0-924c-2e355a2054bb,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B099,04bfb9b8-9c97-45be-9a73-f6f170cb4253,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B100,9c3606ea-7d87-4048-8465-1dce67628c9f,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B101,0b0e7997-b61e-4a48-bd9f-fece45452ebf,gpt_image_2,1k,low,16:9,0.5,completed,CHAT_REGEN_PASS,20f94d5e-d9a5-4af0-989d-7d2ec28e1244
B102,49ea8ad2-28f3-4c7a-8ff9-52f3a23e141d,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
B103,b1c45bd4-535f-45c1-8c80-1a0e3e13415b,gpt_image_2,1k,low,16:9,0.5,completed,PASS,
