beat_id,source_count,direct_image_refs,raw_doc_refs,style_ref_media_id,has_subtitle_rule,has_attach_rule,has_forbidden_failures,qa_status,issues
B001,2,2,0,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B002,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B003,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B004,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B005,4,4,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B006,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B007,1,1,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B008,4,4,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B009,2,1,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B010,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B011,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B012,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B013,3,2,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B014,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B015,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B016,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B017,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B018,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B019,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B020,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B021,2,1,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B022,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B023,2,1,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B024,2,2,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B025,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B026,2,1,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B027,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B028,3,3,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B029,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B030,3,3,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B031,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B032,2,1,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B033,3,3,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B034,4,4,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
