beat_id,section,start,end,spoken_text,factual_source_ids,claim_ids,live_asset_files,visual_status,live_visual_strategy,rights_status,gfx_fallback,generation_required,notes
B001,S01,0.000,5.400,"In August twenty nineteen, a couple in Massachusetts began receiving things that made no sense.",S001;S009,C010,NATICK_CENTER_2020_CC_BY_SA.jpg;SOUTH_NATICK_BACON_LIBRARY_CC0.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B002,S01,6.340,7.000,Live insects.,S001;S009;S012,C010,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B003,S01,7.760,8.660,Threatening messages.,S001;S009;S012,C010,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg;NATURAL_EARTH_50M_US_STATES.zip,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B004,S01,9.480,10.480,A bloody pig mask.,S001;S009;S012,C010,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B005,S01,11.160,21.760,"And eventually, people connected to the campaign were watching them in person and trying to put a G-P-S tracker on their car. At first glance, this sounds like an internet stalking story.",S009;S001,C012,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg;NATURAL_EARTH_50M_US_STATES.zip,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B006,S01,22.300,29.240,"But the people behind it were not anonymous trolls. They worked in, or with, the security organization of eBay.",S001;S009,C002,EBAY_HQ_2018_CC_BY_SA.jpg;LIVE_EBAY_CAMPUS_COBB_2007_COMMONS.jpg;LIVE_SAN_JOSE_SKYLINE_CC_BY.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B007,S01,30.120,36.640,All seven former employees and contractors who were federally prosecuted over the campaign later pleaded guilty.,S004,C016,DC011_SEVEN_GUILTY_DOJ.png;S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B008,S01,37.380,52.660,"Years later, prosecutors filed criminal charges against eBay itself. The company entered a deferred prosecution agreement, admitted a detailed factual account, paid a three-million-dollar criminal penalty, and accepted an independent compliance monitor.",S001;S002;S003;S012,C019,S002_EBAY_DEFERRED_PROSECUTION_AGREEMENT.pdf;DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B009,S01,53.280,61.640,"And in July twenty twenty-six, the civil case ended in an announced settlement package worth fifty-five-point-seven million dollars.",S014;S017;S018;S013,C028,S020_D986_STIPULATION_DISMISSAL.pdf;S014_ECOMMERCEBYTES_FINAL_SETTLEMENT_REFERENCE.html,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B010,S01,61.640,73.980,But the strangest part is not what arrived at the front door. It is how criticism of a company became a security problem inside that company — and how the consequences kept growing long after the harassment stopped.,S009;S001,C003,NATICK_CENTER_2020_CC_BY_SA.jpg;SOUTH_NATICK_BACON_LIBRARY_CC0.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
