gfx_id,family,planned_beat_uses
GFX-001,cold-open consequence stack,3
GFX-002,2019 escalation timeline,11
GFX-003,internal-message evidence treatment,11
GFX-004,operation escalation geography,7
GFX-005,criminal accountability roster,8
GFX-006,corporate DPA explainer,13
GFX-007,legal-status dossier/matrix,11
GFX-008,$55.7M settlement package,11
GFX-009,$48.7M compensation breakdown,3
GFX-010,$7M charity breakdown,1
GFX-011,two separate legal tracks,3
GFX-012,summary-judgment/legal-status clarifier,11
GFX-013,failed-settlement/reopened-case timeline,7
GFX-014,attempted GPS tracker clarifier,3
GFX-015,final WHAT IT COST synthesis,6
