cue_id,start,end,section,purpose,music_direction,sfx_direction,mix_notes
M14-01,00:00.000,01:13.980,S01,COLD OPEN / PROMISE,"Low investigative pulse; dark but not horror; sparse sub-bass + muted texture.","B002/B003/B004: subtle paper/object ticks only.","Duck 4–5 dB under B008; short breath before B009 $55.7M reveal."
M14-02,01:14.680,02:10.260,S02,SETUP / SCALE MISMATCH,"Lighter restrained investigative bed; more air and neutral pulse.","Soft paper/page movement at publication/marketplace transitions.","No tension escalation until B016 question."
M14-03,02:11.060,03:38.300,S03,MESSAGE ESCALATION,"Measured pulse with subtle clock/tick texture; gradual density increase.","One dry paper/keyboard accent on B018/B019/B020/B023/B025.","No sting implying guilt; duck 3–5 dB during exact quotes."
M14-04,03:39.200,04:43.080,S04,SECURITY MECHANISM,"Controlled operational rhythm; low percussion; restrained mechanical texture.","Soft map/paper movement B028; one low transition hit B032.","No tactical/action-movie treatment."
M14-05,04:44.180,05:55.800,S05,OPERATION / PHYSICAL STAKES,"Darkest bed of film but sober/non-horror; pulse + muted low strings.","Parcel/object accents B034-B036; generic vehicle ambience B038-B041 only.","No pig squeal/insect foley; reduce intensity at B040 qualifier."
M14-06,05:56.860,06:55.800,S06,POLICE / SECOND PROBLEM,"Dry investigative rhythm; slightly colder texture.","Short transition click B042; abstract digital-delete texture B044.","No police siren; do not imply arrest at B042."
M14-07,06:56.540,07:56.000,S07,PERSONAL ACCOUNTABILITY,"Austere steady pulse; less suspense and more consequence.","Minimal low hit B049; restrained accents B050/B051.","No celebratory/triumphal cue."
M14-08,07:57.340,09:29.300,S08,CORPORATE CRIMINAL RESOLUTION,"Minimal legal-explainer bed; almost no percussion; clean low drone.","Soft document slide B055; restrained accents B057/B062/B063.","Strong ducking B059-B060; exact wording must dominate."
M14-09,09:30.640,11:49.000,S09,CIVIL CASE / NUANCE,"Neutral sparse bed; tension reduced for analytical tone.","Soft page turn B068; no verdict-gavel SFX.","Music 5–7 dB lower during B069-B078 legal nuance."
M14-10,11:50.380,12:37.000,S10,FALSE ENDING / REVERSAL,"Brief release at settlement-in-principle; thin bed sharply when B083 deal fails.","One subtle stop/drop at B083.","First deal must feel provisional, not celebratory."
M14-11,12:37.980,14:03.700,S11,MONEY PAYOFF,"Precise rhythmic bed; clean pulses on money reveals.","Small tonal tick B088/B091/B092/B093/B097/B098; near-silence on B099.","No cash-register/coin sounds; duck 4–6 dB on B097-B101."
M14-12,14:04.600,15:57.414,S12,REFLECTION / END,"Broader reflective theme; gradually simplify toward final line.","Restrained recall accents B108/B109/B111; no new SFX after B112.","Drop bed under B104 and final sentence; final 2–3 sec mostly tail/room."
