generation_slot,beat_id,asset_id,asset_class,usable,url,source,binding_mode,prep_rule
G001,B002,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G002,B003,RV025,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/adobe-figma-faq/,Figma Blog,ATTACH_AUTHENTIC_UI_CROP_UNCHANGED,Acquire exact official screenshot/crop; do not redraw controls or UI text.
G002,B003,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G003,B004,RV050,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G003,B004,RV051,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G003,B004,RV052,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G004,B005,RV001,REAL-PHOTO,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Shantanu_Narayen_-_the_CEO_of_Adobe_Inc.jpg,Wikimedia Commons / Brian Cummings Photography,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G004,B005,RV012,REAL-PHOTO,YES_EDITORIAL,https://fig-events.figma.com/make-and-meet-dc/,Figma Events,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G004,B005,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G005,B006,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G005,B006,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G006,B011,RV037,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/introducing-dev-mode/,Figma Blog,ATTACH_AUTHENTIC_UI_CROP_UNCHANGED,Acquire exact official screenshot/crop; do not redraw controls or UI text.
G006,B011,RV044,PRODUCT-UI,YES_EDITORIAL,https://www.adobe.com/products/xd/wireframing-tool.html,Adobe XD documentation,ATTACH_AUTHENTIC_UI_CROP_UNCHANGED,Acquire exact official screenshot/crop; do not redraw controls or UI text.
G007,B013,RV047,DOCUMENT,YES_EDITORIAL,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G007,B013,RV048,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_8k.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G008,B014,RV048,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_8k.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G008,B014,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G009,B015,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G010,B017,RV050,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G011,B018,RV050,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G012,B019,RV050,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G013,B021,RV050,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G014,B024,RV052,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G014,B024,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G015,B026,RV052,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
