beat_id,section,start,end,spoken_text,visual_code,evidence_code,legal
B001,S01,0.000,5.400,"In August twenty nineteen, a couple in Massachusetts began receiving things that made no sense.",V01,E01,L
B002,S01,6.340,7.000,Live insects.,V02,E02,M
B003,S01,7.760,8.660,Threatening messages.,V02,E02,M
B004,S01,9.480,10.480,A bloody pig mask.,V02,E02,M
B005,S01,11.160,21.760,"And eventually, people connected to the campaign were watching them in person and trying to put a G-P-S tracker on their car. At first glance, this sounds like an internet stalking story.",V03,E01,M
B006,S01,22.300,29.240,"But the people behind it were not anonymous trolls. They worked in, or with, the security organization of eBay.",V04,E01,L
B007,S01,30.120,36.640,All seven former employees and contractors who were federally prosecuted over the campaign later pleaded guilty.,V05,E03,M
B008,S01,37.380,52.660,"Years later, prosecutors filed criminal charges against eBay itself. The company entered a deferred prosecution agreement, admitted a detailed factual account, paid a three-million-dollar criminal penalty, and accepted an independent compliance monitor.",V06,E03,H
B009,S01,53.280,61.640,"And in July twenty twenty-six, the civil case ended in an announced settlement package worth fifty-five-point-seven million dollars.",V07,E03,H
B010,S01,61.640,73.980,But the strangest part is not what arrived at the front door. It is how criticism of a company became a security problem inside that company — and how the consequences kept growing long after the harassment stopped.,V01,E01,L
B011,S02,74.680,82.100,"Ina and David Steiner ran EcommerceBytes, an independent publication covering online commerce since nineteen ninety-nine.",V08,E01,L
B012,S02,82.920,89.480,"The scale mismatch was obvious: an independent trade publication on one side, a global marketplace on the other.",V08,E01,L
B013,S02,90.120,99.720,"But the Steiners covered eBay's world closely — sellers, marketplace rules, executive decisions, and the complaints of people who depended on platforms like eBay.",V04,E01,L
B014,S02,100.540,110.020,"By spring twenty nineteen, a later federal court record shows that EcommerceBytes had become an increasing source of frustration for people inside eBay's leadership.",V09,E03,H
B015,S02,110.440,119.260,The Steiners were not business rivals trying to take eBay's customers. They were publishers criticizing the company and giving readers a place to criticize it too.,V08,E01,L
B016,S02,119.920,130.260,Companies face criticism every day. The real question is how criticism from two publishers became something people inside eBay's security organization were expected to solve.,V08,E01,L
B017,S03,131.060,143.460,"The internal messages are where the story changes. In April twenty nineteen, Steve Wymer — eBay's communications chief — sent then-C-E-O Devin Wenig a message about an Ina Steiner article.",V04,E01,L
B018,S03,144.140,146.920,His words were: “We are going to crush this lady.”,V10,E03,H
B019,S03,147.600,152.740,"Weeks later, according to the federal court record, Wenig told Wymer to “take her down.”",V10,E03,H
B020,S03,153.580,159.860,"And on August first, another message from Wenig said that if they were ever going to act, “now is the time.”",V10,E03,H
B021,S03,160.680,168.060,"Those words are dramatic. But they are not, by themselves, proof that Wenig or any other executive ordered the crimes that followed.",V03,E01,M
B022,S03,168.740,179.680,The later court record says Jim Baugh — the head of eBay security — testified that Wenig never communicated directly with him about the Steiners. Wenig's relevant communications went through Wymer.,V09,E03,H
B023,S03,180.260,189.800,"Still, inside the organization, the language was escalating. Wymer's messages to Baugh became increasingly ag gressive, including the phrase “Whatever it takes.”",V10,E03,H
B024,S03,190.560,194.220,Another executive relationship was pulling the issue toward security too.,V01,E01,L
B025,S03,194.950,204.200,"Wendy Jones — Baugh's direct supervisor — told him, according to the court record, to handle the issue “off the radar” and said she did not want details.",V10,E03,H
B026,S03,205.240,216.120,"That is not the same as a finding that Jones knew what the security team would later do. But by this point, criticism from two publishers was no longer being discussed only as a communications problem.",V08,E01,L
B027,S03,216.740,218.300,It had entered the security chain.,V01,E01,L
B028,S04,219.200,226.140,"Before the most notorious phase of the campaign, members of Baugh's security operation had already traveled to Massachusetts.",V03,E01,M
B029,S04,227.160,241.820,"During an early trip, security employee Brian Gilbert surveilled the Steiners and spray-painted “FidoMaster” on their fence — a username used by a commenter on EcommerceBytes whom the security team believed was connected to the Steiners.",V03,E01,M
B030,S04,242.560,252.480,Baugh later described the trip to Wymer as a “tap on the shoulder.” That moment matters because it shows how the problem was being translated inside the company.,V01,E01,L
B031,S04,253.440,262.820,"At the top, there was anger about criticism. In the middle, increasingly forceful messages. At the security level, those messages were becoming action.",V01,E01,L
B032,S04,263.740,273.040,"Then the process became more organized. On August sixth, Baugh held meetings with security-team members to plan an operation against the Steiners.",V01,E01,L
