priority,topic_id,pillar,working_title,role,status,notes
1,T007,CORPORATE_SCANDAL,"The eBay Harassment Scandal That Cost $56 Million",PRIMARY_LAUNCH,READY_FOR_RESEARCH,"Stage 00 PASS (91/100); VIDEO_001 created. Evidence Research is next."
2,T008,DEAL_CONTRACT,"Adobe's Failed Figma Deal Cost $1 Billion",BUSINESS_MECHANISM_EXPANSION,READY_FOR_RESEARCH,"Stage 00 PASS (93/100); VIDEO_002 created. $1B reverse termination fee is the core mechanism."
3,T006,COPYRIGHT_AI,"Why Universal Music Just Sued DistroKid",TIMELY_CREATOR_PLATFORM,LAUNCH_5_LOCKED,"Owner-approved Video #3 topic. Freshness check mandatory immediately before activation."
4,T004,BUSINESS_LAWSUIT,"Steam Tried to Stop Thousands of Claims. Then This Happened.",PLATFORM_LEGAL_WAR,LAUNCH_5_LOCKED,"Owner-approved Video #4 topic. Procedural posture must be refreshed before activation."
5,T005,TRADE_SECRETS,"The Engineer Who Took 14,000 Files From Google",EVERGREEN_MAJOR_STORY,LAUNCH_5_LOCKED,"Owner-approved Video #5 topic. Separate Levandowski admissions from allegations about Uber."
C1,T003,COPYRIGHT_AI,"Suno's Copyright Problem Just Got Much Bigger",SECOND_WAVE_CANDIDATE,SECOND_WAVE_CANDIDATE,"Not locked into slots 6-10 yet."
C2,T009,FOUNDER_DEAL_DISASTER,"The $250 Million Deal That Unraveled Into Fraud Allegations",SECOND_WAVE_CANDIDATE,SECOND_WAVE_CANDIDATE,"Not locked into slots 6-10 yet. Very high allegation risk."
C3,T002,CONTRACT_CREATOR,"The NautiStyles Dream Yacht That Ended in Federal Court",SECOND_WAVE_CANDIDATE,SECOND_WAVE_CANDIDATE,"Not locked into slots 6-10 yet. Direct competition is stronger."
C4,T010,TRADE_SECRETS_IP,"The Casino Game That Cost $127.5 Million",SECOND_WAVE_CANDIDATE,SECOND_WAVE_CANDIDATE,"Not locked into slots 6-10 yet."
R1,T001,BUSINESS_LAWSUIT,"The PSA Lawsuit That Could Change Card Grading",RESERVE,RESERVE,"Removed from Launch 5 due weaker cold-start fit; retain for later requalification."
