short_id,status,working_title,start_timecode,end_timecode,duration_sec,section_range,beat_ids,gfx_ids,claim_ids,extraction_rule,audio_source,vertical_rule,legal_review
SH01,LOCKED_TO_LONGFORM_AUDIO,The eBay Harassment Scandal in 60 Seconds,00:00:00.000,00:01:01.640,61.640,S01 P01-P11,B001;B002;B003;B004;B005;B006;B007;B008;B009,GFX-001;GFX-004;GFX-005;GFX-006;GFX-008;GFX-014,C002;C010;C012;C016;C019;C028,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
SH02,LOCKED_TO_LONGFORM_AUDIO,The Messages That Changed the eBay Case,00:02:11.060,00:02:48.060,37.000,S03 P01-P07,B017;B018;B019;B020;B021,GFX-002;GFX-003;GFX-012,C004;C005;C022,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
SH03,LOCKED_TO_LONGFORM_AUDIO,How Criticism Became a Security Operation,00:03:39.200,00:04:22.820,43.620,S04 P01-P07,B028;B029;B030;B031,GFX-003;GFX-004,C003;C007;C008;C009,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
SH04,LOCKED_TO_LONGFORM_AUDIO,The Attempted GPS Tracker,00:05:22.540,00:05:55.800,33.260,S05 P08-P15,B038;B039;B040;B041,GFX-002;GFX-004;GFX-014,C012;C013,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
SH05,LOCKED_TO_LONGFORM_AUDIO,Seven People Pleaded Guilty,00:06:56.540,00:07:56.000,59.460,S07 P01-P12,B048;B049;B050;B051;B052;B053;B054,GFX-005;GFX-006,C016;C017;C018,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
SH06,LOCKED_TO_LONGFORM_AUDIO,Why eBay Was Charged but Not Convicted,00:07:57.340,00:09:04.240,66.900,S08 P01-P10,B055;B056;B057;B058;B059;B060;B061;B062;B063,GFX-006;GFX-012,C018;C019,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
SH07,LOCKED_TO_LONGFORM_AUDIO,Summary Judgment Is Not a Verdict,00:09:30.640,00:10:08.760,38.120,S09 P01-P06,B067;B068;B069;B070;B071,GFX-002;GFX-007;GFX-012,C020;C021;C025,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
SH08,LOCKED_TO_LONGFORM_AUDIO,What the $55.7M Settlement Actually Was,00:12:37.980,00:13:35.940,57.960,S11 P01-P13,B087;B088;B089;B090;B091;B092;B093;B094;B095;B096;B097,GFX-008;GFX-009;GFX-010,C028;C029,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
SH09,LOCKED_TO_LONGFORM_AUDIO,There Was No $58.7M Award,00:13:36.540,00:14:03.700,27.160,S11 P14-P20,B098;B099;B100;B101,GFX-011;GFX-015,C019;C028,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
SH10,LOCKED_TO_LONGFORM_AUDIO,What the eBay Scandal Actually Cost,00:15:27.320,00:15:56.920,29.600,S12 P18-P25,B112;B113;B114;B115,GFX-005;GFX-008;GFX-015,C003;C016;C017;C019;C028;C030,CONTIGUOUS_NO_REWRITE_NO_REORDER,FINAL_HARRISON_MASTER,SAME_AUDIO_STORY_9X16_REFRAME_ONLY,REQUIRED_IN_ISOLATION
