beat_id,section,start,end,overlay_classes,date_label,source_label,legal_status,provenance_label,position,subtitle_zone,note
B001,S01,0.000,5.400,DATE,MASSACHUSETTS — AUGUST 2019,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B002,S01,6.340,7.000,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B003,S01,7.760,8.660,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B004,S01,9.480,10.480,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B005,S01,11.160,21.760,LEGAL_STATUS+PROVENANCE,,,ATTEMPTED GPS • INSTALLATION NOT ESTABLISHED,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B006,S01,22.300,29.240,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B007,S01,30.120,36.640,LEGAL_STATUS,,,ALL SEVEN PROSECUTED PARTICIPANTS PLEADED GUILTY,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B008,S01,37.380,52.660,LEGAL_STATUS,,,DPA • NOT A CONVICTION,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B009,S01,53.280,61.640,LEGAL_STATUS,,,CIVIL SETTLEMENT PACKAGE,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B010,S01,61.640,73.980,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B011,S02,74.680,82.100,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B012,S02,82.920,89.480,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B013,S02,90.120,99.720,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B014,S02,100.540,110.020,DATE,SPRING 2019,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B015,S02,110.440,119.260,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B016,S02,119.920,130.260,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B017,S03,131.060,143.460,DATE,THE INTERNAL MESSAGES,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B018,S03,144.140,146.920,SOURCE,,SOURCE: U.S. DISTRICT COURT • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B019,S03,147.600,152.740,SOURCE,,SOURCE: U.S. DISTRICT COURT • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B020,S03,153.580,159.860,DATE+SOURCE,“NOW IS THE TIME.”,SOURCE: U.S. DISTRICT COURT • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
