sequence,date,event_id,narrative_role,verified_status,source_ids,notes
01,2023-12-20 / flash-forward,E024,COLD_OPEN_PAYOFF,FINAL,S016;S018;S019,"Adobe pays Figma $1B although acquisition never closed; immediately say this was contractual, not a fine."
02,2022-09-15 / context,E008,DEAL_SCALE_SETUP,ESTABLISHED,S001;S002;S003,"Establish ~$20B proposed transaction, roughly half cash/half stock; do not imply paid."
03,2022-06-19,E005,FEE_ABSENCE_SETUP,ESTABLISHED,S004,"Adobe $20B proposal did not yet include termination fee."
04,2022-07-05,E006,HIDDEN_MECHANISM_BEGINS,ESTABLISHED,S004,"Figma counterproposal introduces antitrust-linked reverse termination fee."
05,2022-07-20,E007,MAIN_REVEAL,ESTABLISHED,S004;S003,"Adobe agrees to $1B reverse termination fee while keeping $20B price."
06,2022-09-15,E008,CONTRACT_LOCK,ESTABLISHED,S003;S004,"Signed agreement: fee mechanics + not-a-penalty/liquidated-damages language."
07,2023-05 to 2023-07,E010;E011;E013,UK_REGULATORY_ESCALATION,ESTABLISHED,S006,"CMA inquiry opens, Phase 1 concern, then Phase 2 referral."
08,2023-06-30 to 2023-08-07,E012;E014,EU_REGULATORY_ESCALATION,ESTABLISHED,S011,"EU notification then Phase II opening."
09,2023 / parallel,E021,US_REGULATORY_TRACK,ESTABLISHED,S012,"DOJ investigated; no Stage01 public lawsuit located."
10,2023-09-28,E015,PARTIES_COUNTERPOSITION,ATTRIBUTED,S009,"Adobe/Figma argue complementary products and pro-competitive effects."
11,2023-11-17,E016,EU_PRELIMINARY_CONCERNS,PRELIMINARY,S011,"Statement of Objections; explicitly not a final decision."
12,2023-11-28,E017,UK_PROVISIONAL_FINDINGS,PROVISIONAL,S006;S007;S008,"CMA provisional findings + possible remedies incl. prohibition/divestiture."
13,2023-12-14,E018,PARTIES_REMEDY_RESPONSE,ATTRIBUTED,S010,"Parties say remedy direction effectively points to prohibition or Figma Design divestiture."
14,2023-12-17,E019,MUTUAL_TERMINATION,FINAL,S014;S015,"Boards approve/sign mutual termination; formal transaction-ending mechanism."
15,2023-12-18,E020;E021,NO_CLEAR_PATH_ANNOUNCEMENT,FINAL,S013;S021;S012,"Companies say no clear approval path; DOJ welcomes abandonment."
16,2023-12-18 to 2023-12-19,E022;E023,PROCEDURAL_REVERSAL,CLOSED,S006;S011,"CMA cancels Phase2; EC investigation ends without formal final decision."
17,2023-12-20,E024,CONTRACT_PAYOFF,FINAL,S016;S018;S019,"$1B paid/received; distinguish from ~$20B never-paid acquisition consideration."
18,2025-08-01,E026,EPILOGUE,FINAL,S019,"Figma completes IPO as independent company; no causal claim tying IPO outcome to termination fee."
