asset,planned_beat_uses,reuse_status
EBAY_HQ_2018_CC_BY_SA.jpg,31,HIGH_REUSE_REVIEW
S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,28,HIGH_REUSE_REVIEW
NATICK_CENTER_2020_CC_BY_SA.jpg,17,HIGH_REUSE_REVIEW
S020_D986_STIPULATION_DISMISSAL.pdf,17,HIGH_REUSE_REVIEW
S013_EBAY_2026_SETTLEMENT_STATEMENT_REFERENCE.html,14,HIGH_REUSE_REVIEW
S001_DOJ_CASE_PAGE.html,11,HIGH_REUSE_REVIEW
S002_EBAY_DEFERRED_PROSECUTION_AGREEMENT.pdf,10,HIGH_REUSE_REVIEW
DC015_DPA_CRIMINAL_PENALTY.png,9,HIGH_REUSE_REVIEW
S003_EBAY_CRIMINAL_INFORMATION.pdf,8,HIGH_REUSE_REVIEW
DC018_CIVIL_COMPLAINT_COVER.png,8,HIGH_REUSE_REVIEW
LIVE_MOAKLEY_COURTHOUSE_CC0.jpg,8,HIGH_REUSE_REVIEW
COCKROACH_CC0.jpg,7,MEDIUM_REUSE
DC005_FIDOMASTER_JUNE8.png,6,MEDIUM_REUSE
MASSACHUSETTS_FENCE_CC0.jpg,6,MEDIUM_REUSE
DOJ_FBI_PIG_MASK_AND_BOOK.jpg,6,MEDIUM_REUSE
DC023_OBSTRUCTION_DELETION.png,6,MEDIUM_REUSE
S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,5,MEDIUM_REUSE
LIVE_DEVIN_WENIG_COMMONS.jpg,5,MEDIUM_REUSE
OFFICE_INTERIOR_CC0.jpg,4,OK
DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,4,OK
S025_STEVE_WYMER_EBAY_PROFILE_REFERENCE.html,4,OK
DC007_GPS_GARAGE_ATTEMPT.png,3,OK
DC016_DPA_COMPLIANCE_MONITOR.png,3,OK
DC008_WENIG_NO_DIRECT_BAUGH.png,3,OK
SPIDER_CC0.jpg,3,OK
S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf,3,OK
LIVE_MOAKLEY_COURTHOUSE_2017_CC_BY_SA.jpg,3,OK
SOUTH_NATICK_BACON_LIBRARY_CC0.jpg,2,OK
LARVAE_CC0.jpg,2,OK
NATURAL_EARTH_50M_US_STATES.zip,2,OK
DC006_DELIVERIES_GPS_ATTEMPT.png,2,OK
LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg,2,OK
DC011_SEVEN_GUILTY_DOJ.png,2,OK
DC001_CRUSH_THIS_LADY.png,2,OK
DC010_SUMMARY_JUDGMENT_ORDER.png,2,OK
S021_EBAY_2020_INTERNAL_INVESTIGATION_STATEMENT_REFERENCE.html,2,OK
DC009_WYMER_REASONABLE_JUROR.png,2,OK
S024_WENDY_JONES_EBAY_BIO_REFERENCE.pdf,2,OK
GENERIC_GPS_TRACKER_CC0.jpg,1,OK
LIVE_SAN_JOSE_SKYLINE_CC_BY.jpg,1,OK
DC003_TAKE_HER_DOWN.png,1,OK
DC004_NOW_IS_THE_TIME.png,1,OK
DC002_OFF_THE_RADAR.png,1,OK
PARCEL_CC0.webp,1,OK
FUNERAL_WREATH_CC0.jpg,1,OK
DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,1,OK
S006_DOJ_POPP_STOCKWELL_SENTENCING_PAGE.pdf,1,OK
S007_DOJ_ZEA_SENTENCING_PAGE.pdf,1,OK
LIVE_DEVIN_WENIG_CONFERENCE_COMMONS.jpg,1,OK
