beat_id,section,start,end,spoken_text,gfx_ids,primary_mode,source_ids,claim_ids,needs_source_doc,needs_photo,needs_archive_web,needs_map,needs_editor_graphic,reconstruction_rule,preferred_visual,gap_id,stage13_status
B001,S01,0.000,5.400,"In August twenty nineteen, a couple in Massachusetts began receiving things that made no sense.",,EDITORIAL_ARCHIVE,S001;S009,C010,NO,NO,NO,NO,NO,NO,Rights-safe archival/contextual B-roll or editor-only branded transition; no factual invention.,GAP-004,PLANNED_NOT_ACQUIRED
B002,S01,6.340,7.000,Live insects.,,ILLUSTRATIVE_RECONSTRUCTION,S001;S009;S012,C010,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,Clearly labeled illustrative reconstruction; never present as authentic evidence.,GAP-005,PLANNED_NOT_ACQUIRED
B003,S01,7.760,8.660,Threatening messages.,,ILLUSTRATIVE_RECONSTRUCTION,S001;S009;S012,C010,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,Clearly labeled illustrative reconstruction; never present as authentic evidence.,GAP-005,PLANNED_NOT_ACQUIRED
B004,S01,9.480,10.480,A bloody pig mask.,,ILLUSTRATIVE_RECONSTRUCTION,S001;S009;S012,C010,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,Clearly labeled illustrative reconstruction; never present as authentic evidence.,GAP-005,PLANNED_NOT_ACQUIRED
B005,S01,11.160,21.760,"And eventually, people connected to the campaign were watching them in person and trying to put a G-P-S tracker on their car. At first glance, this sounds like an internet stalking story.",GFX-004;GFX-014,MIXED,S009;S001,C012,NO,NO,NO,YES,YES,NO,Use GFX-004+GFX-014 as the primary explanatory layer; support with archive/context where useful.,GAP-004,PLANNED_NOT_ACQUIRED
B006,S01,22.300,29.240,"But the people behind it were not anonymous trolls. They worked in, or with, the security organization of eBay.",,ARCHIVE_PHOTO,S001;S009,C002,NO,YES,NO,NO,NO,NO,Rights-safe archival/person/company/location photo with restrained editorial motion.,GAP-002,PLANNED_NOT_ACQUIRED
B007,S01,30.120,36.640,All seven former employees and contractors who were federally prosecuted over the campaign later pleaded guilty.,GFX-001;GFX-005,MIXED,S004,C016,YES,NO,NO,NO,YES,NO,Use GFX-001+GFX-005 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B008,S01,37.380,52.660,"Years later, prosecutors filed criminal charges against eBay itself. The company entered a deferred prosecution agreement, admitted a detailed factual account, paid a three-million-dollar criminal penalty, and accepted an independent compliance monitor.",GFX-001;GFX-006,MIXED,S001;S002;S003;S012,C019,YES,NO,NO,NO,YES,NO,Use GFX-001+GFX-006 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B009,S01,53.280,61.640,"And in July twenty twenty-six, the civil case ended in an announced settlement package worth fifty-five-point-seven million dollars.",GFX-001;GFX-008,MIXED,S014;S017;S018;S013,C028,YES,NO,NO,NO,YES,NO,Use GFX-001+GFX-008 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B010,S01,61.640,73.980,But the strangest part is not what arrived at the front door. It is how criticism of a company became a security problem inside that company — and how the consequences kept growing long after the harassment stopped.,,EDITORIAL_ARCHIVE,S009;S001,C003,NO,NO,NO,NO,NO,NO,Rights-safe archival/contextual B-roll or editor-only branded transition; no factual invention.,,PLANNED_NOT_ACQUIRED
B011,S02,74.680,82.100,"Ina and David Steiner ran EcommerceBytes, an independent publication covering online commerce since nineteen ninety-nine.",,MIXED,S009,C001,NO,YES,YES,NO,NO,NO,"Archived publication/company webpage or screenshot, reframed cleanly in channel style.",GAP-001,PLANNED_NOT_ACQUIRED
B012,S02,82.920,89.480,"The scale mismatch was obvious: an independent trade publication on one side, a global marketplace on the other.",,MIXED,S009,C001,NO,YES,YES,NO,NO,NO,"Archived publication/company webpage or screenshot, reframed cleanly in channel style.",GAP-001,PLANNED_NOT_ACQUIRED
B013,S02,90.120,99.720,"But the Steiners covered eBay's world closely — sellers, marketplace rules, executive decisions, and the complaints of people who depended on platforms like eBay.",,MIXED,S009,C001,NO,YES,YES,NO,NO,NO,"Archived publication/company webpage or screenshot, reframed cleanly in channel style.",GAP-001,PLANNED_NOT_ACQUIRED
B014,S02,100.540,110.020,"By spring twenty nineteen, a later federal court record shows that EcommerceBytes had become an increasing source of frustration for people inside eBay's leadership.",GFX-002,MIXED,S009,C003,YES,NO,NO,NO,YES,NO,Use GFX-002 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B015,S02,110.440,119.260,The Steiners were not business rivals trying to take eBay's customers. They were publishers criticizing the company and giving readers a place to criticize it too.,,MIXED,S009,C001,NO,YES,YES,NO,NO,NO,"Archived publication/company webpage or screenshot, reframed cleanly in channel style.",GAP-001,PLANNED_NOT_ACQUIRED
B016,S02,119.920,130.260,Companies face criticism every day. The real question is how criticism from two publishers became something people inside eBay's security organization were expected to solve.,,MIXED,S009,C003,NO,YES,YES,NO,NO,NO,"Archived publication/company webpage or screenshot, reframed cleanly in channel style.",GAP-001,PLANNED_NOT_ACQUIRED
B017,S03,131.060,143.460,"The internal messages are where the story changes. In April twenty nineteen, Steve Wymer — eBay's communications chief — sent then-C-E-O Devin Wenig a message about an Ina Steiner article.",GFX-002;GFX-003,MIXED,S009,C004,YES,YES,NO,NO,YES,NO,Use GFX-002+GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,GAP-003,PLANNED_NOT_ACQUIRED
B018,S03,144.140,146.920,His words were: “We are going to crush this lady.”,GFX-002;GFX-003,MIXED,S009,C004,YES,NO,NO,NO,YES,NO,Use GFX-002+GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,GAP-003,PLANNED_NOT_ACQUIRED
B019,S03,147.600,152.740,"Weeks later, according to the federal court record, Wenig told Wymer to “take her down.”",GFX-002;GFX-003,MIXED,S009,C005,YES,NO,NO,NO,YES,NO,Use GFX-002+GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,GAP-003,PLANNED_NOT_ACQUIRED
B020,S03,153.580,159.860,"And on August first, another message from Wenig said that if they were ever going to act, “now is the time.”",GFX-002;GFX-003,MIXED,S009,C005,YES,NO,NO,NO,YES,NO,Use GFX-002+GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,GAP-003,PLANNED_NOT_ACQUIRED
B021,S03,160.680,168.060,"Those words are dramatic. But they are not, by themselves, proof that Wenig or any other executive ordered the crimes that followed.",GFX-012,EDITOR_GRAPHIC,S009,C005;C022,NO,NO,NO,NO,YES,NO,Use GFX-012 as the primary explanatory layer; support with archive/context where useful.,,PLANNED_NOT_ACQUIRED
B022,S03,168.740,179.680,The later court record says Jim Baugh — the head of eBay security — testified that Wenig never communicated directly with him about the Steiners. Wenig's relevant communications went through Wymer.,GFX-003;GFX-007,MIXED,S009,C022,YES,NO,NO,NO,YES,NO,Use GFX-003+GFX-007 as the primary explanatory layer; support with authentic record crop where useful.,GAP-003,PLANNED_NOT_ACQUIRED
B023,S03,180.260,189.800,"Still, inside the organization, the language was escalating. Wymer's messages to Baugh became increasingly ag gressive, including the phrase “Whatever it takes.”",GFX-003,MIXED,S009,C008,YES,NO,NO,NO,YES,NO,Use GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,GAP-003,PLANNED_NOT_ACQUIRED
B024,S03,190.560,194.220,Another executive relationship was pulling the issue toward security too.,,ARCHIVE_PHOTO,S009,C003,NO,YES,NO,NO,NO,NO,Rights-safe archival/person/company/location photo with restrained editorial motion.,,PLANNED_NOT_ACQUIRED
B025,S03,194.950,204.200,"Wendy Jones — Baugh's direct supervisor — told him, according to the court record, to handle the issue “off the radar” and said she did not want details.",GFX-003,MIXED,S009,C006,YES,NO,NO,NO,YES,NO,Use GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,GAP-003,PLANNED_NOT_ACQUIRED
B026,S03,205.240,216.120,"That is not the same as a finding that Jones knew what the security team would later do. But by this point, criticism from two publishers was no longer being discussed only as a communications problem.",GFX-012,EDITOR_GRAPHIC,S009,C006,NO,NO,NO,NO,YES,NO,Use GFX-012 as the primary explanatory layer; support with archive/context where useful.,,PLANNED_NOT_ACQUIRED
B027,S03,216.740,218.300,It had entered the security chain.,,EDITORIAL_ARCHIVE,S009,C002;C003,NO,NO,NO,NO,NO,NO,Rights-safe archival/contextual B-roll or editor-only branded transition; no factual invention.,,PLANNED_NOT_ACQUIRED
B028,S04,219.200,226.140,"Before the most notorious phase of the campaign, members of Baugh's security operation had already traveled to Massachusetts.",GFX-004,MIXED,S009,C007,NO,YES,NO,YES,YES,NO,Use GFX-004 as the primary explanatory layer; support with archive/context where useful.,GAP-004,PLANNED_NOT_ACQUIRED
B029,S04,227.160,241.820,"During an early trip, security employee Brian Gilbert surveilled the Steiners and spray-painted “FidoMaster” on their fence — a username used by a commenter on EcommerceBytes whom the security team believed was connected to the Steiners.",GFX-004,MIXED,S009,C007,NO,NO,NO,YES,YES,YES_LABELLED_RECONSTRUCTION_TEXT_OVERLAY_EDITOR_NATIVE,Use GFX-004 as the primary explanatory layer; support with archive/context where useful.,GAP-006,PLANNED_NOT_ACQUIRED
B030,S04,242.560,252.480,Baugh later described the trip to Wymer as a “tap on the shoulder.” That moment matters because it shows how the problem was being translated inside the company.,GFX-003,MIXED,S009,C007,YES,NO,NO,NO,YES,NO,Use GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,GAP-003,PLANNED_NOT_ACQUIRED
B031,S04,253.440,262.820,"At the top, there was anger about criticism. In the middle, increasingly forceful messages. At the security level, those messages were becoming action.",,ARCHIVE_PHOTO,S009,C003;C008;C009,NO,YES,NO,NO,NO,NO,Rights-safe archival/person/company/location photo with restrained editorial motion.,,PLANNED_NOT_ACQUIRED
B032,S04,263.740,273.040,"Then the process became more organized. On August sixth, Baugh held meetings with security-team members to plan an operation against the Steiners.",GFX-002,EDITOR_GRAPHIC,S009;S001;S002,C009,NO,NO,NO,NO,YES,NO,Use GFX-002 as the primary explanatory layer; support with archive/context where useful.,,PLANNED_NOT_ACQUIRED
B033,S04,273.860,283.080,"The plan included unwanted deliveries and online harassment. The next day, Baugh met with Wymer. And then the operation accelerated.",GFX-002,EDITOR_GRAPHIC,S009;S001,C009,NO,NO,NO,NO,YES,NO,Use GFX-002 as the primary explanatory layer; support with archive/context where useful.,,PLANNED_NOT_ACQUIRED
B034,S05,284.180,293.200,The Steiners began receiving threatening online messages and disturbing deliveries. The admitted record includes live insects and a bloody pig mask.,,ILLUSTRATIVE_RECONSTRUCTION,S001;S009;S012,C010,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,Clearly labeled illustrative reconstruction; never present as authentic evidence.,GAP-005,PLANNED_NOT_ACQUIRED
B035,S05,294.220,300.920,There were also Craigslist posts designed to send strangers toward the Steiners and other messages intended to frighten them.,,ILLUSTRATIVE_RECONSTRUCTION,S001;S009,C011,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,Clearly labeled illustrative reconstruction; never present as authentic evidence.,GAP-005,PLANNED_NOT_ACQUIRED
B036,S05,301.780,308.420,The details are bizarre enough to make the story feel almost unreal. But the key point is that this was organized.,,EDITORIAL_ARCHIVE,S001;S009,C010;C011,NO,NO,NO,NO,NO,NO,Rights-safe archival/contextual B-roll or editor-only branded transition; no factual invention.,,PLANNED_NOT_ACQUIRED
B037,S05,309.400,318.820,"People were planning activities, traveling, communicating, and using corporate-security personnel and resources around a campaign directed at two private citizens.",,MIXED,S009;S001,C009;C010;C011,NO,YES,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_GENERIC_NO_IDENTIFIABLE_ACTOR_CLAIMS,Rights-safe archival/person/company/location photo with restrained editorial motion.,,PLANNED_NOT_ACQUIRED
B038,S05,319.880,328.140,"Then the line moved again. On August fifteenth, Baugh, David Harville and Veronica Zea traveled to the Steiners' area.",GFX-002;GFX-004,MIXED,S009,C012,NO,NO,NO,YES,YES,YES_LABELLED_RECONSTRUCTION_GENERIC_NO_IDENTIFIABLE_ACTOR_CLAIMS,Use GFX-002+GFX-004 as the primary explanatory layer; support with archive/context where useful.,GAP-004,PLANNED_NOT_ACQUIRED
B039,S05,328.940,337.480,"According to the federal court record, they attempted to install a G-P-S tracker on the Steiners' vehicle. They also surveilled and followed the couple.",GFX-004;GFX-014,MIXED,S009;S001;S005,C012,YES,NO,NO,YES,YES,YES_LABELLED_RECONSTRUCTION_ATTEMPT_ONLY_NO_INSTALLED_TRACKER,Use GFX-004+GFX-014 as the primary explanatory layer; support with authentic record crop where useful.,GAP-007,PLANNED_NOT_ACQUIRED
B040,S05,338.340,349.320,The tracker was not established as successfully installed. But the attempt changed the nature of the story. This was no longer just anonymous online harassment or disturbing deliveries.,GFX-014,MIXED,S009,C012,NO,NO,NO,NO,YES,YES_LABELLED_RECONSTRUCTION_ATTEMPT_ONLY_NO_INSTALLED_TRACKER,Use GFX-014 as the primary explanatory layer; support with archive/context where useful.,GAP-007,PLANNED_NOT_ACQUIRED
B041,S05,350.380,355.800,"It had become a physical surveillance operation. And the next day, the Steiners went to the police.",GFX-004,MIXED,S009,C013,NO,NO,NO,YES,YES,YES_LABELLED_RECONSTRUCTION_GENERIC_NO_IDENTIFIABLE_ACTOR_CLAIMS,Use GFX-004 as the primary explanatory layer; support with archive/context where useful.,GAP-004,PLANNED_NOT_ACQUIRED
B042,S06,356.860,366.060,"Natick police began investigating on August sixteenth, twenty nineteen. That should have ended the operation. Instead, it created a second problem.",GFX-002;GFX-004,MIXED,S009;S001,C013,NO,NO,NO,YES,YES,NO,Use GFX-002+GFX-004 as the primary explanatory layer; support with archive/context where useful.,GAP-004,PLANNED_NOT_ACQUIRED
B043,S06,366.980,374.300,The first was what the security team had done. The second was what members of that team did once investigators started asking questions.,,EDITORIAL_ARCHIVE,S001;S002;S003,C014,NO,NO,NO,NO,NO,NO,Rights-safe archival/contextual B-roll or editor-only branded transition; no factual invention.,,PLANNED_NOT_ACQUIRED
B044,S06,375.480,384.240,"The record admitted by eBay and described by federal prosecutors includes false statements, deletion of digital evidence, and falsified records.",,SOURCE_DOCUMENT,S001;S002;S003,C014,YES,NO,NO,NO,NO,NO,Authentic source document/court/DOJ/corporate statement crop with restrained highlight and date/source metadata.,,PLANNED_NOT_ACQUIRED
B045,S06,385.280,394.160,"A security organization that existed to reduce risk had now created two kinds of risk: the operation itself, and the effort to conceal it.",,EDITORIAL_ARCHIVE,S001;S002;S003,C014,NO,NO,NO,NO,NO,NO,Rights-safe archival/contextual B-roll or editor-only branded transition; no factual invention.,,PLANNED_NOT_ACQUIRED
B046,S06,395.020,410.060,"eBay began its own internal investigation days later. By the end of August, several security employees had been placed on leave. Over time, key members of the operation were removed or terminated, and one contractor's relationship ended.",GFX-002,MIXED,S009;S012,C015,NO,YES,NO,NO,YES,NO,Use GFX-002 as the primary explanatory layer; support with archive/context where useful.,GAP-002,PLANNED_NOT_ACQUIRED
B047,S06,410.900,415.800,But internal discipline was only the beginning. Federal prosecutors were coming next.,,SOURCE_DOCUMENT,S001;S004,C014,YES,NO,NO,NO,NO,NO,Authentic source document/court/DOJ/corporate statement crop with restrained highlight and date/source metadata.,,PLANNED_NOT_ACQUIRED
B048,S07,416.540,422.360,"Beginning in twenty twenty, federal prosecutors brought criminal cases against people involved in the campaign.",GFX-005,MIXED,S004;S005;S006;S007;S008,C016,YES,NO,NO,NO,YES,NO,Use GFX-005 as the primary explanatory layer; support with authentic record crop where useful.,GAP-008,PLANNED_NOT_ACQUIRED
B049,S07,423.480,429.180,"Eventually, all seven former eBay employees and contractors who were prosecuted pleaded guilty.",GFX-005,MIXED,S004;S005;S006;S007;S008,C016,YES,NO,NO,NO,YES,NO,Use GFX-005 as the primary explanatory layer; support with authentic record crop where useful.,GAP-008,PLANNED_NOT_ACQUIRED
B050,S07,430.420,439.600,A guilty plea is not an allegation. It establishes criminal guilt without a trial. Jim Baugh received fifty-seven months in prison.,GFX-005,MIXED,S005,C016;C017,YES,NO,NO,NO,YES,NO,Use GFX-005 as the primary explanatory layer; support with authentic record crop where useful.,GAP-008,PLANNED_NOT_ACQUIRED
