beat_id,section,start,end,spoken_text,narrative_job,viewer_takeaway,audit_status,changes,old_primary_asset,new_primary_asset,production_route,template_id,frame_type,exact_text,legal_guardrail,source_missing,audit_note
B001,S01,0.000,5.400,"In August twenty nineteen, a couple in Massachusetts began receiving things that made no sense.",HOOK_EVIDENCE,MASSACHUSETTS — AUGUST 2019,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,NATICK_CENTER_2020_CC_BY_SA.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,T06,timeline,MASSACHUSETTS — AUGUST 2019,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B002,S01,6.340,7.000,Live insects.,HOOK_EVIDENCE,LIVE INSECTS,REDIRECT,SOURCE_CHANGE,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg,SOURCE_STYLED_GENERATION,T01,evidence,LIVE INSECTS,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B003,S01,7.760,8.660,Threatening messages.,HOOK_EVIDENCE,THREATENING MESSAGES,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DC006_DELIVERIES_GPS_ATTEMPT.png,DC022_THREATENING_MESSAGES.png,SOURCE_STYLED_GENERATION,T03,document,THREATENING MESSAGES,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B004,S01,9.480,10.480,A bloody pig mask.,HOOK_EVIDENCE,A BLOODY PIG MASK,REDIRECT,SOURCE_CHANGE,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,SOURCE_STYLED_GENERATION,T01,evidence,A BLOODY PIG MASK,Authentic evidence without horror/gore treatment.,,"Narration, final-frame content, source binding and route re-aligned in R4."
B005,S01,11.160,21.760,"And eventually, people connected to the campaign were watching them in person and trying to put a G-P-S tracker on their car. At first glance, this sounds like an internet stalking story.",HOOK_EVIDENCE,GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,NATURAL_EARTH_50M_US_STATES.zip,DC006_DELIVERIES_GPS_ATTEMPT.png,SOURCE_STYLED_GENERATION,T01,evidence,GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED,Tracker attempted; installation not established.,,"Narration, final-frame content, source binding and route re-aligned in R4."
B006,S01,22.300,29.240,"But the people behind it were not anonymous trolls. They worked in, or with, the security organization of eBay.",HOOK_CONSEQUENCE,EBAY SECURITY,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,EBAY_HQ_2018_CC_BY_SA.jpg,EBAY_HQ_2018_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,T01,evidence,EBAY SECURITY,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B007,S01,30.120,36.640,All seven former employees and contractors who were federally prosecuted over the campaign later pleaded guilty.,HOOK_CONSEQUENCE,SEVEN GUILTY PLEAS,REDIRECT,SOURCE_CHANGE;ROUTE_CHANGE,DC011_SEVEN_GUILTY_DOJ.png,DC011_SEVEN_GUILTY_DOJ.png,HYBRID_SOURCE_EDITORIAL,T07,accountability,SEVEN GUILTY PLEAS,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B008,S01,37.380,52.660,"Years later, prosecutors filed criminal charges against eBay itself. The company entered a deferred prosecution agreement, admitted a detailed factual account, paid a three-million-dollar criminal penalty, and accepted an independent compliance monitor.",HOOK_CONSEQUENCE,$3M CRIMINAL PENALTY • INDEPENDENT MONITOR,REDIRECT,SOURCE_CHANGE;ROUTE_CHANGE;TEMPLATE_REDIRECT,S002_EBAY_DEFERRED_PROSECUTION_AGREEMENT.pdf,DC015_DPA_CRIMINAL_PENALTY.png,HYBRID_SOURCE_EDITORIAL,T04,money,$3M CRIMINAL PENALTY • INDEPENDENT MONITOR,DPA is not a conviction. $3M criminal DPA penalty is separate from the $55.7M civil settlement package.,,"Narration, final-frame content, source binding and route re-aligned in R4."
B009,S01,53.280,61.640,"And in July twenty twenty-six, the civil case ended in an announced settlement package worth fifty-five-point-seven million dollars.",HOOK_CONSEQUENCE,$55.7M SETTLEMENT PACKAGE,REDIRECT,SOURCE_CHANGE;ROUTE_CHANGE,S020_D986_STIPULATION_DISMISSAL.pdf,S020_D986_STIPULATION_DISMISSAL.pdf,HYBRID_SOURCE_EDITORIAL,T04,money,$55.7M SETTLEMENT PACKAGE,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B010,S01,61.640,73.980,But the strangest part is not what arrived at the front door. It is how criticism of a company became a security problem inside that company — and how the consequences kept growing long after the harassment stopped.,HOOK_THESIS,CRITICISM → SECURITY → CONSEQUENCE,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,NATICK_CENTER_2020_CC_BY_SA.jpg,EBAY_HQ_2018_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,T01,evidence,CRITICISM → SECURITY → CONSEQUENCE,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B011,S02,74.680,82.100,"Ina and David Steiner ran EcommerceBytes, an independent publication covering online commerce since nineteen ninety-nine.",BACKGROUND_AND_SCALE,ECOMMERCEBYTES • SINCE 1999,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,EBAY_HQ_2018_CC_BY_SA.jpg,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,T01,evidence,ECOMMERCEBYTES • SINCE 1999,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B012,S02,82.920,89.480,"The scale mismatch was obvious: an independent trade publication on one side, a global marketplace on the other.",BACKGROUND_AND_SCALE,SMALL PUBLICATION / GLOBAL MARKETPLACE,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,EBAY_HQ_2018_CC_BY_SA.jpg,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,T01,evidence,SMALL PUBLICATION / GLOBAL MARKETPLACE,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B013,S02,90.120,99.720,"But the Steiners covered eBay's world closely — sellers, marketplace rules, executive decisions, and the complaints of people who depended on platforms like eBay.",BACKGROUND_AND_SCALE,SELLERS • RULES • EXECUTIVE DECISIONS,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,EBAY_HQ_2018_CC_BY_SA.jpg,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,T02,dossier,SELLERS • RULES • EXECUTIVE DECISIONS,,,"Narration, final-frame content, source binding and route re-aligned in R4."
