event_id,date,case_name,docket_number,court_or_agency,event_type,party,description,outcome,source_id,appeal_status,current_status,notes
E001,2020-early,Adobe / Figma deal background,,,EARLY_STRATEGIC_CONTACT,Adobe / Figma,Dylan Field and Adobe executives discussed possible partnership or combination; Figma declined to continue acquisition discussions at that time.,No transaction pursued.,S004,,HISTORICAL,
E002,2021-early,Adobe / Figma deal background,,,EARLY_STRATEGIC_CONTACT,Adobe / Figma,Field and Adobe CEO Shantanu Narayen discussed a potential acquisition; Figma again declined to continue at that time.,No transaction pursued.,S004,,HISTORICAL,
E003,2022-04-20,Adobe / Figma negotiations,,,NEGOTIATIONS_REOPEN,Adobe / Figma,Adobe executives David Wadhwani and Scott Belsky asked Field about discussing an acquisition; Field was open to understanding terms.,Active acquisition talks resumed.,S004,,HISTORICAL,
E004,2022-05-05,Adobe / Figma negotiations,,,CONFIDENTIALITY_AGREEMENT,Adobe / Figma,Parties entered a confidentiality agreement and Figma began providing confidential information to Adobe.,Due diligence process advanced.,S004,,HISTORICAL,
E005,2022-06-19,Adobe / Figma negotiations,,,NONBINDING_PROPOSAL,Adobe,"Adobe delivered a $20B non-binding proposal, approximately half cash and half stock; this proposal did not include a termination fee.",Figma continued negotiations and sought higher value.,S004,,HISTORICAL,
E006,2022-07-05,Adobe / Figma negotiations,,,COUNTERPROPOSAL,Figma,Figma counterproposed a reverse termination fee if the transaction failed to close due to failure to receive required antitrust approvals.,Termination-fee mechanism entered negotiations.,S004,,HISTORICAL,
E007,2022-07-20,Adobe / Figma negotiations,,,TERM_AGREED_IN_PRINCIPLE,Adobe / Figma,Adobe's revised proposal kept the $20B acquisition price and agreed to a $1B reverse termination fee.,Core fee term fixed before definitive agreement.,S004,,HISTORICAL,
E008,2022-09-15,Adobe / Figma proposed merger,,U.S. SEC,MERGER_AGREEMENT_SIGNED,Adobe / Figma,Parties executed and publicly announced the definitive merger agreement for approximately $20B.,Transaction became pending subject to regulatory and other closing conditions.,S001;S002;S003,,TERMINATED,
E009,2023-01-11,Adobe / Figma proposed merger,Registration No. 333-268364,U.S. SEC,PROSPECTUS_FILED,Adobe / Figma,"Consent solicitation/prospectus detailed transaction background, fee mechanics and regulatory conditions.",Public primary record of negotiations and contract structure.,S004,,FINAL_FILING,
E010,2023-05-03,Anticipated acquisition of Figma by Adobe,,UK CMA,MERGER_INQUIRY_OPENED,CMA,CMA formally launched UK merger inquiry.,Phase 1 review commenced.,S006,,CLOSED,
E011,2023-06-30,Anticipated acquisition of Figma by Adobe,,UK CMA,PHASE1_DECISION,CMA,CMA said the merger may be expected to result in a substantial lessening of competition unless acceptable undertakings were offered.,Transaction moved toward Phase 2.,S006,,SUPERSEDED_BY_PHASE2,Not a final prohibition.
E012,2023-06-30,M.11033 Adobe/Figma,M.11033,European Commission,EU_NOTIFICATION,Adobe / Figma / European Commission,European Commission received formal notification of the proposed acquisition.,EU merger review proceeded.,S011,,ENDED_WITHOUT_FORMAL_DECISION,
E013,2023-07-13,Anticipated acquisition of Figma by Adobe,,UK CMA,PHASE2_REFERRAL,CMA,CMA referred the merger for an in-depth Phase 2 investigation.,Independent inquiry group appointed.,S006,,CANCELLED_AFTER_ABANDONMENT,
E014,2023-08-07,M.11033 Adobe/Figma,M.11033,European Commission,PHASE2_OPENED,European Commission,Commission opened an in-depth investigation.,EU review advanced to Phase II.,S011,,ENDED_WITHOUT_FORMAL_DECISION,
E015,2023-09-28,Anticipated acquisition of Figma by Adobe,,UK CMA,PARTIES_RESPONSE,Adobe / Figma,Parties submitted a joint response arguing their activities were complementary and the deal pro-competitive.,Parties contested CMA theories of harm.,S009,,HISTORICAL_PARTY_POSITION,
E016,2023-11-17,M.11033 Adobe/Figma,M.11033,European Commission,STATEMENT_OF_OBJECTIONS,European Commission,Commission adopted a Statement of Objections setting out preliminary competition concerns.,Preliminary EU concerns formally communicated; no final decision issued before abandonment.,S011,,ENDED_WITHOUT_FORMAL_DECISION,Statement of Objections is not a final decision.
E017,2023-11-28,Anticipated acquisition of Figma by Adobe,,UK CMA,PROVISIONAL_FINDINGS_AND_REMEDIES,CMA,CMA published provisional findings and possible-remedies notice identifying three provisional SLCs and considering prohibition or structural divestiture.,Regulatory remedy risk became explicit.,S006;S007;S008,,PROVISIONAL_ONLY,No final CMA decision followed.
