beat_id,section,start,end,production_route,template_id,frame_type,exact_text,source_assets,legal_guardrail,generation_or_build_prompt,status
B001,S01,0.000,5.400,SOURCE_STYLED_GENERATION,T06,timeline,MASSACHUSETTS — AUGUST 2019,NATICK_CENTER_2020_CC_BY_SA.jpg;SOUTH_NATICK_BACON_LIBRARY_CC0.jpg,,"Create/deliver one finished 16:9 WHAT IT COST production still for B001, synchronized to narration: ""In August twenty nineteen, a couple in Massachusetts began receiving things that made no sense."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: NATICK_CENTER_2020_CC_BY_SA.jpg; SOUTH_NATICK_BACON_LIBRARY_CC0.jpg. Exact on-image text: ""MASSACHUSETTS — AUGUST 2019"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T06.",R4_READY
B002,S01,6.340,7.000,SOURCE_STYLED_GENERATION,T01,evidence,LIVE INSECTS,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg,,"Create/deliver one finished 16:9 WHAT IT COST production still for B002, synchronized to narration: ""Live insects."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: COCKROACH_CC0.jpg; SPIDER_CC0.jpg; LARVAE_CC0.jpg. Exact on-image text: ""LIVE INSECTS"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T01.",R4_READY
B003,S01,7.760,8.660,SOURCE_STYLED_GENERATION,T03,document,THREATENING MESSAGES,DC022_THREATENING_MESSAGES.png,,"Create/deliver one finished 16:9 WHAT IT COST production still for B003, synchronized to narration: ""Threatening messages."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC022_THREATENING_MESSAGES.png. Exact on-image text: ""THREATENING MESSAGES"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T03.",R4_READY
B004,S01,9.480,10.480,SOURCE_STYLED_GENERATION,T01,evidence,A BLOODY PIG MASK,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,Authentic evidence without horror/gore treatment.,"Create/deliver one finished 16:9 WHAT IT COST production still for B004, synchronized to narration: ""A bloody pig mask."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DOJ_FBI_PIG_MASK_AND_BOOK.jpg. Exact on-image text: ""A BLOODY PIG MASK"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions. Authentic evidence without horror/gore treatment. ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T01.",R4_READY
B005,S01,11.160,21.760,SOURCE_STYLED_GENERATION,T01,evidence,GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,Tracker attempted; installation not established.,"Create/deliver one finished 16:9 WHAT IT COST production still for B005, synchronized to narration: ""And eventually, people connected to the campaign were watching them in person and trying to put a G-P-S tracker on their car. At first glance, this sounds like an internet stalking story."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC006_DELIVERIES_GPS_ATTEMPT.png; DC007_GPS_GARAGE_ATTEMPT.png; GENERIC_GPS_TRACKER_CC0.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg. Exact on-image text: ""GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions. Tracker attempted; installation not established. ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T01.",R4_READY
B006,S01,22.300,29.240,SOURCE_STYLED_GENERATION,T01,evidence,EBAY SECURITY,EBAY_HQ_2018_CC_BY_SA.jpg;LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg,,"Create/deliver one finished 16:9 WHAT IT COST production still for B006, synchronized to narration: ""But the people behind it were not anonymous trolls. They worked in, or with, the security organization of eBay."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: EBAY_HQ_2018_CC_BY_SA.jpg; LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg. Exact on-image text: ""EBAY SECURITY"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T01.",R4_READY
B007,S01,30.120,36.640,HYBRID_SOURCE_EDITORIAL,T07,accountability,SEVEN GUILTY PLEAS,DC011_SEVEN_GUILTY_DOJ.png,,"Create/deliver one finished 16:9 WHAT IT COST production still for B007, synchronized to narration: ""All seven former employees and contractors who were federally prosecuted over the campaign later pleaded guilty."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC011_SEVEN_GUILTY_DOJ.png. Exact on-image text: ""SEVEN GUILTY PLEAS"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: HYBRID_SOURCE_EDITORIAL. Compose the authentic source assets into the final branded frame and add only deterministic exact labels/GFX. AI may style background/material atmosphere only if it does not alter source pixels or factual text. Template T07.",R4_READY
B008,S01,37.380,52.660,HYBRID_SOURCE_EDITORIAL,T04,money,$3M CRIMINAL PENALTY • INDEPENDENT MONITOR,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DPA is not a conviction. $3M criminal DPA penalty is separate from the $55.7M civil settlement package.,"Create/deliver one finished 16:9 WHAT IT COST production still for B008, synchronized to narration: ""Years later, prosecutors filed criminal charges against eBay itself. The company entered a deferred prosecution agreement, admitted a detailed factual account, paid a three-million-dollar criminal penalty, and accepted an independent compliance monitor."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC015_DPA_CRIMINAL_PENALTY.png; DC016_DPA_COMPLIANCE_MONITOR.png; DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png; EBAY_HQ_2018_CC_BY_SA.jpg. Exact on-image text: ""$3M CRIMINAL PENALTY • INDEPENDENT MONITOR"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions. DPA is not a conviction. $3M criminal DPA penalty is separate from the $55.7M civil settlement package. ROUTE: HYBRID_SOURCE_EDITORIAL. Compose the authentic source assets into the final branded frame and add only deterministic exact labels/GFX. AI may style background/material atmosphere only if it does not alter source pixels or factual text. Template T04.",R4_READY
B009,S01,53.280,61.640,HYBRID_SOURCE_EDITORIAL,T04,money,$55.7M SETTLEMENT PACKAGE,S020_D986_STIPULATION_DISMISSAL.pdf;EBAY_HQ_2018_CC_BY_SA.jpg,,"Create/deliver one finished 16:9 WHAT IT COST production still for B009, synchronized to narration: ""And in July twenty twenty-six, the civil case ended in an announced settlement package worth fifty-five-point-seven million dollars."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: S020_D986_STIPULATION_DISMISSAL.pdf; EBAY_HQ_2018_CC_BY_SA.jpg. Exact on-image text: ""$55.7M SETTLEMENT PACKAGE"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: HYBRID_SOURCE_EDITORIAL. Compose the authentic source assets into the final branded frame and add only deterministic exact labels/GFX. AI may style background/material atmosphere only if it does not alter source pixels or factual text. Template T04.",R4_READY
B010,S01,61.640,73.980,SOURCE_STYLED_GENERATION,T01,evidence,CRITICISM → SECURITY → CONSEQUENCE,EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,,"Create/deliver one finished 16:9 WHAT IT COST production still for B010, synchronized to narration: ""But the strangest part is not what arrived at the front door. It is how criticism of a company became a security problem inside that company — and how the consequences kept growing long after the harassment stopped."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: EBAY_HQ_2018_CC_BY_SA.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg. Exact on-image text: ""CRITICISM → SECURITY → CONSEQUENCE"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T01.",R4_READY
