generation_slot,beat_id,prep_id,asset_id,asset_class,usable,input_file,binding_mode
G001,B002,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
G002,B003,P_RV025,RV025,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,ATTACH_PREPARED_INPUT
G003,B004,D_RV052,RV052,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV052_JULY20_FEE_AGREED_CROP.png,ATTACH_PREPARED_INPUT
G004,B005,P_RV004,RV004,REAL-PHOTO,YES_CLEAR,12_SOURCE_PREP/RV004_ADOBE_HQ_SAN_JOSE.jpg,ATTACH_PREPARED_INPUT
G004,B005,P_RV015,RV015,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV015_CONFIG_2023_KEYNOTE.jpg,ATTACH_PREPARED_INPUT
G005,B006,D_RV063,RV063,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV063_10K_PAYMENT_CROP.png,ATTACH_PREPARED_INPUT
G006,B011,P_RV037,RV037,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV037_FIGMA_DEV_MODE_UI.png,ATTACH_PREPARED_INPUT
G006,B011,P_RV044,RV044,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV044_ADOBE_XD_WORKFLOW_UI.png,ATTACH_PREPARED_INPUT
G007,B013,D_RV048,RV048,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV048_8K_MERGER_AGREEMENT_CROP.png,ATTACH_PREPARED_INPUT
G008,B014,P_RV004,RV004,REAL-PHOTO,YES_CLEAR,12_SOURCE_PREP/RV004_ADOBE_HQ_SAN_JOSE.jpg,ATTACH_PREPARED_INPUT
G009,B015,D_RV047,RV047,DOCUMENT,YES_EDITORIAL,12_SOURCE_PREP/RV047_ANNOUNCEMENT_HEADLINE_CROP.png,ATTACH_PREPARED_INPUT
G009,B015,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
G010,B017,P_RV013,RV013,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV013_FIGMA_FOUNDERS_ARCHIVAL.jpg,ATTACH_PREPARED_INPUT
G011,B018,P_RV065,RV065,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV065_ADOBE_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G011,B018,P_RV066,RV066,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G012,B019,P_RV001,RV001,REAL-PHOTO,YES_CLEAR,12_SOURCE_PREP/RV001_NARAYEN_PORTRAIT.jpg,ATTACH_PREPARED_INPUT
G014,B024,P_RV012,RV012,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV012_FIELD_PORTRAIT.jpg,ATTACH_PREPARED_INPUT
G014,B024,P_RV065,RV065,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV065_ADOBE_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G015,B026,P_RV004,RV004,REAL-PHOTO,YES_CLEAR,12_SOURCE_PREP/RV004_ADOBE_HQ_SAN_JOSE.jpg,ATTACH_PREPARED_INPUT
G016,B027,D_RV053,RV053,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV053_10Q_CLOSING_RISK_CROP.png,ATTACH_PREPARED_INPUT
G017,B028,P_RV065,RV065,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV065_ADOBE_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G017,B028,P_RV066,RV066,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G019,B031,D_RV049B,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_NOT_A_PENALTY_CROP.png,ATTACH_PREPARED_INPUT
G021,B033,D_RV048,RV048,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV048_8K_MERGER_AGREEMENT_CROP.png,ATTACH_PREPARED_INPUT
G022,B035,P_RV025,RV025,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,ATTACH_PREPARED_INPUT
G023,B036,P_RV009,RV009,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV009_NARAYEN_MAX_2022_STAGE.jpg,ATTACH_PREPARED_INPUT
G023,B036,P_RV066,RV066,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G024,B037,P_RV016,RV016,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV016_CONFIG_2023_CROWD.jpg,ATTACH_PREPARED_INPUT
G025,B038,P_RV065,RV065,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV065_ADOBE_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G025,B038,P_RV066,RV066,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G026,B039,P_RV025,RV025,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,ATTACH_PREPARED_INPUT
G026,B039,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
G027,B040,D_RV047,RV047,DOCUMENT,YES_EDITORIAL,12_SOURCE_PREP/RV047_ANNOUNCEMENT_HEADLINE_CROP.png,ATTACH_PREPARED_INPUT
G028,B041,P_RV068,RV068,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV068_BERLAYMONT.jpg,ATTACH_PREPARED_INPUT
G029,B042,D_RV054,RV054,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV054_CMA_CASE_TIMELINE_CROP.png,ATTACH_PREPARED_INPUT
G030,B043,D_RV055,RV055,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV055_CMA_PHASE1_DECISION_CROP.png,ATTACH_PREPARED_INPUT
G031,B044,P_RV069,RV069,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV069_BERLAYMONT_ALT.jpg,ATTACH_PREPARED_INPUT
G032,B046,D_RV055,RV055,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV055_CMA_PHASE1_DECISION_CROP.png,ATTACH_PREPARED_INPUT
G032,B046,P_RV068,RV068,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV068_BERLAYMONT.jpg,ATTACH_PREPARED_INPUT
G033,B047,P_RV070,RV070,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV070_DOJ_HQ.jpg,ATTACH_PREPARED_INPUT
G034,B048,D_RV048,RV048,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV048_8K_MERGER_AGREEMENT_CROP.png,ATTACH_PREPARED_INPUT
G035,B049,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
G036,B050,D_RV053,RV053,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV053_10Q_CLOSING_RISK_CROP.png,ATTACH_PREPARED_INPUT
G037,B051,P_RV068,RV068,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV068_BERLAYMONT.jpg,ATTACH_PREPARED_INPUT
G037,B051,D_RV054,RV054,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV054_CMA_CASE_TIMELINE_CROP.png,ATTACH_PREPARED_INPUT
G038,B056,P_RV065,RV065,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV065_ADOBE_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G038,B056,P_RV066,RV066,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G039,B057,P_RV033,RV033,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV033_FIGMA_COLLAB_WORKFLOW_UI.png,ATTACH_PREPARED_INPUT
G040,B058,D_RV056,RV056,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV056_CMA_PROVISIONAL_FINDINGS_CROP.png,ATTACH_PREPARED_INPUT
G041,B060,P_RV009,RV009,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV009_NARAYEN_MAX_2022_STAGE.jpg,ATTACH_PREPARED_INPUT
G041,B060,P_RV012,RV012,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV012_FIELD_PORTRAIT.jpg,ATTACH_PREPARED_INPUT
G042,B062,D_RV054,RV054,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV054_CMA_CASE_TIMELINE_CROP.png,ATTACH_PREPARED_INPUT
G043,B063,D_RV056,RV056,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV056_CMA_PROVISIONAL_FINDINGS_CROP.png,ATTACH_PREPARED_INPUT
G043,B063,D_RV058,RV058,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV058_PARTIES_RESPONSE_CROP.png,ATTACH_PREPARED_INPUT
G044,B064,D_RV057,RV057,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV057_CMA_POSSIBLE_REMEDIES_CROP.png,ATTACH_PREPARED_INPUT
G045,B066,P_RV004,RV004,REAL-PHOTO,YES_CLEAR,12_SOURCE_PREP/RV004_ADOBE_HQ_SAN_JOSE.jpg,ATTACH_PREPARED_INPUT
G045,B066,P_RV066,RV066,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G046,B067,P_RV069,RV069,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV069_BERLAYMONT_ALT.jpg,ATTACH_PREPARED_INPUT
G047,B068,P_RV025,RV025,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,ATTACH_PREPARED_INPUT
G048,B070,D_RV061,RV061,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV061_8K_TERMINATION_CROP.png,ATTACH_PREPARED_INPUT
G049,B071,P_RV068,RV068,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV068_BERLAYMONT.jpg,ATTACH_PREPARED_INPUT
