file,source_url,rights_class,publication_use,notes
S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf,US_FEDERAL_COURT_OPINION,YES_WITH_GUARDRAILS,Official GovInfo court order; redact PII and inspect embedded third-party material
S003_EBAY_CRIMINAL_INFORMATION.pdf,https://www.justice.gov/usao-ma/media/1333086/dl,US_GOV_PUBLIC_DOMAIN,YES_WITH_GUARDRAILS,Government-authored filing text; avoid protected seals/logos
DOJ_FBI_PIG_MASK_AND_BOOK.jpg,https://www.justice.gov/usao-ma/pr/final-defendant-ebay-cyberstalking-case-sentenced,US_GOV_SOURCE_IMAGE,YES,Authentic case-evidence image; source credit DOJ/FBI
S020_D986_STIPULATION_DISMISSAL.pdf,https://attorneywire.com/wp-content/uploads/2026/07/Steiner_et_al_v_eBay_Inc_et_al__madce-21-11181__0986.0.pdf,COURT_FILING_RIGHTS_REVIEW,EDITOR_RECREATE_DEFAULT,Primary procedural source; literal crop requires fair-use/provenance review
EBAY_HQ_2018_CC_BY_SA.jpg,https://commons.wikimedia.org/wiki/File:EBay_headquarters_2018.jpg,CC_BY_SA_4_0,YES_WITH_ATTRIBUTION,Credit Coolcaesar; indicate edits/crop; comply with CC BY-SA 4.0
NATICK_CENTER_2020_CC_BY_SA.jpg,https://commons.wikimedia.org/wiki/File:Natick_spring_2020.jpg,CC_BY_SA_4_0,YES_WITH_ATTRIBUTION,Credit Rames1651; generic Natick context only
SOUTH_NATICK_BACON_LIBRARY_CC0.jpg,https://commons.wikimedia.org/wiki/File:Bacon_Free_Library_-_South_Natick,_MA_-_DSC09574.jpg,CC0,YES,Generic geographic context only
COCKROACH_CC0.jpg,https://commons.wikimedia.org/wiki/File:A_cockroach.jpg,CC0,YES_GENERIC_ONLY,Not authentic case specimen
SPIDER_CC0.jpg,https://commons.wikimedia.org/wiki/File:Spider_image_view.jpg,CC0,YES_GENERIC_ONLY,Not authentic case evidence
LARVAE_CC0.jpg,https://commons.wikimedia.org/wiki/File:Sawfly_larvae_on_globemallow_(Symphyta)_(30098020405).jpg,CC0,YES_GENERIC_ONLY,Species need not match the delivered larvae
PARCEL_CC0.webp,https://commons.wikimedia.org/wiki/File:Parcel_box_and_mailbox.webp,CC0,YES_GENERIC_ONLY,Generic delivery context only
FUNERAL_WREATH_CC0.jpg,https://commons.wikimedia.org/wiki/File:Funeral_wreath_09_27_1421u.JPG,CC0,YES_GENERIC_ONLY,Generic object only
GENERIC_GPS_TRACKER_CC0.jpg,https://commons.wikimedia.org/wiki/File:Kippy_Tracker_Device.jpg,CC0,YES_GENERIC_ONLY,Never imply this is the case device or that installation succeeded
OFFICE_INTERIOR_CC0.jpg,https://commons.wikimedia.org/wiki/File:Office_interior_2022_queue.jpg,CC0,YES_GENERIC_ONLY,Generic office context; not eBay offices
MASSACHUSETTS_FENCE_CC0.jpg,https://commons.wikimedia.org/wiki/File:Wooden_fence_-_Arlington,_MA_-_02.jpg,CC0,YES_GENERIC_RECONSTRUCTION,Not actual Steiner fence; FidoMaster text must be editor-native
NATURAL_EARTH_110M_ADMIN0_COUNTRIES.zip,https://www.naturalearthdata.com/downloads/,PUBLIC_DOMAIN,YES,Map base only; never expose victim address
