asset_id,type,source_id,generator_or_origin,version,status,storage_uri,rights_or_usage_note
B001,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R5_TEST10_PASS,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121010_4676da5f-bbf6-4876-b648-c348e26594fa.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B002,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160844_06779bba-5d10-41cd-87a6-5c5bc68c35b8.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B003,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163252_47de0fcb-99fa-438e-9fdb-b3b0069eebea.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B004,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R5_TEST10_PASS,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121009_378df3ec-d265-4b5f-9077-7b5a45b67803.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B005,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160843_a227d178-816f-4552-b2d2-6c70521e1a4d.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B006,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R5_TEST10_PASS,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121012_58d38764-b55e-4400-8624-fbf3e9b37b54.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B007,EDITOR_BUILD,DC011_SEVEN_GUILTY_DOJ.png,15A deterministic source editor,15A,FINAL_LOCKED,12B_SOURCE_ASSETS/DC011_SEVEN_GUILTY_DOJ.png,DOJ/government-source/editor-native court/document crop; no seals/logos or externally credited material treated as cleared.
B008,EDITOR_NATIVE_GFX,G14-001,Stage14 editor-native GFX,G14-001,FINAL_LOCKED,GFX archive media 4eb621b3-decd-427f-8730-580d55779b91,Editor-native graphics; factual/legal text bound to project claims/source ledgers.
B009,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160843_11aa00d4-2501-410a-9d12-f6a0ce895476.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B010,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160844_2fd9995c-9f2c-4102-aa1c-b326ccebe477.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B011,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160844_1b465b06-39de-4fcc-a467-94d3f3dfcba7.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B012,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163255_9c06166a-aa30-452b-a813-7fba30ee5f1d.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B013,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160850_d1901893-3d47-44f7-bf0e-08013aebbabd.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B014,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163256_9379b0ad-2db2-4626-b311-0e16461eefc0.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B015,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163252_351ff9c9-c5dd-4fbe-8758-7db971af0064.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B016,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160851_b371088b-40c9-4ac0-bb6e-3e6af96dfa24.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B017,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163255_cdec4f7f-6260-4fea-a647-af611279f6cd.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B018,EDITOR_BUILD,DC001_CRUSH_THIS_LADY.png,15A deterministic source editor,15A,FINAL_LOCKED,12B_SOURCE_ASSETS/DC001_CRUSH_THIS_LADY.png,DOJ/government-source/editor-native court/document crop; no seals/logos or externally credited material treated as cleared.
B019,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160855_7cc5753b-6365-4fd2-94ce-ecef1d439c06.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B020,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160855_22fd65ec-1846-4ea2-a8c2-363c84347863.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B021,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH15,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160856_d91b79fc-ba49-45be-91b3-109435e3e68b.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B022,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163254_1177555e-83a7-4418-908e-523618fe282a.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B023,EDITOR_NATIVE_GFX,G14-002,Stage14 editor-native GFX,G14-002,FINAL_LOCKED,GFX archive media 4eb621b3-decd-427f-8730-580d55779b91,Editor-native graphics; factual/legal text bound to project claims/source ledgers.
B024,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_32d1ee9b-6f54-4b52-84eb-ebc019cf9147.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B025,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_392fe112-7deb-4edb-81ee-7f4033d01872.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B026,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_4216b54a-2182-494b-8a82-72a03187011e.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B027,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_0637eab2-92dc-40ef-b576-ec7e4ee0c554.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B028,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163303_5469d2fd-e242-495f-8210-5b4f1d34efa1.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B029,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_80ba2c3c-889d-45c5-885a-72e9a7ff5633.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
