asset_id,asset_class,usable,url,source,prep_mode,prep_rule,status
RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV025,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/adobe-figma-faq/,Figma Blog,AUTHENTIC_UI_CROP,Acquire exact official UI screenshot/crop; no synthetic UI.,PREP_REQUIRED_BEFORE_GENERATION
RV050,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV051,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV052,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV001,REAL-PHOTO,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Shantanu_Narayen_-_the_CEO_of_Adobe_Inc.jpg,Wikimedia Commons / Brian Cummings Photography,SOURCE_RESOLUTION_PHOTO,Use source-resolution image; real-person faces remain unchanged photographic insets.,PREP_REQUIRED_BEFORE_GENERATION
RV012,REAL-PHOTO,YES_EDITORIAL,https://fig-events.figma.com/make-and-meet-dc/,Figma Events,SOURCE_RESOLUTION_PHOTO,Use source-resolution image; real-person faces remain unchanged photographic insets.,PREP_REQUIRED_BEFORE_GENERATION
RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV037,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/introducing-dev-mode/,Figma Blog,AUTHENTIC_UI_CROP,Acquire exact official UI screenshot/crop; no synthetic UI.,PREP_REQUIRED_BEFORE_GENERATION
RV044,PRODUCT-UI,YES_EDITORIAL,https://www.adobe.com/products/xd/wireframing-tool.html,Adobe XD documentation,AUTHENTIC_UI_CROP,Acquire exact official UI screenshot/crop; no synthetic UI.,PREP_REQUIRED_BEFORE_GENERATION
RV047,DOCUMENT,YES_EDITORIAL,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV048,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_8k.htm,SEC / Adobe Form 8-K,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV054,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA case page,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV068,CONTEXT,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Berlaymont_EU_Building-Brussels.jpg,Wikimedia Commons / acediscovery,CONTEXT_ASSET,Preserve exact context/logo/building identity.,PREP_REQUIRED_BEFORE_GENERATION
RV055,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA Phase 1 decision linked from case page,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV060,DOCUMENT,YES_CLEAR,https://www.justice.gov/archives/opa/pr/antitrust-aag-kanter-statement-after-adobe-and-figma-abandon-merger,U.S. DOJ Antitrust Division,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV070,CONTEXT,YES_CLEAR,"https://commons.wikimedia.org/wiki/File:U.S._Department_of_Justice_headquarters,_August_12,_2006.jpg",Wikimedia Commons / Coolcaesar,CONTEXT_ASSET,Preserve exact context/logo/building identity.,PREP_REQUIRED_BEFORE_GENERATION
RV056,DOCUMENT,YES_CLEAR,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV057,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV058,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,TIGHT_AUTHENTIC_CROP_OR_REFERENCE_ONLY,Never attach raw PDF/HTML. Preserve authentic pixels if a crop is made; no AI retype/redraw.,PREP_REQUIRED_BEFORE_GENERATION
RV018,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/figma-ipo-founder-letter/,Figma Blog,SOURCE_RESOLUTION_PHOTO,Use source-resolution image; real-person faces remain unchanged photographic insets.,PREP_REQUIRED_BEFORE_GENERATION
RV019,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,SOURCE_RESOLUTION_PHOTO,Use source-resolution image; real-person faces remain unchanged photographic insets.,PREP_REQUIRED_BEFORE_GENERATION
