beat_id,source_or_reference,prep_mode,output_target,purpose,rule,status
B003,DC022_THREATENING_MESSAGES.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B003_DC022_THREATENING_MESSAGES.png,THREATENING MESSAGES,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B005,DC006_DELIVERIES_GPS_ATTEMPT.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC006_DELIVERIES_GPS_ATTEMPT.png,GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B005,DC007_GPS_GARAGE_ATTEMPT.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC007_GPS_GARAGE_ATTEMPT.png,GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B007,DC011_SEVEN_GUILTY_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B007_DC011_SEVEN_GUILTY_DOJ.png,SEVEN GUILTY PLEAS,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B008,DC015_DPA_CRIMINAL_PENALTY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC015_DPA_CRIMINAL_PENALTY.png,$3M CRIMINAL PENALTY • INDEPENDENT MONITOR,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B008,DC016_DPA_COMPLIANCE_MONITOR.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC016_DPA_COMPLIANCE_MONITOR.png,$3M CRIMINAL PENALTY • INDEPENDENT MONITOR,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B008,DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B008_DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,$3M CRIMINAL PENALTY • INDEPENDENT MONITOR,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B009,S014/S017/S018,EDITOR_VERIFIED_FACT_STRIP,12B_SOURCE_ASSETS/R6_PREP/R6P_B009_SETTLEMENT_55_7_FACT_STRIP.png,$55.7M announced package; S020 supports procedural finality only.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B009,S020_D986_STIPULATION_DISMISSAL.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B011,DC018_CIVIL_COMPLAINT_COVER.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B011_DC018_CIVIL_COMPLAINT_COVER.png,ECOMMERCEBYTES • SINCE 1999,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B011,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B012,DC018_CIVIL_COMPLAINT_COVER.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B012_DC018_CIVIL_COMPLAINT_COVER.png,SMALL PUBLICATION / GLOBAL MARKETPLACE,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B012,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B013,DC018_CIVIL_COMPLAINT_COVER.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B013_DC018_CIVIL_COMPLAINT_COVER.png,SELLERS • RULES • EXECUTIVE DECISIONS,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B013,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B014,DC018_CIVIL_COMPLAINT_COVER.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B014_DC018_CIVIL_COMPLAINT_COVER.png,SPRING 2019,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B014,S009,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B014_S009_SPRING2019_FRUSTRATION.png,Court excerpt supporting spring-2019 frustration.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B014,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B015,DC018_CIVIL_COMPLAINT_COVER.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B015_DC018_CIVIL_COMPLAINT_COVER.png,"CRITICISM, NOT COMPETITION",Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B015,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B016,DC018_CIVIL_COMPLAINT_COVER.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B016_DC018_CIVIL_COMPLAINT_COVER.png,HOW DID CRITICISM BECOME SECURITY?,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B016,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B017,DC001_CRUSH_THIS_LADY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B017_DC001_CRUSH_THIS_LADY.png,THE INTERNAL MESSAGES,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B018,DC001_CRUSH_THIS_LADY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B018_DC001_CRUSH_THIS_LADY.png,“WE ARE GOING TO CRUSH THIS LADY.”,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B019,DC003_TAKE_HER_DOWN.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B019_DC003_TAKE_HER_DOWN.png,“TAKE HER DOWN.”,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B020,DC004_NOW_IS_THE_TIME.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B020_DC004_NOW_IS_THE_TIME.png,“NOW IS THE TIME.”,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B021,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B022,DC008_WENIG_NO_DIRECT_BAUGH.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B022_DC008_WENIG_NO_DIRECT_BAUGH.png,NO DIRECT COMMUNICATION WITH BAUGH,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B023,S009,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B023_S009_WHATEVER_IT_TAKES.png,Exact Whatever it takes excerpt.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B023,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
