perceptual_mode,start_beat,end_beat,beat_count,start_sec,end_sec,duration_sec,status
REAL_WORLD_OR_GEOGRAPHY,B001,B001,1,0,5.4,5.4,PASS
AUTHENTIC_EVIDENCE,B002,B004,3,6.34,10.48,4.140000000000001,PASS
REAL_WORLD_OR_GEOGRAPHY,B005,B006,2,11.16,29.24,18.08,PASS
ACCOUNTABILITY_ROSTER,B007,B007,1,30.12,36.64,6.52,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B008,B008,1,37.38,52.66,15.279999999999994,PASS
MONEY_EXPLAINER,B009,B009,1,53.28,61.64,8.36,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B010,B010,1,61.64,73.98,12.340000000000003,PASS
REAL_WORLD_OR_GEOGRAPHY,B011,B013,3,74.68,99.72,25.039999999999992,PASS
SOURCE_DOCUMENT,B014,B014,1,100.54,110.02,9.47999999999999,PASS
REAL_WORLD_OR_GEOGRAPHY,B015,B016,2,110.44,130.26,19.819999999999993,PASS
SOURCE_DOCUMENT,B017,B020,4,131.06,159.86,28.80000000000001,PASS
PERSON_OR_LEGAL_STATUS,B021,B022,2,160.68,179.68,19,PASS
SOURCE_DOCUMENT,B023,B023,1,180.26,189.8,9.54000000000002,PASS
PERSON_OR_LEGAL_STATUS,B024,B027,4,190.56,218.3,27.74000000000001,PASS
REAL_WORLD_OR_GEOGRAPHY,B028,B029,2,219.2,241.82,22.620000000000005,PASS
SOURCE_DOCUMENT,B030,B030,1,242.56,252.48,9.919999999999987,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B031,B033,3,253.44,283.08,29.639999999999986,PASS
AUTHENTIC_EVIDENCE,B034,B035,2,284.18,300.92,16.74000000000001,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B036,B037,2,301.78,318.82,17.04000000000002,PASS
REAL_WORLD_OR_GEOGRAPHY,B038,B039,2,319.88,337.48,17.600000000000023,PASS
SOURCE_DOCUMENT,B040,B040,1,338.34,349.32,10.980000000000018,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B041,B041,1,350.38,355.8,5.420000000000016,PASS
REAL_WORLD_OR_GEOGRAPHY,B042,B042,1,356.86,366.06,9.199999999999989,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B043,B043,1,366.98,374.3,7.319999999999993,PASS
SOURCE_DOCUMENT,B044,B044,1,375.48,384.24,8.759999999999991,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B045,B045,1,385.28,394.16,8.880000000000052,PASS
REAL_WORLD_OR_GEOGRAPHY,B046,B046,1,395.02,410.06,15.04000000000002,PASS
SOURCE_DOCUMENT,B047,B047,1,410.9,415.8,4.900000000000034,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B048,B048,1,416.54,422.36,5.819999999999993,PASS
ACCOUNTABILITY_ROSTER,B049,B049,1,423.48,429.18,5.699999999999989,PASS
SOURCE_DOCUMENT,B050,B050,1,430.42,439.6,9.180000000000007,PASS
ACCOUNTABILITY_ROSTER,B051,B051,1,440.92,449.88,8.95999999999998,PASS
REAL_WORLD_OR_GEOGRAPHY,B052,B052,1,451.34,460.88,9.54000000000002,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B053,B053,1,462.06,468.78,6.71999999999997,PASS
SOURCE_DOCUMENT,B054,B055,2,469.98,483.16,13.180000000000007,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B056,B056,1,484.2,495.5,11.300000000000011,PASS
PERSON_OR_LEGAL_STATUS,B057,B057,1,496.9,499.3,2.400000000000034,PASS
SOURCE_DOCUMENT,B058,B058,1,500.3,503.88,3.579999999999984,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B059,B060,2,505.02,524.08,19.06000000000006,PASS
REAL_WORLD_OR_GEOGRAPHY,B061,B061,1,525.14,528.12,2.980000000000018,PASS
MONEY_EXPLAINER,B062,B062,1,529.3,536.78,7.480000000000018,PASS
SOURCE_DOCUMENT,B063,B063,1,537.6,544.24,6.639999999999986,PASS
REAL_WORLD_OR_GEOGRAPHY,B064,B064,1,545.64,555.98,10.340000000000032,PASS
PERSON_OR_LEGAL_STATUS,B065,B065,1,556.82,565.86,9.039999999999964,PASS
REAL_WORLD_OR_GEOGRAPHY,B066,B066,1,566.96,569.3,2.339999999999918,PASS
SOURCE_DOCUMENT,B067,B067,1,570.64,574.5,3.8600000000000136,PASS
REAL_WORLD_OR_GEOGRAPHY,B068,B068,1,575.64,580.4,4.759999999999991,PASS
SOURCE_DOCUMENT,B069,B069,1,581.04,593.08,12.040000000000077,PASS
PERSON_OR_LEGAL_STATUS,B070,B070,1,593.8,603.44,9.6400000000001,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B071,B071,1,604.1,608.76,4.659999999999968,PASS
SOURCE_DOCUMENT,B072,B072,1,609.66,619.44,9.780000000000086,PASS
PERSON_OR_LEGAL_STATUS,B073,B073,1,620.24,633.06,12.819999999999936,PASS
SOURCE_DOCUMENT,B074,B075,2,634.08,663.82,29.74000000000001,PASS
PERSON_OR_LEGAL_STATUS,B076,B077,2,664.56,674.26,9.700000000000045,PASS
SOURCE_DOCUMENT,B078,B078,1,675.7,691.4,15.699999999999932,PASS
REAL_WORLD_OR_GEOGRAPHY,B079,B079,1,692.44,702.28,9.839999999999918,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B080,B080,1,703.64,709,5.360000000000014,PASS
REAL_WORLD_OR_GEOGRAPHY,B081,B081,1,710.38,718.56,8.17999999999995,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B082,B082,1,718.56,723.48,4.920000000000073,PASS
PERSON_OR_LEGAL_STATUS,B083,B083,1,724.22,733.82,9.600000000000023,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B084,B084,1,734.86,743.18,8.319999999999936,PASS
PERSON_OR_LEGAL_STATUS,B085,B085,1,743.96,752.34,8.379999999999995,PASS
SOURCE_DOCUMENT,B086,B086,1,752.94,757,4.059999999999945,PASS
MONEY_EXPLAINER,B087,B088,2,757.98,766.94,8.960000000000036,PASS
SOURCE_DOCUMENT,B089,B089,1,766.94,772.52,5.579999999999927,PASS
PERSON_OR_LEGAL_STATUS,B090,B090,1,773.22,777.68,4.459999999999923,PASS
MONEY_EXPLAINER,B091,B092,2,778.64,787.64,9,PASS
REAL_WORLD_OR_GEOGRAPHY,B093,B093,1,788.54,794.66,6.1200000000000045,PASS
PERSON_OR_LEGAL_STATUS,B094,B095,2,794.66,801.26,6.600000000000023,PASS
MONEY_EXPLAINER,B096,B096,1,801.74,812.02,10.279999999999973,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B097,B098,2,812.78,825.7,12.920000000000073,PASS
SOURCE_DOCUMENT,B099,B099,1,826.3,827.52,1.2200000000000273,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B100,B100,1,828.32,838.04,9.719999999999914,PASS
REAL_WORLD_OR_GEOGRAPHY,B101,B101,1,838.82,843.7,4.8799999999999955,PASS
PERSON_OR_LEGAL_STATUS,B102,B103,2,844.6,861.28,16.67999999999995,PASS
SOURCE_DOCUMENT,B104,B104,1,862.24,869.06,6.819999999999936,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B105,B105,1,870.12,880.54,10.419999999999959,PASS
REAL_WORLD_OR_GEOGRAPHY,B106,B106,1,881.42,888.7,7.280000000000086,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B107,B107,1,889.2,897.02,7.819999999999936,PASS
ACCOUNTABILITY_ROSTER,B108,B108,1,897.9,900.4,2.5,PASS
SOURCE_DOCUMENT,B109,B109,1,901.26,911.14,9.879999999999995,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B110,B110,1,911.84,921.08,9.240000000000009,PASS
MONEY_EXPLAINER,B111,B111,1,921.9,926.52,4.6200000000000045,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B112,B112,1,927.32,937.4,10.079999999999927,PASS
MONEY_EXPLAINER,B113,B113,1,938.28,942.18,3.8999999999999773,PASS
TIMELINE_OR_CAUSAL_EXPLAINER,B114,B115,2,942.72,956.92,14.199999999999932,PASS
