generation_slot,beat_id,section,start,end,frame_family,editor_overlay,generated_text_policy,factual_reference_ids,safe_attach_ids,reference_only_ids,composition_variant,legal_guardrail,subtitle_safe,final_prompt,status
G031,B044,S06,361.020,368.140,T06_REGULATORY_CHRONOLOGY,EU IN-DEPTH REVIEW,NONE_EDITOR_OVERLAY_ONLY,RV068;RV059,RV068,RV059,V1,CMA provisional/possible and EC preliminary; no final UK/EU prohibition.,BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G031 / B044 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""EU IN-DEPTH REVIEW""
VOICE CONTEXT: ""The European Commission received formal notification on June thirtieth. On August seventh, it opened its own in-depth investigation.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Authentic Berlaymont exterior as unchanged framed photo beside Commission review folder and one restrained phase line.
SOURCE REFERENCES: RV068; RV059.
SAFE ATTACHMENTS AFTER PREP: RV068.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV059.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Left-heavy editor-title zone; dominant source-backed object right; one secondary paper layer; restrained red rule. Authentic Berlaymont exterior as unchanged framed photo beside Commission review folder and one restrained phase line.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: CMA provisional/possible and EC preliminary; no final UK/EU prohibition.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G032,B046,S06,378.720,382.580,T06_REGULATORY_CHRONOLOGY,FORMAL OBJECTIONS,NONE_EDITOR_OVERLAY_ONLY,RV055;RV059,,RV055;RV059,V2,CMA provisional/possible and EC preliminary; no final UK/EU prohibition.,BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G032 / B046 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""FORMAL OBJECTIONS""
VOICE CONTEXT: ""The UK and EU reviews developed formal competition objections.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: UK and EU review folders side-by-side, each with restrained objection tab while final-decision slot stays unresolved.
SOURCE REFERENCES: RV055; RV059.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV055; RV059.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Upper-right hero source object; smaller upper-left support layer; wide center negative space. UK and EU review folders side-by-side, each with restrained objection tab while final-decision slot stays unresolved.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: CMA provisional/possible and EC preliminary; no final UK/EU prohibition.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G033,B047,S06,383.760,394.540,T06_REGULATORY_CHRONOLOGY,INVESTIGATION ≠ LAWSUIT,NONE_EDITOR_OVERLAY_ONLY,RV060;RV070,RV070,RV060,V3,CMA provisional/possible and EC preliminary; no final UK/EU prohibition. DOJ investigation/post-abandonment posture; no blocking lawsuit or judgment.,BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G033 / B047 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""INVESTIGATION ≠ LAWSUIT""
VOICE CONTEXT: ""The public DOJ record for this story establishes an investigation, not a filed merger lawsuit. The important business point was that signing and closing were two different events.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Unchanged DOJ context plus plain investigation folder; court-filing position remains visibly empty.
SOURCE REFERENCES: RV060; RV070.
SAFE ATTACHMENTS AFTER PREP: RV070.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV060.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Centered tactile folder/paper architecture with asymmetric source card and one narrow red tab. Unchanged DOJ context plus plain investigation folder; court-filing position remains visibly empty.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: CMA provisional/possible and EC preliminary; no final UK/EU prohibition. DOJ investigation/post-abandonment posture; no blocking lawsuit or judgment.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G034,B048,S06,395.560,403.160,T06_REGULATORY_CHRONOLOGY,SIGNED ≠ CLOSED,NONE_EDITOR_OVERLAY_ONLY,RV049;RV054;RV059,,RV049;RV054;RV059,V4,CMA provisional/possible and EC preliminary; no final UK/EU prohibition.,BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G034 / B048 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""SIGNED ≠ CLOSED""
VOICE CONTEXT: ""Adobe and Figma already had a merger agreement, but the companies still needed the required approvals before the transaction could actually be completed.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Signed merger folder left, closing folder right, multiple approval gates between them.
SOURCE REFERENCES: RV049; RV054; RV059.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV049; RV054; RV059.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Diagonal editorial paper stack upper-left to center-right; source inset remains clearly photographic. Signed merger folder left, closing folder right, multiple approval gates between them.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: CMA provisional/possible and EC preliminary; no final UK/EU prohibition.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G035,B049,S06,403.160,411.760,T06_REGULATORY_CHRONOLOGY,THE CLAUSE DIDN'T CHANGE,NONE_EDITOR_OVERLAY_ONLY,RV049;RV059,,RV049;RV059,V5,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice. CMA provisional/possible and EC preliminary; no final UK/EU prohibition.",BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G035 / B049 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""THE CLAUSE DIDN'T CHANGE""
VOICE CONTEXT: ""As the reviews deepened, the one-billion-dollar clause did not change. What changed was the chance that the companies might eventually need it.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Red contract-fee tab fixed in foreground while UK/EU review papers accumulate behind it.
SOURCE REFERENCES: RV049; RV059.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV049; RV059.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Two-sided dossier composition with controlled central gap; one red connector/tab; never a grid. Red contract-fee tab fixed in foreground while UK/EU review papers accumulate behind it.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice. CMA provisional/possible and EC preliminary; no final UK/EU prohibition.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G036,B050,S06,412.380,419.620,T06_REGULATORY_CHRONOLOGY,FAILED CLOSING GETS CLOSER,NONE_EDITOR_OVERLAY_ONLY,RV049;RV056,,RV049;RV056,V1,CMA provisional/possible and EC preliminary; no final UK/EU prohibition.,BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G036 / B050 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""FAILED CLOSING GETS CLOSER""
VOICE CONTEXT: ""The fee mattered because it had already been written into their own contract, and the possibility of a failed closing was becoming harder to ignore.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Approval corridor narrows around merger folder using regulator-source cues without predicting final prohibition.
SOURCE REFERENCES: RV049; RV056.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV049; RV056.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Left-heavy editor-title zone; dominant source-backed object right; one secondary paper layer; restrained red rule. Approval corridor narrows around merger folder using regulator-source cues without predicting final prohibition.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: CMA provisional/possible and EC preliminary; no final UK/EU prohibition.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G037,B051,S07,420.520,426.380,T03_REMEDIES_EVIDENCE,NOVEMBER 2023,NONE_EDITOR_OVERLAY_ONLY,RV056;RV059,,RV056;RV059,V2,CMA provisional/possible and EC preliminary; no final UK/EU prohibition.,BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G037 / B051 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""NOVEMBER 2023""
VOICE CONTEXT: ""By November twenty twenty-three, the UK and EU concerns had become much more explicit.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: EU and UK review papers converge around one November chronology marker; one document stack and one institutional context layer.
SOURCE REFERENCES: RV056; RV059.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV056; RV059.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Upper-right hero source object; smaller upper-left support layer; wide center negative space. EU and UK review papers converge around one November chronology marker; one document stack and one institutional context layer.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: CMA provisional/possible and EC preliminary; no final UK/EU prohibition.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G038,B056,S07,464.240,474.500,T03_REMEDIES_EVIDENCE,REMEDIES CHANGE THE DEAL,NONE_EDITOR_OVERLAY_ONLY,RV057,,RV057,V3,CMA provisional/possible and EC preliminary; no final UK/EU prohibition.,BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G038 / B056 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""REMEDIES CHANGE THE DEAL""
VOICE CONTEXT: ""That was a major escalation in practical terms. A provisional concern is one thing. A remedies discussion forces the parties to confront what the deal might have to look like""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: CMA remedies grounding with original transaction architecture splitting into possible prohibition and structural-remedy paths.
SOURCE REFERENCES: RV057.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV057.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Centered tactile folder/paper architecture with asymmetric source card and one narrow red tab. CMA remedies grounding with original transaction architecture splitting into possible prohibition and structural-remedy paths.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: CMA provisional/possible and EC preliminary; no final UK/EU prohibition.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G039,B057,S07,474.500,481.820,T03_REMEDIES_EVIDENCE,FIGMA DESIGN ON THE TABLE,NONE_EDITOR_OVERLAY_ONLY,RV057;RV037,RV037,RV057,V4,CMA provisional/possible and EC preliminary; no final UK/EU prohibition.,BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G039 / B057 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""FIGMA DESIGN ON THE TABLE""
VOICE CONTEXT: ""if the concerns are not resolved. The CMA document also discussed a possible divestiture of Figma Design""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Figma product card clipped to remedies folder with careful editorial cut-line suggesting possible divestiture, never completed separation.
SOURCE REFERENCES: RV057; RV037.
SAFE ATTACHMENTS AFTER PREP: RV037.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV057.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Diagonal editorial paper stack upper-left to center-right; source inset remains clearly photographic. Figma product card clipped to remedies folder with careful editorial cut-line suggesting possible divestiture, never completed separation.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: CMA provisional/possible and EC preliminary; no final UK/EU prohibition.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
G040,B058,S07,481.820,490.200,T03_REMEDIES_EVIDENCE,"PRESSURE, NOT FINALITY",NONE_EDITOR_OVERLAY_ONLY,RV057,,RV057,V5,CMA provisional/possible and EC preliminary; no final UK/EU prohibition.,BOTTOM_22_PERCENT_CLEAR,"FINAL VIDEO FRAME — G040 / B058 — 16:9 WHAT IT COST
SCENE PURPOSE / EDITOR OVERLAY: ""PRESSURE, NOT FINALITY""
VOICE CONTEXT: ""and said that remedy would be substantially similar to prohibition while introducing additional risks. The pressure was real.""
MODEL TEXT POLICY — HARD: generate NO new readable text, numerals, logos, seals, signatures, labels, dates, amounts or pseudo-document writing. Exact overlay is added later in locked Bebas Neue / Inter typography. Authentic source text may appear only inside an unchanged source crop.
VISUAL IDEA: Close-up remedies dossier with strong pressure bar and intentionally open final-decision slot.
SOURCE REFERENCES: RV057.
SAFE ATTACHMENTS AFTER PREP: NONE.
FACTUAL REFERENCE ONLY / NEVER ATTACH RAW: RV057.
SOURCE FIDELITY: attached photo/UI must remain an unchanged photographic/screenshot element. Do not redraw a real face, fabricate an event, invent UI, or synthesize a document. Raw PDF/HTML forbidden.
COMPOSITION: Two-sided dossier composition with controlled central gap; one red connector/tab; never a grid. Close-up remedies dossier with strong pressure bar and intentionally open final-decision slot.
STYLE: premium investigative business documentary; deep black/charcoal tactile field, warm paper layers, paper-white editorial zones, restrained signal-red #D32222, rare muted antique-gold hardware, realistic paper depth, subtle film grain, strong negative space. Evidence, money, power, consequence; not law-firm template or tech ad.
NON-MONOTONY: vary at least two of focal side, crop scale, paper layering, photo/document balance, connector geometry, red-accent placement from adjacent beats.
LEGAL / FACT LOCK: CMA provisional/possible and EC preliminary; no final UK/EU prohibition.
SUBTITLE SAFE — HARD: bottom 22% dark and visually quiet; no face/eyes, evidence, UI, title, amount, source label, caveat, map endpoint or important connector there.
REJECT: no horror, neon, fake courtroom, gavel/scales, money rain, fake stamps, fake document text, random redactions, dashboard/card grid, mirrored/duplicated person, cropped face, watermark, border or style-reference content leakage.
OUTPUT: final source-styled plate; 1920×1080 composition-ready; exact editor overlay applied deterministically.",FINAL_PROMPT_LOCKED_NO_SPEND
