crop_id,source_id,official_source_url,document_page,purpose,verified_focus,visual_class,rights_status,beats_or_gfx,guardrail,status
DC001,S009,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","4","April 10 executive communication","Wymer → Wenig: 'We are going to crush this lady'","AUTHENTIC_SOURCE_CROP","FEDERAL_COURT_OPINION_TEXT","B017-B018;GFX-002;GFX-003","Keep source/date/court metadata and adjacent context; message is not proof of later criminal authorization.","CROP_SPEC_READY_NOT_RENDERED"
DC002,S009,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","5","Jones / Baugh instruction","'off the radar' / did not want details","AUTHENTIC_SOURCE_CROP","FEDERAL_COURT_OPINION_TEXT","B025-B026;GFX-003","Use court-language framing; do not turn into finding Jones knew later criminal plan.","CROP_SPEC_READY_NOT_RENDERED"
DC003,S009,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","5","May 31 communication","Wenig → Wymer: 'take her down'","AUTHENTIC_SOURCE_CROP","FEDERAL_COURT_OPINION_TEXT","B019;GFX-002;GFX-003","Pair with later no-direct-Baugh communication counterweight.","CROP_SPEC_READY_NOT_RENDERED"
DC004,S009,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","6","First Boston visit + August 1 escalation","FidoMaster fence / 'tap on the shoulder' / 'now is the time'","AUTHENTIC_SOURCE_CROP","FEDERAL_COURT_OPINION_TEXT","B020;B028-B030;GFX-002;GFX-003","S009 supports event without exact June 8 date; use S003 if typesetting exact June 8.","CROP_SPEC_READY_NOT_RENDERED"
DC005,S003,"https://www.justice.gov/usao-ma/media/1333086/dl","5","Exact FidoMaster chronology","June 7 Boston travel; June 8 call and FidoMaster graffiti","AUTHENTIC_SOURCE_CROP","DOJ_US_GOV_TEXT","B029;GFX-002","This is the controlling source for an exact June 8 date. Exclude seal/logo treatment.","CROP_SPEC_READY_NOT_RENDERED"
DC006,S009,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","8","Campaign items + GPS attempt","disturbing deliveries; Aug 15 unsuccessful GPS attempt; surveillance","AUTHENTIC_SOURCE_CROP","FEDERAL_COURT_OPINION_TEXT","B034-B041;GFX-014","Redact/avoid any personal address details. Attempt ≠ successful installation.","CROP_SPEC_READY_NOT_RENDERED"
DC007,S003,"https://www.justice.gov/usao-ma/media/1333086/dl","14","GPS factual sequence","attempted unsuccessfully to install device because car was locked in garage; Aug 16 surveillance","AUTHENTIC_SOURCE_CROP","DOJ_US_GOV_TEXT","B039-B041;GFX-014","Use filing text, not fabricated device shot; never depict attached tracker.","CROP_SPEC_READY_NOT_RENDERED"
DC008,S009,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","39-40","Wenig counterweight / summary judgment","Baugh clarified Wenig never communicated directly with him about Steiners; court denies motion under reasonable-jury standard","AUTHENTIC_SOURCE_CROP","FEDERAL_COURT_OPINION_TEXT","B072-B074;GFX-007;GFX-012","Surviving claim ≠ liability finding; preserve 'viewed in light most favorable' posture.","CROP_SPEC_READY_NOT_RENDERED"
DC009,S009,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","41","Wymer summary-judgment analysis","reasonable juror could interpret communications as directing/encouraging/sanctioning","AUTHENTIC_SOURCE_CROP","FEDERAL_COURT_OPINION_TEXT","B075-B076;GFX-007;GFX-012","Potential jury interpretation, not adjudicated liability.","CROP_SPEC_READY_NOT_RENDERED"
DC010,S009,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","54","Final summary-judgment order","eBay/executive motions allowed in part/denied in part; PFC allowed","AUTHENTIC_SOURCE_CROP","FEDERAL_COURT_OPINION_TEXT","B066-B080;GFX-012","Show exact scope; do not simplify into a verdict.","CROP_SPEC_READY_NOT_RENDERED"
