gfx_id,beats,timecode,name,content,source_basis,guardrail,canonical_asset,final_status
G14-001,B007-B010,00:30.120-01:13.980,OPENING LEGAL STACK,Seven guilty pleas -> $3M DPA penalty/monitor -> $55.7M civil settlement package,DC011;DC015-017;settlement sources,Do not imply one proceeding or one combined award.,GFX-01_three_legal_consequences_dossier.png,FINAL_QC_PASS
G14-002,B017-B025,02:11.060-03:24.200,EXECUTIVE MESSAGE CHRONOLOGY,APR 2019 -> MAY 31 -> AUG 1 -> Whatever it takes -> Off the radar,DC001-004;DC002;S009,Escalating language is not by itself proof of criminal authorization.,GFX-02_executive_message_escalating_language_timeline.png,FINAL_QC_PASS
G14-003,B024-B033,03:10.560-04:43.080,CRITICISM -> SECURITY -> OPERATION,Communications problem -> security chain -> June FidoMaster -> Aug 6 planning -> operation accelerated,DC005;S009,No fabricated certainty about internal hierarchy.,GFX-03_from_criticism_to_operation.png,FINAL_QC_PASS
G14-004,B038-B041,05:19.880-05:55.800,GPS / SURVEILLANCE DISTINCTION,AUG 15 -> attempted GPS installation -> NOT INSTALLED -> physical surveillance,DC006;DC007,Attempted is not installed. Surveillance and GPS stay separate.,GFX-04_attempted_gps_installation_investigation.png,FINAL_QC_PASS
G14-005,B042-B047,05:56.860-06:55.800,DISCOVERY -> OBSTRUCTION -> CORPORATE RESPONSE,Police investigation -> false statements/deletion/falsified records -> internal investigation -> prosecutors,DC023;S009;DOJ,No fake police UI or invented evidence logs.,GFX-05_discovery_to_corporate_cover_up.png,FINAL_QC_PASS
G14-006,B048-B054,06:56.540-07:56.000,INDIVIDUAL ACCOUNTABILITY,2020 federal cases -> seven guilty pleas -> Baugh 57m -> Harville 24m -> company next,DC011;DC012,No triumphal treatment; sentence attribution exact.,GFX-06_seven_guilty_pleas_individual_cases.png,FINAL_QC_PASS
G14-007,B055-B064,07:57.340-09:15.980,DPA EXPLAINER,Six-count Information -> DPA not conviction -> charges filed/prosecution deferred -> $3M penalty -> 3-year monitor,S003;S002;DC015-017,Never call eBay convicted. $3M is separate from civil settlement.,GFX-07_dpa_conviction_corporate_resolution_flow.png,FINAL_QC_PASS
G14-008,B067-B080,09:30.640-11:49.000,CIVIL LIABILITY LADDER,2021 filing -> 2025 summary judgment -> PFC out -> eBay/executive claims survive -> Wenig/Wymer nuance -> jury approaching,DC018;DC010;DC008;DC009,Surviving claim equals jury question not liability finding.,GFX-08_civil_liability_ladder_infographic.png,FINAL_QC_PASS
G14-009,B081-B087,11:50.380-12:41.360,SETTLEMENT TIMELINE,Feb 25 settlement in principle -> conditional dismissal -> deal failed -> reopened -> Jan 2027 trial set -> second deal -> final July settlement,S015;S016;S020,First deal failed; only late-July deal is final.,GFX-09_failed_deal_vs_final_settlement.png,FINAL_QC_PASS
G14-010,B088-B097,12:42.080-13:35.940,SETTLEMENT MONEY BREAKDOWN,$55.7M = $48.7M compensation + $7M charity; eBay $46.15M; Wenig $2M; Jones $500K; Wymer $50K; charity eBay $6M + Wenig $1M,S014;S017;S018,Arithmetic exact; $55.7M is not judgment and not eBay-only.,GFX-10_the_55.7m_investigation_breakdown.png,FINAL_QC_PASS
G14-011,B098-B101,13:36.540-14:03.700,TWO LEGAL TRACKS,$3M CRIMINAL DPA separate vs $55.7M CIVIL SETTLEMENT PACKAGE -> COST ACCUMULATED OVER YEARS,S002;S014;S017;S018,No $58.7M award. Never sum the tracks.,GFX-11_two_separate_legal_tracks.png,FINAL_QC_PASS
G14-012,B102-B115,14:04.600-15:56.920,ENDING RECAP,Apology/company statement -> no jury verdict -> criticism -> security -> obstruction -> pleas -> DPA -> failed settlement -> $55.7M -> personal/corporate/civil costs,S013;DC010;DC011;DC015-016;settlement sources,End on documented costs and unresolved jury questions.,GFX-12_final_cost_stack_infographic.png,FINAL_QC_PASS
