beat_id,section,start,end,duration,spoken_text,production_route,generation_slot,reference_assets,evidence_lock,legal_precision,subtitle_safe,style_note
B001,S01,0.000,8.160,8.160,Adobe agreed to buy Figma for about twenty billion dollars. The acquisition never closed. Adobe still paid Figma one billion,EDITOR_GFX,,,$20B_PROPOSED_VS_$1B_ACTUAL,H,BOTTOM_15_PERCENT_CLEAR,Deterministic channel GFX; exact dates/numbers/status labels; no generative typography.
B002,S01,9.080,16.880,7.800,dollars. That billion dollars was not a government fine. It was not a court judgment. And it was not part of the twenty-billion-dollar purchase price.,GENERATED_SOURCE_STYLED,G001,RV049,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B003,S01,17.580,26.700,9.120,It was a contractual termination payment money Adobe had agreed could become due if the deal failed under specified closing and regulatory circumstances.,GENERATED_SOURCE_STYLED,G002,RV013;RV025,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B004,S01,27.700,36.100,8.400,The billion-dollar consequence was not invented after the acquisition collapsed. It had been negotiated before the merger agreement was even signed.,GENERATED_SOURCE_STYLED,G003,RV049,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B005,S01,37.040,47.160,10.120,So the real story is not simply why regulators had concerns about Adobe buying Figma. It is how two companies priced the risk that the deal might never close,GENERATED_SOURCE_STYLED,G004,RV013,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B006,S01,47.760,52.320,4.560,and how that risk eventually became a real one-billion-dollar cash payment.,GENERATED_SOURCE_STYLED,G005,RV049;RV004,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B007,S02,53.320,60.900,7.580,Figma had become a major collaborative design platform used by product teams. Its value was not just in drawing interfaces.,AUTHENTIC_PRODUCT_UI,,RV027;RV028,EXACT_UI,L,BOTTOM_15_PERCENT_CLEAR,Authentic UI inside channel frame; preserve interface; editor-native crop/highlight only.
B008,S02,61.700,69.780,8.080,"Teams could work in the same files, comment, prototype, maintain shared design systems and move work between design and development.",AUTHENTIC_PRODUCT_UI,,RV029;RV030,EXACT_UI,L,BOTTOM_15_PERCENT_CLEAR,Authentic UI inside channel frame; preserve interface; editor-native crop/highlight only.
B009,S02,71.060,78.520,7.460,"Adobe was one of the world's largest creative-software companies, with products including Photoshop, Illustrator and Adobe XD.",AUTHENTIC_PRODUCT_UI,,RV044;RV045,EXACT_UI,L,BOTTOM_15_PERCENT_CLEAR,Authentic UI inside channel frame; preserve interface; editor-native crop/highlight only.
B010,S02,79.520,89.260,9.740,"That meant the proposed acquisition was not just a large financial transaction. It connected two companies whose products touched important parts of the digital-design workflow,",AUTHENTIC_PRODUCT_UI,,RV034;RV046,EXACT_UI,L,BOTTOM_15_PERCENT_CLEAR,Authentic UI inside channel frame; preserve interface; editor-native crop/highlight only.
