queue_id,asset_source_id,priority,source_page_or_file,direct_download_or_primary_file,target_filename,rights_class,status,notes
DQ001,PS001,CRITICAL,"https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf","S009_D711_SUMMARY_JUDGMENT_ORDER.pdf",US_FEDERAL_COURT_OPINION,READY_TO_ACQUIRE,"Official GovInfo PDF; redact PII in any visual crops."
DQ002,PS002,CRITICAL,"https://www.justice.gov/usao-ma/media/1333086/dl","https://www.justice.gov/usao-ma/media/1333086/dl","S003_EBAY_CRIMINAL_INFORMATION.pdf",US_GOV_PUBLIC_DOMAIN,READY_TO_ACQUIRE,"Government-authored filing text; avoid seals/logos in publication."
DQ003,PS021,CRITICAL,"https://www.justice.gov/usao-ma/pr/final-defendant-ebay-cyberstalking-case-sentenced","https://www.justice.gov/sites/default/files/styles/d05/public/2024-07/gilbert_pr_image_1.jpg?itok=IQtSIX7y","DOJ_FBI_PIG_MASK_AND_BOOK.jpg",US_GOV_SOURCE_IMAGE,READY_TO_ACQUIRE,"Authentic case-evidence image embedded on DOJ page; preserve source credit."
DQ004,PS004,HIGH,"https://www.naturalearthdata.com/downloads/","","NATURAL_EARTH_MAP_BASE",PUBLIC_DOMAIN,READY_TO_ACQUIRE,"Choose exact vector scale during map build."
DQ005,PS005,HIGH,"https://commons.wikimedia.org/wiki/File:EBay_headquarters_2018.jpg","","EBAY_HQ_2018_CC_BY_SA.jpg",CC_BY_SA_4_0,READY_TO_ACQUIRE,"Credit Coolcaesar; license link; indicate crop/grade; share-alike obligations."
DQ006,PS006,HIGH,"https://commons.wikimedia.org/wiki/File:Natick_spring_2020.jpg","","NATICK_CENTER_2020_CC_BY_SA.jpg",CC_BY_SA_4_0,READY_TO_ACQUIRE,"Generic city context only."
DQ007,PS007,MEDIUM,"https://commons.wikimedia.org/wiki/File:Bacon_Free_Library_-_South_Natick,_MA_-_DSC09574.jpg","","SOUTH_NATICK_BACON_LIBRARY_CC0.jpg",CC0,READY_TO_ACQUIRE,"Verified CC0; generic location context."
DQ008,PS008,MEDIUM,"https://commons.wikimedia.org/wiki/File:A_cockroach.jpg","","COCKROACH_CC0.jpg",CC0,READY_TO_ACQUIRE,"Generic illustrative object only."
DQ009,PS009,MEDIUM,"https://commons.wikimedia.org/wiki/File:Spider_image_view.jpg","","SPIDER_CC0.jpg",CC0,READY_TO_ACQUIRE,"Generic illustrative object only."
DQ010,PS010,MEDIUM,"https://commons.wikimedia.org/wiki/File:Sawfly_larvae_on_globemallow_(Symphyta)_(30098020405).jpg","","LARVAE_CC0.jpg",CC0,READY_TO_ACQUIRE,"Generic illustrative object only."
DQ011,PS011,MEDIUM,"https://commons.wikimedia.org/wiki/File:Parcel_box_and_mailbox.webp","","PARCEL_CC0.webp",CC0,READY_TO_ACQUIRE,"Generic delivery context only."
DQ012,PS012,MEDIUM,"https://commons.wikimedia.org/wiki/File:Funeral_wreath_09_27_1421u.JPG","","FUNERAL_WREATH_CC0.jpg",CC0,READY_TO_ACQUIRE,"Generic illustrative object only."
DQ013,PS013,HIGH,"https://commons.wikimedia.org/wiki/File:Kippy_Tracker_Device.jpg","","GENERIC_GPS_TRACKER_CC0.jpg",CC0,READY_TO_ACQUIRE,"Generic device example; never imply this is the case device."
DQ014,PS014,MEDIUM,"https://commons.wikimedia.org/wiki/File:Office_interior_2022_queue.jpg","","OFFICE_INTERIOR_CC0.jpg",CC0,READY_TO_ACQUIRE,"Generic corporate environment only."
DQ015,PS015,HIGH,"https://commons.wikimedia.org/wiki/File:Wooden_fence_-_Arlington,_MA_-_02.jpg","","MASSACHUSETTS_FENCE_CC0.jpg",CC0,READY_TO_ACQUIRE,"Generic reconstruction base; not actual Steiner fence."
DQ016,PS022,HIGH,"https://attorneywire.com/legal-documents/july-31-2026/","https://attorneywire.com/wp-content/uploads/2026/07/Steiner_et_al_v_eBay_Inc_et_al__madce-21-11181__0986.0.pdf","S020_D986_STIPULATION_DISMISSAL.pdf",COURT_FILING_RIGHTS_REVIEW,REFERENCE_ACQUIRE_ONLY,"Primary procedural source; default visual treatment is editor recreation."
