source_id,source_type,title,publisher,author,url,court_or_agency,case_name,docket_number,filing_date,publication_date,access_date,primary_or_secondary,authority_level,archived_copy,status,notes
S001,OFFICIAL_CASE_PAGE,"U.S. v. eBay, Inc.",U.S. Department of Justice,,https://www.justice.gov/usao-ma/case/us-v-ebay-inc,U.S. Attorney's Office — District of Massachusetts,United States v. eBay Inc.,1:24-cr-10003,,2024-07-09,2026-09-20,PRIMARY,TIER_1,,CAPTURED,"Official case overview; counts, corporate admissions, DPA terms, security-team sentences."
S002,DEFERRED_PROSECUTION_AGREEMENT,United States v. eBay Inc. — Deferred Prosecution Agreement,U.S. Department of Justice,,https://www.justice.gov/usao-ma/media/1332791/dl,U.S. District Court — District of Massachusetts,United States v. eBay Inc.,1:24-cr-10003,2024-01-11,2024-01-11,2026-09-20,PRIMARY,TIER_1,,AVAILABLE,Primary agreement. DOJ case page independently recites key terms; large PDF attachment.
S003,CRIMINAL_INFORMATION,United States v. eBay Inc. — Criminal Information,U.S. Department of Justice,,https://www.justice.gov/usao-ma/media/1333086/dl,U.S. District Court — District of Massachusetts,United States v. eBay Inc.,1:24-cr-10003,2024-01-11,2024-01-11,2026-09-20,PRIMARY,TIER_1,,CAPTURED,"Six counts: two interstate stalking, two electronic stalking, witness tampering, records obstruction."
S004,OFFICIAL_PRESS_RELEASE,Final Defendant in eBay Cyberstalking Case Sentenced,U.S. Department of Justice,,https://www.justice.gov/usao-ma/pr/final-defendant-ebay-cyberstalking-case-sentenced,U.S. Attorney's Office — District of Massachusetts,,,,2024-07-18,2026-09-20,PRIMARY,TIER_1,,CAPTURED,Final criminal defendant sentencing; confirms all seven former employees/contractors pleaded guilty and summarizes obstruction.
S005,OFFICIAL_PRESS_RELEASE,Two Former eBay Executives Sentenced to Prison for Cyberstalking,U.S. Department of Justice,,https://www.justice.gov/usao-ma/pr/two-former-ebay-executives-sentenced-prison-cyberstalking,U.S. Attorney's Office — District of Massachusetts,,,,2022-09-29,2026-09-20,PRIMARY,TIER_1,,CAPTURED,Baugh 57 months; Harville 24 months; plea counts and factual summary.
S006,OFFICIAL_PRESS_RELEASE,Two Former eBay Employees Sentenced for Aggressive Cyberstalking Campaign,U.S. Department of Justice,,https://www.justice.gov/usao-ma/pr/two-former-ebay-employees-sentenced-aggressive-cyberstalking-campaign,U.S. Attorney's Office — District of Massachusetts,,,,2022-10-11,2026-09-20,PRIMARY,TIER_1,,CAPTURED,Popp sentenced to one year and one day; Stockwell probation/home confinement.
S007,OFFICIAL_PRESS_RELEASE,Former eBay Employee Sentenced for Aggressive Cyberstalking Campaign,U.S. Department of Justice,,https://www.justice.gov/usao-ma/pr/former-ebay-employee-sentenced-aggressive-cyberstalking-campaign,U.S. Attorney's Office — District of Massachusetts,,,,2022-11-03,2026-09-20,PRIMARY,TIER_1,,CAPTURED,Veronica Zea sentencing and campaign summary.
S008,OFFICIAL_PRESS_RELEASE,Former eBay Employee Sentenced for Role in Aggressive Cyberstalking Campaign,U.S. Department of Justice,,https://www.justice.gov/usao-ma/pr/former-ebay-employee-sentenced-role-aggressive-cyberstalking-campaign,U.S. Attorney's Office — District of Massachusetts,,,,2021-07-27,2026-09-20,PRIMARY,TIER_1,,CAPTURED,Philip Cooke sentencing; guilty plea; campaign background.
S009,COURT_ORDER,Steiner v. eBay Inc. — Memorandum and Order on Summary Judgment,U.S. District Court — District of Massachusetts,Judge Patti B. Saris,https://www.govinfo.gov/content/pkg/USCOURTS-mad-1_21-cv-11181/pdf/USCOURTS-mad-1_21-cv-11181-3.pdf,U.S. District Court — District of Massachusetts,Steiner et al. v. eBay Inc. et al.,1:21-cv-11181-PBS,2025-08-12,2025-08-12,2026-09-22,PRIMARY,TIER_1,https://docs.justia.com/cases/federal/district-courts/massachusetts/madce/1%3A2021cv11181/236568/711,CAPTURED,"Official GovInfo court PDF is canonical visual/evidence source; Justia retained only as backup mirror. Court treats background facts as undisputed for summary-judgment purposes and rules on surviving claims."
S010,COMPLAINT,Steiner et al. v. eBay Inc. et al. — Complaint,U.S. District Court — District of Massachusetts,,https://images.universalhub.com/images/2021/steiner-complaint.pdf,U.S. District Court — District of Massachusetts,Steiner et al. v. eBay Inc. et al.,1:21-cv-11181,2021-07-21,2021-07-21,2026-09-20,PRIMARY,TIER_1,,CAPTURED,Original civil complaint. Allegations only; never treat pleaded assertions as findings.
S011,DOCKET_INDEX,Steiner et al v. eBay Inc. et al — Docket,Justia,,https://dockets.justia.com/docket/massachusetts/madce/1%3A2021cv11181/236568,U.S. District Court — District of Massachusetts,Steiner et al. v. eBay Inc. et al.,1:21-cv-11181,2021-07-21,,2026-09-20,SECONDARY,TIER_2,,CAPTURED,Docket discovery/index; use underlying filings for material propositions when available.
S012,COMPANY_STATEMENT,eBay Inc. Reaches Agreement with U.S. Attorney's Office for the District of Massachusetts,eBay Inc.,,https://www.ebayinc.com/stories/news/ebay-agreement-us-attorney-office-mass/,,,,,2024-01-11,2026-09-20,PRIMARY,TIER_1,,CAPTURED,"eBay says it takes responsibility for former-employee misconduct; DPA, monitor and $3M penalty."
S013,COMPANY_STATEMENT,eBay statement regarding agreement with Ina and David Steiner,eBay Inc.,,https://www.ebayinc.com/stories/news/ebay-statement-regarding-agreement-with-ina-and-david-steiner/,,,,,2026-07-28,2026-09-20,PRIMARY,TIER_1,,CAPTURED,"eBay confirms final civil agreement, apologizes, condemns former employees, acknowledges unprofessional executive communications; does not disclose dollar allocation."
S014,PARTY_COUNSEL_STATEMENT,eBay and Execs Settle Cyberstalking Case for $55.7 Million in Compensation and Charitable Commitments,EcommerceBytes / Scalli Murphy Law,Scalli Murphy Law release republished by Ina Steiner,https://www.ecommercebytes.com/2026/07/27/ebay-and-execs-settle-cyberstalking-case-for-55-7-million-in-compensation-and-charitable-commitments/,,,,,2026-07-27,2026-09-20,PRIMARY,TIER_1,,CAPTURED,"Plaintiffs' counsel announces final settlement terms and allocations; party-side source, corroborate externally."
S015,NEWS_REPORT,"Couple harassed by eBay employees settle lawsuit against company, ex-CEO",Reuters,Nate Raymond,https://www.reuters.com/legal/government/couple-harassed-by-ebay-employees-settle-lawsuit-against-company-ex-ceo-2026-02-25/,,,,,2026-02-25,2026-09-20,SECONDARY,TIER_2,,CAPTURED,Initial settlement-in-principle before March 2026 trial; terms then undisclosed.
