beat_id,section,start,end,frame_family,route,exact_text,support_text,input_assets,legal_guardrail,final_instruction,status
B002,S01,6.340,7.000,T01,HIGGSFIELD_ONE_PASS,LIVE INSECTS,,COCKROACH_CC0.jpg; SPIDER_CC0.jpg; LARVAE_CC0.jpg,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","FINAL VIDEO FRAME — B002 — 16:9 WHAT IT COST
SCENE PURPOSE: LIVE INSECTS
NARRATION MEANING: ""Live insects.""
ALLOWED GENERATED TEXT ONLY: ""LIVE INSECTS"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Asymmetrical evidence layout: one dominant authentic source/photo panel on the right or upper-right; headline block on the left; at most one secondary paper layer; restrained red rule; large clean negative space.
INPUTS: COCKROACH_CC0.jpg; SPIDER_CC0.jpg; LARVAE_CC0.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
B003,S01,7.760,8.660,T03,HIGGSFIELD_ONE_PASS,THREATENING MESSAGES,,12B_SOURCE_ASSETS/R6_PREP/R6P_B003_DC022_THREATENING_MESSAGES.png,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","FINAL VIDEO FRAME — B003 — 16:9 WHAT IT COST
SCENE PURPOSE: THREATENING MESSAGES
NARRATION MEANING: ""Threatening messages.""
ALLOWED GENERATED TEXT ONLY: ""THREATENING MESSAGES"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Quote/document layout: one large headline or exact quote is the hero; attached authentic excerpt appears as a tight photographic crop, not a recreated document; surrounding papers stay blank/redacted.
INPUTS: 12B_SOURCE_ASSETS/R6_PREP/R6P_B003_DC022_THREATENING_MESSAGES.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
B005,S01,11.160,21.760,T01,HIGGSFIELD_ONE_PASS,GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED,,12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC006_DELIVERIES_GPS_ATTEMPT.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC007_GPS_GARAGE_ATTEMPT.png; GENERIC_GPS_TRACKER_CC0.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg,Tracker attempted; installation not established.,"FINAL VIDEO FRAME — B005 — 16:9 WHAT IT COST
SCENE PURPOSE: GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED
NARRATION MEANING: ""And eventually, people connected to the campaign were watching them in person and trying to put a G-P-S tracker on their car. At first glance, this sounds like an internet stalking story.""
ALLOWED GENERATED TEXT ONLY: ""GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Asymmetrical evidence layout: one dominant authentic source/photo panel on the right or upper-right; headline block on the left; at most one secondary paper layer; restrained red rule; large clean negative space.
INPUTS: 12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC006_DELIVERIES_GPS_ATTEMPT.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B005_DC007_GPS_GARAGE_ATTEMPT.png; GENERIC_GPS_TRACKER_CC0.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Tracker attempted; installation not established.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
B009,S01,53.280,61.640,T04,HIGGSFIELD_ONE_PASS,$55.7M SETTLEMENT PACKAGE,,EBAY_HQ_2018_CC_BY_SA.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B009_SETTLEMENT_55_7_FACT_STRIP.png,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","FINAL VIDEO FRAME — B009 — 16:9 WHAT IT COST
SCENE PURPOSE: $55.7M SETTLEMENT PACKAGE
NARRATION MEANING: ""And in July twenty twenty-six, the civil case ended in an announced settlement package worth fifty-five-point-seven million dollars.""
ALLOWED GENERATED TEXT ONLY: ""$55.7M SETTLEMENT PACKAGE"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Money/legal-number layout: one large exact amount/status is the hero on the left; one supporting factual photo or authentic source crop on the right; one secondary line only; never imply a judgment, verdict, or combined total not stated.
INPUTS: EBAY_HQ_2018_CC_BY_SA.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B009_SETTLEMENT_55_7_FACT_STRIP.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
B010,S01,61.640,73.980,T01,HIGGSFIELD_ONE_PASS,CRITICISM → SECURITY → CONSEQUENCE,,EBAY_HQ_2018_CC_BY_SA.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","FINAL VIDEO FRAME — B010 — 16:9 WHAT IT COST
SCENE PURPOSE: CRITICISM → SECURITY → CONSEQUENCE
NARRATION MEANING: ""But the strangest part is not what arrived at the front door. It is how criticism of a company became a security problem inside that company — and how the consequences kept growing long after the harassment stopped.""
ALLOWED GENERATED TEXT ONLY: ""CRITICISM → SECURITY → CONSEQUENCE"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Asymmetrical evidence layout: one dominant authentic source/photo panel on the right or upper-right; headline block on the left; at most one secondary paper layer; restrained red rule; large clean negative space.
INPUTS: EBAY_HQ_2018_CC_BY_SA.jpg; NATICK_CENTER_2020_CC_BY_SA.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
B011,S02,74.680,82.100,T01,HIGGSFIELD_ONE_PASS,ECOMMERCEBYTES • SINCE 1999,,12B_SOURCE_ASSETS/R6_PREP/R6P_B011_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","FINAL VIDEO FRAME — B011 — 16:9 WHAT IT COST
SCENE PURPOSE: ECOMMERCEBYTES • SINCE 1999
NARRATION MEANING: ""Ina and David Steiner ran EcommerceBytes, an independent publication covering online commerce since nineteen ninety-nine.""
ALLOWED GENERATED TEXT ONLY: ""ECOMMERCEBYTES • SINCE 1999"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Asymmetrical evidence layout: one dominant authentic source/photo panel on the right or upper-right; headline block on the left; at most one secondary paper layer; restrained red rule; large clean negative space.
INPUTS: 12B_SOURCE_ASSETS/R6_PREP/R6P_B011_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
B012,S02,82.920,89.480,T01,HIGGSFIELD_ONE_PASS,SMALL PUBLICATION / GLOBAL MARKETPLACE,,12B_SOURCE_ASSETS/R6_PREP/R6P_B012_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","FINAL VIDEO FRAME — B012 — 16:9 WHAT IT COST
SCENE PURPOSE: SMALL PUBLICATION / GLOBAL MARKETPLACE
NARRATION MEANING: ""The scale mismatch was obvious: an independent trade publication on one side, a global marketplace on the other.""
ALLOWED GENERATED TEXT ONLY: ""SMALL PUBLICATION / GLOBAL MARKETPLACE"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Asymmetrical evidence layout: one dominant authentic source/photo panel on the right or upper-right; headline block on the left; at most one secondary paper layer; restrained red rule; large clean negative space.
INPUTS: 12B_SOURCE_ASSETS/R6_PREP/R6P_B012_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
B013,S02,90.120,99.720,T02,HIGGSFIELD_ONE_PASS,SELLERS • RULES • EXECUTIVE DECISIONS,,12B_SOURCE_ASSETS/R6_PREP/R6P_B013_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","FINAL VIDEO FRAME — B013 — 16:9 WHAT IT COST
SCENE PURPOSE: SELLERS • RULES • EXECUTIVE DECISIONS
NARRATION MEANING: ""But the Steiners covered eBay's world closely — sellers, marketplace rules, executive decisions, and the complaints of people who depended on platforms like eBay.""
ALLOWED GENERATED TEXT ONLY: ""SELLERS • RULES • EXECUTIVE DECISIONS"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Split analytical layout: two clearly separated evidence/context zones, one dominant and one subordinate; headline placed in the cleanest negative-space zone; use thin rules or one red connector, never a busy flowchart.
INPUTS: 12B_SOURCE_ASSETS/R6_PREP/R6P_B013_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
B014,S02,100.540,110.020,T03,HIGGSFIELD_ONE_PASS,SPRING 2019,,12B_SOURCE_ASSETS/R6_PREP/R6P_B014_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B014_S009_SPRING2019_FRUSTRATION.png,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","FINAL VIDEO FRAME — B014 — 16:9 WHAT IT COST
SCENE PURPOSE: SPRING 2019
NARRATION MEANING: ""By spring twenty nineteen, a later federal court record shows that EcommerceBytes had become an increasing source of frustration for people inside eBay's leadership.""
ALLOWED GENERATED TEXT ONLY: ""SPRING 2019"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Quote/document layout: one large headline or exact quote is the hero; attached authentic excerpt appears as a tight photographic crop, not a recreated document; surrounding papers stay blank/redacted.
INPUTS: 12B_SOURCE_ASSETS/R6_PREP/R6P_B014_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B014_S009_SPRING2019_FRUSTRATION.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
B015,S02,110.440,119.260,T01,HIGGSFIELD_ONE_PASS,"CRITICISM, NOT COMPETITION",,12B_SOURCE_ASSETS/R6_PREP/R6P_B015_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","FINAL VIDEO FRAME — B015 — 16:9 WHAT IT COST
SCENE PURPOSE: CRITICISM, NOT COMPETITION
NARRATION MEANING: ""The Steiners were not business rivals trying to take eBay's customers. They were publishers criticizing the company and giving readers a place to criticize it too.""
ALLOWED GENERATED TEXT ONLY: ""CRITICISM, NOT COMPETITION"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Asymmetrical evidence layout: one dominant authentic source/photo panel on the right or upper-right; headline block on the left; at most one secondary paper layer; restrained red rule; large clean negative space.
INPUTS: 12B_SOURCE_ASSETS/R6_PREP/R6P_B015_DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random police/courthouse/GPS/money imagery unless demanded by this beat; no subject leakage from style; no UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
