asset_id,scene_relevance,url,source,rights,date,asset_class,usable,source_id,notes
RV001,B1/B2/B4,https://commons.wikimedia.org/wiki/File:Shantanu_Narayen_-_the_CEO_of_Adobe_Inc.jpg,Wikimedia Commons / Brian Cummings Photography,CC BY-SA 4.0 — attribution + indicate changes + share-alike for adaptations.,2016-06-01,REAL-PHOTO,YES_CLEAR,,Clean Adobe CEO portrait; 1471×2206 original.
RV002,B1/B2/B4,https://commons.wikimedia.org/wiki/File:Shantanu_Narayen.jpg,Wikimedia Commons / Robert Scoble,CC BY 2.0 — attribution required.,2008-02-25,REAL-PHOTO,YES_CLEAR,,Alternate archival Shantanu portrait.
RV003,B1/B4,"https://commons.wikimedia.org/wiki/File:Adobe_CEO_Shantanu_Narayen_at_U.S._Consulate_General_Hamburg,_2019.jpg",Wikimedia Commons / U.S. Consulate General Hamburg,Public domain U.S. federal-government work unless a third-party credit is shown; no seal/endorsement implication.,2019-03-07,REAL-PHOTO,YES_CLEAR,,Government-made Adobe CEO context.
RV004,B1/B4/B12,https://commons.wikimedia.org/wiki/File:Adobe_World_Headquarters.jpg,Wikimedia Commons / Coolcaesar,CC BY-SA 4.0 — attribution + indicate changes + share-alike for adaptations.,2007-10-21,REAL-PHOTO,YES_CLEAR,,Adobe San Jose headquarters exterior; 3072×2148.
RV005,B1/B4/B12,https://commons.wikimedia.org/wiki/File:Adobe_HQ.jpg,Wikimedia Commons / Coolcaesar,Verify exact Commons license on file page before final use.,2006-09-17,REAL-PHOTO,HOLD_RIGHTS,,Second Adobe HQ angle.
RV006,B1/B4,https://blog.adobe.com/en/publish/2023/03/08/expanding-adobe-presence-commitments-san-jose,Adobe Blog / Gensler / Jason O’Rear Photography,Adobe page image separately credited to photographer/agency. HOLD until exact reuse right is verified or replaced.,2023-03-08,REAL-PHOTO,HOLD_RIGHTS,,Founders Tower exterior hero.
RV007,B1/B4,https://blog.adobe.com/en/publish/2023/03/08/expanding-adobe-presence-commitments-san-jose,Adobe Blog / Gensler / Jason O’Rear Photography,Adobe page image separately credited to photographer/agency. HOLD until exact reuse right is verified or replaced.,2023-03-08,REAL-PHOTO,HOLD_RIGHTS,,Founders Tower interior/collaboration-space imagery.
RV008,B1/B4,https://blog.adobe.com/en/publish/2023/11/02/honoring-creativity-community-within-adobe-san-jose,Adobe Blog / Dominique Graves,Adobe page image separately credited to photographer/agency. HOLD until exact reuse right is verified or replaced.,2023-11-02,REAL-PHOTO,HOLD_RIGHTS,,Adobe HQ exterior/art installation.
RV009,B1/B4/B5,https://blog.adobe.com/en/publish/2022/10/21/uk-adobe-max-unveils-dynamic-digital-future,Adobe Blog,Official Adobe MAX event image. Official Adobe page/image; copyright retained unless separately licensed. Documentary/editorial use only; minimal necessary use and source retained.,2022-10-21,REAL-PHOTO,YES_EDITORIAL,,Shantanu Narayen on Adobe MAX 2022 stage.
RV010,B1/B4/B5,https://blog.adobe.com/en/publish/2022/10/21/uk-adobe-max-unveils-dynamic-digital-future,Adobe Blog,Official Adobe MAX event image. Official Adobe page/image; copyright retained unless separately licensed. Documentary/editorial use only; minimal necessary use and source retained.,2022-10-21,REAL-PHOTO,YES_EDITORIAL,,David Wadhwani on Adobe MAX 2022 stage.
