gfx_id,title,source_ids,claim_ids,built_asset,vertical_strategy,status
GFX-001,Cold Open Consequence Stack,"S004;S001;S002;S014;S017;S018","C016;C019;C028","12B_ASSETS/GFX/GFX-001.svg",CENTER_SAFE_RECOMPOSE,BUILT
GFX-002,2019 Escalation Timeline,S009,"C003;C004;C005;C007;C009;C012","12B_ASSETS/GFX/GFX-002.svg",STACK_TIMELINE_9X16,BUILT
GFX-003,Internal Message Evidence System,S009,"C004;C005;C006;C008;C022","12B_ASSETS/GFX/GFX-003.svg",ONE_QUOTE_CARD_AT_A_TIME,BUILT
GFX-004,Operation Escalation Map,"S009;S002","C007;C012;C013","12B_ASSETS/GFX/GFX-004.svg",VERTICAL_ROUTE_RECOMPOSE,BUILT
GFX-005,Criminal Accountability Card,"S004;S005;S006;S007;S008","C016;C017","12B_ASSETS/GFX/GFX-005.svg",VERTICAL_STATUS_STACK,BUILT
GFX-006,eBay Corporate DPA,"S001;S002;S003","C018;C019","12B_ASSETS/GFX/GFX-006.svg",VERTICAL_LEGAL_STACK,BUILT
GFX-007,Who Faced What Legal Status Matrix,S009,"C021;C022;C023;C024","12B_ASSETS/GFX/GFX-007.svg",ROW_CARDS_9X16,BUILT
GFX-008,The $55.7M Package,"S014;S017;S018","C028","12B_ASSETS/GFX/GFX-008.svg",CENTER_NUMBER_STACK,BUILT
GFX-009,$48.7M Compensation Breakdown,"S014;S017","C029","12B_ASSETS/GFX/GFX-009.svg",VERTICAL_MONEY_STACK,BUILT
GFX-010,$7M Charity Breakdown,"S014;S017","C029","12B_ASSETS/GFX/GFX-010.svg",VERTICAL_MONEY_STACK,BUILT
GFX-011,Two Separate Legal Tracks,"S001;S002;S014;S017","C019;C028","12B_ASSETS/GFX/GFX-011.svg",TWO_CARD_VERTICAL,BUILT
GFX-012,Summary Judgment Legal Clarifier,S009,"C021;C023;C024","12B_ASSETS/GFX/GFX-012.svg",CENTER_LEGAL_CLARIFIER,BUILT
GFX-013,Settlement Didn't End the Story,"S015;S016;S014;S017","C026;C027;C028","12B_ASSETS/GFX/GFX-013.svg",VERTICAL_TIMELINE,BUILT
GFX-014,Attempted GPS Tracker Clarifier,"S009;S002","C012","12B_ASSETS/GFX/GFX-014.svg",CENTER_ATTEMPT_LABEL,BUILT
GFX-015,Final WHAT IT COST Synthesis,"S004;S001;S002;S014;S017","C016;C017;C019;C028","12B_ASSETS/GFX/GFX-015.svg",VERTICAL_CONSEQUENCE_STACK,BUILT
