generation_slot,beat_id,section,start,end,frame_family,route,exact_text,support_text,input_prep_ids,input_files,factual_reference_ids,person_photo_lock,legal_guardrail,subtitle_safe,model,resolution,quality,aspect_ratio,credits,final_instruction,status
G001,B002,S01,9.080,16.880,T03,HIGGSFIELD_ONE_PASS,NOT A FINE,,D_RV049A,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,RV049,NO,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G001 / B002 — 16:9 WHAT IT COST
SCENE PURPOSE: NOT A FINE
NARRATION MEANING: ""dollars. That billion dollars was not a government fine. It was not a court judgment. And it was not part of the twenty-billion-dollar purchase price.""
ALLOWED GENERATED TEXT ONLY: ""NOT A FINE"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Quote/document layout: one large headline is the hero; attached authentic excerpt appears as a tight photographic crop, not a recreated document; surrounding papers stay blank.
SCENE: Headline block left. Right: the attached Section 8.2 termination-fee excerpt as a photographed paper crop on warm aged paper, one restrained red underline beneath the fee passage. The frame reads as contract language, not punishment: no court, regulator, gavel, cash or invoice imagery.
INPUTS: RV049_S8_2_TERMINATION_FEE_CROP.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
G002,B003,S01,17.580,26.700,T01,HIGGSFIELD_ONE_PASS,CONTRACTUAL EXIT COST,,P_RV025,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,RV025;RV049,NO,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G002 / B003 — 16:9 WHAT IT COST
SCENE PURPOSE: CONTRACTUAL EXIT COST
NARRATION MEANING: ""It was a contractual termination payment money Adobe had agreed could become due if the deal failed under specified closing and regulatory circumstances.""
ALLOWED GENERATED TEXT ONLY: ""CONTRACTUAL EXIT COST"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Asymmetrical evidence layout: one dominant authentic source/photo panel on the right or upper-right; headline block on the left; at most one secondary paper layer; restrained red rule; large clean negative space.
SCENE: Dominant right panel: the attached official Adobe + Figma deal graphic as an unchanged framed print on the charcoal field. From under its lower edge, a corner of warm blank contract paper with one deep-red tab protrudes: the exit term behind the public deal.
INPUTS: RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
G003,B004,S01,27.700,36.100,T06,HIGGSFIELD_ONE_PASS,NEGOTIATED BEFORE FAILURE,,D_RV052,12_SOURCE_PREP/RV052_JULY20_FEE_AGREED_CROP.png,RV050;RV051;RV052,NO,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G003 / B004 — 16:9 WHAT IT COST
SCENE PURPOSE: NEGOTIATED BEFORE FAILURE
NARRATION MEANING: ""The billion-dollar consequence was not invented after the acquisition collapsed. It had been negotiated before the merger agreement was even signed.""
ALLOWED GENERATED TEXT ONLY: ""NEGOTIATED BEFORE FAILURE"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Chronology layout: one headline plus a simple horizontal or vertical timeline with 2-4 unlabeled nodes maximum; authentic source photo or crop as the visual anchor; no decorative map clutter.
SCENE: Horizontal timeline, three unlabeled nodes: first node red and sharp (negotiation), second paper-white (signing), third faint grey and distant (collapse). The attached July 20 negotiation excerpt sits above the first node as the anchor, making clear the cost existed before failure.
INPUTS: RV052_JULY20_FEE_AGREED_CROP.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
G004,B005,S01,37.040,47.160,T02,HIGGSFIELD_ONE_PASS,PRICING THE RISK,,P_RV004;P_RV015,12_SOURCE_PREP/RV004_ADOBE_HQ_SAN_JOSE.jpg;12_SOURCE_PREP/RV015_CONFIG_2023_KEYNOTE.jpg,RV001;RV012;RV049,YES,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G004 / B005 — 16:9 WHAT IT COST
SCENE PURPOSE: PRICING THE RISK
NARRATION MEANING: ""So the real story is not simply why regulators had concerns about Adobe buying Figma. It is how two companies priced the risk that the deal might never close""
ALLOWED GENERATED TEXT ONLY: ""PRICING THE RISK"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Split analytical layout: two clearly separated evidence/context zones, one dominant and one subordinate; headline placed in the cleanest negative-space zone; use thin rules or one red connector, never a busy flowchart.
SCENE: Dominant left zone: Adobe headquarters photo. Subordinate right zone: Figma Config stage photo. One thin red connector runs between them and bends toward a small blank paper tag at the center: the risk both companies priced. No handshake, no money.
INPUTS: RV004_ADOBE_HQ_SAN_JOSE.jpg; RV015_CONFIG_2023_KEYNOTE.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
PERSON PHOTO LOCK: attached portraits/event photos are unchanged photographic prints; do not alter face, expression, age, clothing, pose or crowd; do not add, duplicate or invent any person.
LEGAL/FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
G005,B006,S01,47.760,52.320,T04,HIGGSFIELD_ONE_PASS,THE RISK BECAME CASH,,D_RV063,12_SOURCE_PREP/RV063_10K_PAYMENT_CROP.png,RV063;RV064,NO,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G005 / B006 — 16:9 WHAT IT COST
SCENE PURPOSE: THE RISK BECAME CASH
NARRATION MEANING: ""and how that risk eventually became a real one-billion-dollar cash payment.""
ALLOWED GENERATED TEXT ONLY: ""THE RISK BECAME CASH"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Money/legal-number layout: one large exact status headline is the hero on the left; one supporting factual photo or authentic source crop on the right; one secondary element only; never imply a judgment, fine, verdict, or combined total not stated.
SCENE: Headline is the hero on the left. Right: the attached Adobe 10-K payment excerpt as a photographed crop on warm paper. One restrained red rule links headline to crop. No cash stacks, no vault, no currency.
INPUTS: RV063_10K_PAYMENT_CROP.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
G006,B011,S02,89.960,94.540,T02,HIGGSFIELD_ONE_PASS,HOW DIRECTLY DID THEY COMPETE?,,P_RV037;P_RV044,12_SOURCE_PREP/RV037_FIGMA_DEV_MODE_UI.png;12_SOURCE_PREP/RV044_ADOBE_XD_WORKFLOW_UI.png,RV037;RV044,NO,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G006 / B011 — 16:9 WHAT IT COST
SCENE PURPOSE: HOW DIRECTLY DID THEY COMPETE?
NARRATION MEANING: ""even though Adobe and Figma later disputed how directly their products competed.""
ALLOWED GENERATED TEXT ONLY: ""HOW DIRECTLY DID THEY COMPETE?"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Split analytical layout: two clearly separated evidence/context zones, one dominant and one subordinate; headline placed in the cleanest negative-space zone; use thin rules or one red connector, never a busy flowchart.
SCENE: Two unchanged product screenshots mounted on separate matte paper boards: Figma product left, Adobe XD documentation visual right, separated by a wide dark gap with a thin neutral bracket. Neither board overlaps or points at the other; the frame asks, it does not answer.
INPUTS: RV037_FIGMA_DEV_MODE_UI.png; RV044_ADOBE_XD_WORKFLOW_UI.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
G007,B013,S02,105.940,114.760,T04,HIGGSFIELD_ONE_PASS,HALF CASH / HALF STOCK,,D_RV048,12_SOURCE_PREP/RV048_8K_MERGER_AGREEMENT_CROP.png,RV047;RV048,NO,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G007 / B013 — 16:9 WHAT IT COST
SCENE PURPOSE: HALF CASH / HALF STOCK
NARRATION MEANING: ""The consideration was expected to be roughly half cash and half Adobe stock. But the agreement did not guarantee that the transaction would close.""
ALLOWED GENERATED TEXT ONLY: ""HALF CASH / HALF STOCK"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Money/legal-number layout: one large exact status headline is the hero on the left; one supporting factual photo or authentic source crop on the right; one secondary element only; never imply a judgment, fine, verdict, or combined total not stated.
SCENE: Headline hero left. Below it, two equal blank paper blocks side by side, one warm ivory and one cool grey, split by a thin red rule (cash / stock without symbols or numbers). Right: the attached 8-K merger-agreement excerpt as a small photographed crop.
INPUTS: RV048_8K_MERGER_AGREEMENT_CROP.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
G008,B014,S02,115.820,123.680,T06,HIGGSFIELD_ONE_PASS,CLOSING CONDITIONS,,P_RV004,12_SOURCE_PREP/RV004_ADOBE_HQ_SAN_JOSE.jpg,RV048;RV049,NO,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G008 / B014 — 16:9 WHAT IT COST
SCENE PURPOSE: CLOSING CONDITIONS
NARRATION MEANING: ""It still depended on regulatory approvals and other closing conditions. And by the time the public heard the twenty-billion-dollar headline,""
ALLOWED GENERATED TEXT ONLY: ""CLOSING CONDITIONS"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Chronology layout: one headline plus a simple horizontal or vertical timeline with 2-4 unlabeled nodes maximum; authentic source photo or crop as the visual anchor; no decorative map clutter.
SCENE: Horizontal path of three nodes: signed agreement (sharp paper-white), two open blank gate frames (approvals), and a distant outlined closing node that is not reached. Adobe headquarters photo as anchor upper-right. Conditional, not doomed.
INPUTS: RV004_ADOBE_HQ_SAN_JOSE.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
G009,B015,S02,124.300,130.120,T03,HIGGSFIELD_ONE_PASS,THE OTHER NUMBER,,D_RV047;D_RV049A,12_SOURCE_PREP/RV047_ANNOUNCEMENT_HEADLINE_CROP.png;12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,RV049,NO,"$1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G009 / B015 — 16:9 WHAT IT COST
SCENE PURPOSE: THE OTHER NUMBER
NARRATION MEANING: ""the contract already contained another number that would later become just as important. One billion dollars.""
ALLOWED GENERATED TEXT ONLY: ""THE OTHER NUMBER"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Quote/document layout: one large headline is the hero; attached authentic excerpt appears as a tight photographic crop, not a recreated document; surrounding papers stay blank.
SCENE: The attached announcement headline crop sits large and slightly out of focus behind. In the foreground, smaller but tack-sharp, the attached Section 8.2 fee excerpt with one red underline. Public headline vs. the other number inside the contract.
INPUTS: RV047_ANNOUNCEMENT_HEADLINE_CROP.png; RV049_S8_2_TERMINATION_FEE_CROP.png.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
LEGAL/FACT LOCK: $1B is contractual termination fee/liquidated damages, not government fine, court award or regulator invoice.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
G010,B017,S03,138.300,146.580,T01,HIGGSFIELD_ONE_PASS,BEFORE 2022,,P_RV013,12_SOURCE_PREP/RV013_FIGMA_FOUNDERS_ARCHIVAL.jpg,RV050,YES,"Preserve exact chronology, attribution and legal status.",BOTTOM_22_PERCENT_CLEAR,gpt_image_2,1k,low,16:9,0.5,"FINAL VIDEO FRAME — G010 / B017 — 16:9 WHAT IT COST
SCENE PURPOSE: BEFORE 2022
NARRATION MEANING: ""Adobe and Figma had discussed possible combinations before twenty twenty-two, but those earlier conversations did not produce a transaction.""
ALLOWED GENERATED TEXT ONLY: ""BEFORE 2022"". Do not generate any other readable words. Source-crop text may remain only if it is already present in the attached authentic crop.
STYLE: WHAT IT COST canonical final-frame style: premium investigative business documentary; charcoal/black textured background; warm aged-paper evidence layers; off-white distressed condensed headline; restrained deep-red underline/tab accents; tiny brass/black office hardware only when useful; realistic paper depth and film-grain; strong cinematic negative space; serious corporate/legal tone; no horror, no sensational crime-poster language, no neon, no dashboard/card-grid, no decorative clutter.
LAYOUT: Asymmetrical evidence layout: one dominant authentic source/photo panel on the right or upper-right; headline block on the left; at most one secondary paper layer; restrained red rule; large clean negative space.
SCENE: Dominant right: the attached archival Figma founders office photo as a slightly faded print pinned to charcoal. Left of it one blank paper card with a faint grey connector line that stops short of the print: earlier talks that produced no deal.
INPUTS: RV013_FIGMA_FOUNDERS_ARCHIVAL.jpg.
SOURCE FIDELITY: attached factual crops/photos are evidence, not inspiration. Preserve their subject and meaning. If an attached legal/document crop is shown, display it as an unchanged photographic crop inside the design; do NOT retype, redraw, summarize, invent, extend, or fabricate legal body text, headings, counts, seals, signatures, case numbers, dates or amounts.
PERSON PHOTO LOCK: attached portraits/event photos are unchanged photographic prints; do not alter face, expression, age, clothing, pose or crowd; do not add, duplicate or invent any person.
LEGAL/FACT LOCK: Preserve exact chronology, attribution and legal status.
SUBTITLE SAFE: bottom 22% of the entire frame must be dark, visually quiet and free of headline, quote, amount, face, evidence, source label, legal caveat, timeline endpoint or important object.
ONE-PASS RULES: final usable video frame, not a style board; max 1 hero idea + 1 support idea; max 2 generated text blocks; no pseudo-text; no fake documents; no duplicated hero; no random courthouse, gavel, scales, cash-stack, vault or regulator imagery unless demanded by this beat; logos only as attached unchanged identifiers; no subject leakage from style; no invented UI; no watermark; no borders; no post-generation repair should be required.",PROMPT_READY_PREP_INPUTS_REQUIRED_WHERE_LISTED
