beat_id,section,start,end,asset_id,url,source,editor_overlay,prep_mode,output_target,crop_instruction,final_treatment,rights,guardrail,status
B012,S02,95.480,104.940,RV047,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,DEAL ANNOUNCEMENT — ~$20B,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B012_RV047_DOCUMENT.png,Crop official Adobe acquisition announcement around headline and approximately $20B consideration language; preserve source/date context.,Hero paper upper-right; editor date tab SEPT 15 2022; no AI redraw.,Official Adobe press/news material; copyright retained unless stated otherwise. Documentary/editorial quotation only.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B016,S03,131.120,137.460,RV050,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,NEGOTIATION RECORD,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B016_RV050_DOCUMENT.png,"Crop 424B3 Background of the Merger area that establishes negotiation chronology; documentary bridge, not text wall.",Tight authentic paper excerpt with one source label.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B020,S03,162.140,169.340,RV050,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,JUNE 19 — $20B / NO TERMINATION FEE,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B020_RV050_DOCUMENT.png,Crop June 19 proposal paragraph showing $20B proposal and no termination fee in that proposal context.,Highlight verified June 19 lines only; summary/date outside source pixels.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B022,S03,180.280,189.880,RV051,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,JULY 5 — FIGMA PROPOSES REVERSE FEE,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B022_RV051_DOCUMENT.png,Crop July 5 paragraph establishing Figma's reverse-termination-fee proposal tied to antitrust approval failure.,Exact crop; one red bracket; no retyped body text.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B023,S03,189.880,197.260,RV052,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,JULY 20 — ADOBE AGREES TO $1B FEE,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B023_RV052_DOCUMENT.png,Crop July 20 paragraph establishing Adobe's revised proposal with $1B reverse termination fee.,Exact crop; date and $1B summary editor-built outside source pixels.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B030,S04,247.160,257.520,RV049,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,SECTION 8.2 — $1B / NOT A PENALTY,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B030_RV049_DOCUMENT.png,Crop Section 8.2 around termination-fee/liquidated-damages language and not-a-penalty distinction.,Large authentic crop; one verified-line highlight; no fake signature/seal.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B052,S07,427.380,437.920,RV059,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,EC STATEMENT OF OBJECTIONS — PRELIMINARY,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B052_RV059_DOCUMENT.png,Crop DG COMP post-case brief around Statement of Objections and preliminary-status explanation.,Exact EU-source crop; editor label PRELIMINARY; no final-prohibition styling.,European Commission-owned content — default CC BY 4.0 unless specific third-party/industrial-property exclusion; attribute EU/source and indicate changes.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B053,S07,438.820,443.920,RV056,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,CMA PROVISIONAL FINDINGS,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B053_RV056_DOCUMENT.png,Crop official CMA provisional-findings summary around provisional competition concerns.,Exact GOV.UK/CMA crop; editor label PROVISIONAL.,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B055,S07,454.040,463.360,RV057,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,CMA POSSIBLE REMEDIES,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B055_RV057_DOCUMENT.png,Crop Notice of Possible Remedies around prohibition/structural-remedy possibilities.,Exact PDF crop; editor label POSSIBLE REMEDIES; never imply adopted final remedy.,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B065,S08,545.440,555.500,RV058,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,ADOBE/FIGMA REMEDIES RESPONSE,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B065_RV058_DOCUMENT.png,Crop parties' response around their characterization of prohibition/divestiture direction.,Exact response crop with editor attribution PARTIES' POSITION.,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
B069,S09,582.720,592.620,RV062,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,MUTUAL TERMINATION — DEC 17 2023,TIGHT_AUTHENTIC_EXCERPT_CROP,12_SOURCE_PREP/B069_RV062_DOCUMENT.png,Crop Mutual Termination Agreement title/date and operative termination context.,"Exact SEC-hosted agreement crop; editor label MUTUAL TERMINATION, no court styling.",Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,Preserve source pixels/context; no AI redraw/retype; bottom 22% quiet.,SPEC_LOCKED_NOT_RENDERED
