crop_id,source_id,source_visual_id,target,document_locator,exact_editor_text_or_focus,beats,gfx_id,guardrail,status
DOC-001,S009,VSR-001,Internal messages,"Memorandum & Order pp.4–6 / Communications About the Steiners","We are going to crush this lady / take her down / now is the time","B017-B021","GFX-002;GFX-003","Keep speaker/date/source metadata; quotes do not prove later criminal authorization",READY
DOC-002,S009,VSR-001,FidoMaster escalation,"Memorandum & Order pp.5–6 / first Boston visit","FidoMaster / tap on the shoulder","B028-B030","GFX-002;GFX-004","Do not reveal victim address; use exact FidoMaster text editor-native",READY
DOC-003,S009,VSR-001,Wymer-to-Baugh escalation,"Memorandum & Order communications section","DONE / BURNED DOWN / Whatever it takes / STOPPED","B023-B026","GFX-003","Use only short exact excerpts with context; no guilt-stamping",READY
DOC-004,S002,VSR-002,GPS attempt,"DPA statement of facts ¶ sequence for Aug. 15–16 2019","attempted unsuccessfully to install a GPS tracking device","B039-B041","GFX-004;GFX-014","Never show attached/installed tracker",READY
DOC-005,S009,VSR-001,Summary judgment status,"Memorandum & Order final rulings + Wenig/Wymer analysis","reasonable jury could find / motions denied in part","B067-B078","GFX-007;GFX-012","Claim survival ≠ liability finding; no final verdict",READY
DOC-006,S003,VSR-003,Corporate charges,"Criminal Information opening/counts","six felony counts against eBay","B055-B056","GFX-006","Charge ≠ conviction; pair with DPA status",READY
DOC-007,S002,VSR-002,Corporate resolution,"DPA cover/terms","$3M criminal penalty / independent monitor / deferred prosecution","B057-B064","GFX-006;GFX-011","DPA ≠ conviction; criminal penalty separate from civil settlement",READY
DOC-008,S004,VSR-005,Seven guilty pleas,"DOJ final-defendant release","all seven federally prosecuted participants pleaded guilty","B048-B053","GFX-005","Do not imply all were convicted at trial",READY
DOC-009,S005,VSR-006,Sentences,"DOJ Baugh/Harville sentencing release","Baugh 57 months / Harville 24 months","B050-B051","GFX-005","Use exact individual sentence only",READY
DOC-010,S014,VSR-009,Settlement package,"July 27 2026 counsel announcement","$55.7M = $48.7M compensation + $7M charitable commitments","B087-B101","GFX-008;GFX-009;GFX-010;GFX-011","Settlement package ≠ judgment; not eBay-only payment",READY
DOC-011,S013,VSR-008,eBay apology/company position,"July 28 2026 eBay statement","apology + wrong/reprehensible conduct + unprofessional communications scope","B102-B103","GFX-003","Do not expand statement into admission that executives ordered crimes",READY
DOC-012,S015,VSR-010,First 2026 settlement,"Feb. 25 2026 report","settlement in principle / terms undisclosed","B081-B083","GFX-013","Reference-only; no Reuters body screenshot",READY
DOC-013,S016,VSR-011,Failed settlement,"June 17 2026 report","deal not finalized / case reopened / trial reset","B083-B085","GFX-013","Reference-only; no Reuters body screenshot",READY
