beat_id,section,start,end,narrative_job,production_route,template_id,frame_type,final_frame_content,exact_text,source_assets,subtitle_safe,short_ids,shorts_strategy,legal_guardrail
B001,S01,0.000,5.400,HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,T06,timeline,"Final WHAT IT COST source-styled still using NATICK_CENTER_2020_CC_BY_SA.jpg + SOUTH_NATICK_BACON_LIBRARY_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""MASSACHUSETTS — AUGUST 2019"". No empty placeholders and no separate later source layer.",MASSACHUSETTS — AUGUST 2019,NATICK_CENTER_2020_CC_BY_SA.jpg;SOUTH_NATICK_BACON_LIBRARY_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B002,S01,6.340,7.000,HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using COCKROACH_CC0.jpg + SPIDER_CC0.jpg + LARVAE_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""LIVE INSECTS"". No empty placeholders and no separate later source layer.",LIVE INSECTS,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B003,S01,7.760,8.660,HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,T03,document,"Final WHAT IT COST source-styled still using DC022_THREATENING_MESSAGES.png visibly in the image, composed in the locked premium documentary style with exact headline ""THREATENING MESSAGES"". No empty placeholders and no separate later source layer.",THREATENING MESSAGES,DC022_THREATENING_MESSAGES.png,BOTTOM_20_PERCENT_CLEAR,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B004,S01,9.480,10.480,HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using DOJ_FBI_PIG_MASK_AND_BOOK.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""A BLOODY PIG MASK"". No empty placeholders and no separate later source layer.",A BLOODY PIG MASK,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,BOTTOM_20_PERCENT_CLEAR,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Authentic evidence without horror/gore treatment.
B005,S01,11.160,21.760,HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using DC006_DELIVERIES_GPS_ATTEMPT.png + DC007_GPS_GARAGE_ATTEMPT.png + GENERIC_GPS_TRACKER_CC0.jpg + NATICK_CENTER_2020_CC_BY_SA.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED"". No empty placeholders and no separate later source layer.",GPS TRACKER ATTEMPT — INSTALLATION NOT ESTABLISHED,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,BOTTOM_20_PERCENT_CLEAR,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Tracker attempted; installation not established.
B006,S01,22.300,29.240,HOOK_CONSEQUENCE,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using EBAY_HQ_2018_CC_BY_SA.jpg + LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""EBAY SECURITY"". No empty placeholders and no separate later source layer.",EBAY SECURITY,EBAY_HQ_2018_CC_BY_SA.jpg;LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg,BOTTOM_20_PERCENT_CLEAR,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B007,S01,30.120,36.640,HOOK_CONSEQUENCE,HYBRID_SOURCE_EDITORIAL,T07,accountability,"Final branded source composite using DC011_SEVEN_GUILTY_DOJ.png as visible in-frame material plus deterministic labels/GFX for ""SEVEN GUILTY PLEAS"". Source and factual text must already be inside the delivered still.",SEVEN GUILTY PLEAS,DC011_SEVEN_GUILTY_DOJ.png,BOTTOM_20_PERCENT_CLEAR,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B008,S01,37.380,52.660,HOOK_CONSEQUENCE,HYBRID_SOURCE_EDITORIAL,T04,money,"Final branded source composite using DC015_DPA_CRIMINAL_PENALTY.png + DC016_DPA_COMPLIANCE_MONITOR.png + DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png + EBAY_HQ_2018_CC_BY_SA.jpg as visible in-frame material plus deterministic labels/GFX for ""$3M CRIMINAL PENALTY • INDEPENDENT MONITOR"". Source and factual text must already be inside the delivered still.",$3M CRIMINAL PENALTY • INDEPENDENT MONITOR,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,BOTTOM_20_PERCENT_CLEAR,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,DPA is not a conviction. $3M criminal DPA penalty is separate from the $55.7M civil settlement package.
B009,S01,53.280,61.640,HOOK_CONSEQUENCE,HYBRID_SOURCE_EDITORIAL,T04,money,"Final branded source composite using S020_D986_STIPULATION_DISMISSAL.pdf + EBAY_HQ_2018_CC_BY_SA.jpg as visible in-frame material plus deterministic labels/GFX for ""$55.7M SETTLEMENT PACKAGE"". Source and factual text must already be inside the delivered still.",$55.7M SETTLEMENT PACKAGE,S020_D986_STIPULATION_DISMISSAL.pdf;EBAY_HQ_2018_CC_BY_SA.jpg,BOTTOM_20_PERCENT_CLEAR,SH01,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B010,S01,61.640,73.980,HOOK_THESIS,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using EBAY_HQ_2018_CC_BY_SA.jpg + NATICK_CENTER_2020_CC_BY_SA.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""CRITICISM → SECURITY → CONSEQUENCE"". No empty placeholders and no separate later source layer.",CRITICISM → SECURITY → CONSEQUENCE,EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B011,S02,74.680,82.100,BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using DC018_CIVIL_COMPLAINT_COVER.png + EBAY_HQ_2018_CC_BY_SA.jpg + S009_D711_SUMMARY_JUDGMENT_ORDER.pdf visibly in the image, composed in the locked premium documentary style with exact headline ""ECOMMERCEBYTES • SINCE 1999"". No empty placeholders and no separate later source layer.",ECOMMERCEBYTES • SINCE 1999,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
