beat_id,route,style_lock,subtitle_safe,text_lock,legal_lock,accepted_beat_excluded,one_pass_reject_guard,overall
B002,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B003,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B005,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B009,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B010,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B011,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B012,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B013,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B014,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B015,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B016,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B017,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B019,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B020,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B021,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B022,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B023,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B024,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B025,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B026,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B027,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B028,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B029,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B030,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B031,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B032,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B033,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B035,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B036,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B037,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B038,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B039,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B040,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B042,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B043,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B044,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B045,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B046,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B047,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B049,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B050,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B051,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B052,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B053,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B054,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B055,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B056,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B057,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B058,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B059,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B060,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B061,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B063,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B064,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B065,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B066,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B067,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B068,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B069,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B070,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B071,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B072,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B073,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B074,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B075,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B076,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B078,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B079,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B080,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B081,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B082,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B083,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B084,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B085,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B086,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B087,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B088,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B089,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B090,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B091,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B092,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B093,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B094,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B095,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B096,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B097,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B098,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B099,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
