prep_id,asset_id,asset_class,usable,url,source,output_file,prep_mode,prep_instruction,rights_note,used_by_slots,status
P_RV001,RV001,REAL-PHOTO,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Shantanu_Narayen_-_the_CEO_of_Adobe_Inc.jpg,Wikimedia Commons / Brian Cummings Photography,12_SOURCE_PREP/RV001_NARAYEN_PORTRAIT.jpg,SELECT_CROP_UNCHANGED,Clean head-and-shoulders crop of the Wikimedia portrait; no retouch.,CC BY-SA 4.0 — attribution + indicate changes + share-alike for adaptations.,G012,PREP_REQUIRED_BEFORE_GENERATION
P_RV004,RV004,REAL-PHOTO,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Adobe_World_Headquarters.jpg,Wikimedia Commons / Coolcaesar,12_SOURCE_PREP/RV004_ADOBE_HQ_SAN_JOSE.jpg,SELECT_CROP_UNCHANGED,Wide exterior crop of Adobe San Jose headquarters; keep towers readable; no retouch.,CC BY-SA 4.0 — attribution + indicate changes + share-alike for adaptations.,G004;G008;G015;G045;G054;G058,PREP_REQUIRED_BEFORE_GENERATION
P_RV009,RV009,REAL-PHOTO,YES_EDITORIAL,https://blog.adobe.com/en/publish/2022/10/21/uk-adobe-max-unveils-dynamic-digital-future,Adobe Blog,12_SOURCE_PREP/RV009_NARAYEN_MAX_2022_STAGE.jpg,SELECT_CROP_UNCHANGED,Stage-wide crop of Adobe MAX 2022 keynote; person unchanged.,Official Adobe MAX event image. Official Adobe page/image; copyright retained unless separately licensed. Documentary/editorial use only; minimal necessary use and source retained.,G023;G041,PREP_REQUIRED_BEFORE_GENERATION
P_RV012,RV012,REAL-PHOTO,YES_EDITORIAL,https://fig-events.figma.com/make-and-meet-dc/,Figma Events,12_SOURCE_PREP/RV012_FIELD_PORTRAIT.jpg,SELECT_CROP_UNCHANGED,Clean identity crop of Dylan Field; person unchanged.,Official Figma speaker portrait. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G014;G041,PREP_REQUIRED_BEFORE_GENERATION
P_RV013,RV013,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/7-moments-that-shaped-figma/,Figma Blog,12_SOURCE_PREP/RV013_FIGMA_FOUNDERS_ARCHIVAL.jpg,SELECT_CROP_UNCHANGED,Archival office photo crop; persons unchanged.,Official Figma archival photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G010,PREP_REQUIRED_BEFORE_GENERATION
P_RV015,RV015,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/config-2023-recap/,Figma Blog / Config,12_SOURCE_PREP/RV015_CONFIG_2023_KEYNOTE.jpg,SELECT_CROP_UNCHANGED,Config 2023 keynote stage-wide crop; persons unchanged.,Official Config event imagery. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G004;G068,PREP_REQUIRED_BEFORE_GENERATION
P_RV016,RV016,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/config-2023-recap/,Figma Blog / Config,12_SOURCE_PREP/RV016_CONFIG_2023_CROWD.jpg,SELECT_CROP_UNCHANGED,Event-wide crowd crop; no individual face as hero.,Official Config event imagery. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G024,PREP_REQUIRED_BEFORE_GENERATION
P_RV018,RV018,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/figma-ipo-founder-letter/,Figma Blog,12_SOURCE_PREP/RV018_FIELD_IPO_ERA.jpg,SELECT_CROP_UNCHANGED,IPO-era portrait crop; person unchanged.,Official IPO/founder image. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G075,PREP_REQUIRED_BEFORE_GENERATION
P_RV019,RV019,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,12_SOURCE_PREP/RV019_NYSE_FIGMA_BANNER.jpg,SELECT_CROP_UNCHANGED,NYSE facade with Figma banner; crowd secondary.,Official IPO event photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G070,PREP_REQUIRED_BEFORE_GENERATION
P_RV020,RV020,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,12_SOURCE_PREP/RV020_NYSE_FIGMA_STREET.jpg,SELECT_CROP_UNCHANGED,Street-level NYSE / Figma Commons scene.,Official IPO event photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G072,PREP_REQUIRED_BEFORE_GENERATION
