beat_id,spoken_text,narrative_job,production_route,current_or_corrected_sources,semantic_status,issue,corrected_source_plan,model_input_policy,style_policy,subtitle_lock
B001,"In August twenty nineteen, a couple in Massachusetts began receiving things that made no sense.",HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,NATICK_CENTER_2020_CC_BY_SA.jpg;SOUTH_NATICK_BACON_LIBRARY_CC0.jpg,PASS,,Current factual source package belongs to the locked narration line.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B002,Live insects.,HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg,PASS,,Current factual source package belongs to the locked narration line.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B003,Threatening messages.,HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,DC022_THREATENING_MESSAGES.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B004,A bloody pig mask.,HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,PASS,,Current factual source package belongs to the locked narration line.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B005,"And eventually, people connected to the campaign were watching them in person and trying to put a G-P-S tracker on their car. At first glance, this sounds like an internet stalking story.",HOOK_EVIDENCE,SOURCE_STYLED_GENERATION,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B006,"But the people behind it were not anonymous trolls. They worked in, or with, the security organization of eBay.",HOOK_CONSEQUENCE,SOURCE_STYLED_GENERATION,EBAY_HQ_2018_CC_BY_SA.jpg;LIVE_EBAY_HQ_COMMUNITY_BUILDING_2006_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B007,All seven former employees and contractors who were federally prosecuted over the campaign later pleaded guilty.,HOOK_CONSEQUENCE,HYBRID_SOURCE_EDITORIAL,DC011_SEVEN_GUILTY_DOJ.png,PASS_PREP_REQUIRED,Correct semantic source; Test10 proved current crop is too text-dense.,Use one new tight DOJ excerpt crop proving all seven prosecuted participants pleaded guilty.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B008,"Years later, prosecutors filed criminal charges against eBay itself. The company entered a deferred prosecution agreement, admitted a detailed factual account, paid a three-million-dollar criminal penalty, and accepted an independent compliance monitor.",HOOK_CONSEQUENCE,HYBRID_SOURCE_EDITORIAL,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,PASS_PREP_REQUIRED,Correct DPA sources; Test10 proved multi-paragraph crops contaminate the frame.,"Use separate tiny prepared excerpts for $3M penalty, independent monitor and admitted facts; no full page.",PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B009,"And in July twenty twenty-six, the civil case ended in an announced settlement package worth fifty-five-point-seven million dollars.",HOOK_CONSEQUENCE,HYBRID_SOURCE_EDITORIAL,EBAY_HQ_2018_CC_BY_SA.jpg,PREP_REQUIRED,HQ photo is context only; dismissal filing S020 does not itself prove the $55.7M allocation.,Use an editor-built verified settlement fact strip sourced to S014/S017/S018; never present S020 as the amount source.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B010,But the strangest part is not what arrived at the front door. It is how criticism of a company became a security problem inside that company — and how the consequences kept growing long after the harassment stopped.,HOOK_THESIS,SOURCE_STYLED_GENERATION,EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B011,"Ina and David Steiner ran EcommerceBytes, an independent publication covering online commerce since nineteen ninety-nine.",BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B012,"The scale mismatch was obvious: an independent trade publication on one side, a global marketplace on the other.",BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B013,"But the Steiners covered eBay's world closely — sellers, marketplace rules, executive decisions, and the complaints of people who depended on platforms like eBay.",BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B014,"By spring twenty nineteen, a later federal court record shows that EcommerceBytes had become an increasing source of frustration for people inside eBay's leadership.",BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg,PREP_REQUIRED,Narration invokes the later federal-court record; complaint cover/HQ are context but not the exact evidence.,Prepare a tight S009 court excerpt for the spring-2019 frustration point; keep HQ only as context.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B015,The Steiners were not business rivals trying to take eBay's customers. They were publishers criticizing the company and giving readers a place to criticize it too.,BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B016,Companies face criticism every day. The real question is how criticism from two publishers became something people inside eBay's security organization were expected to solve.,BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B017,"The internal messages are where the story changes. In April twenty nineteen, Steve Wymer — eBay's communications chief — sent then-C-E-O Devin Wenig a message about an Ina Steiner article.",INTERNAL_EVIDENCE,SOURCE_STYLED_GENERATION,DC001_CRUSH_THIS_LADY.png;LIVE_DEVIN_WENIG_COMMONS.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B018,His words were: “We are going to crush this lady.”,INTERNAL_EVIDENCE,SOURCE_NATIVE_EDITORIAL,DC001_CRUSH_THIS_LADY.png,PASS_PREP_REQUIRED,Quote source is correct; Test10 failure was style-reference content leakage.,Quote crop is the only factual subject. Use new neutral style ref only; no pig mask/insects/GPS/HQ.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B019,"Weeks later, according to the federal court record, Wenig told Wymer to “take her down.”",INTERNAL_EVIDENCE,SOURCE_NATIVE_EDITORIAL,DC003_TAKE_HER_DOWN.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
