beat_id,source_ids,claim_ids,source_doc,photo,archive_web,map,editor_graphic,reconstruction,gap_id
B001,S001;S009,C010,NO,NO,NO,NO,NO,NO,GAP-004
B002,S001;S009;S012,C010,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,GAP-005
B003,S001;S009;S012,C010,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,GAP-005
B004,S001;S009;S012,C010,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,GAP-005
B005,S009;S001,C012,NO,NO,NO,YES,YES,NO,GAP-004
B006,S001;S009,C002,NO,YES,NO,NO,NO,NO,GAP-002
B007,S004,C016,YES,NO,NO,NO,YES,NO,
B008,S001;S002;S003;S012,C019,YES,NO,NO,NO,YES,NO,
B009,S014;S017;S018;S013,C028,YES,NO,NO,NO,YES,NO,
B010,S009;S001,C003,NO,NO,NO,NO,NO,NO,
B011,S009,C001,NO,YES,YES,NO,NO,NO,GAP-001
B012,S009,C001,NO,YES,YES,NO,NO,NO,GAP-001
B013,S009,C001,NO,YES,YES,NO,NO,NO,GAP-001
B014,S009,C003,YES,NO,NO,NO,YES,NO,
B015,S009,C001,NO,YES,YES,NO,NO,NO,GAP-001
B016,S009,C003,NO,YES,YES,NO,NO,NO,GAP-001
B017,S009,C004,YES,YES,NO,NO,YES,NO,GAP-003
B018,S009,C004,YES,NO,NO,NO,YES,NO,GAP-003
B019,S009,C005,YES,NO,NO,NO,YES,NO,GAP-003
B020,S009,C005,YES,NO,NO,NO,YES,NO,GAP-003
B021,S009,C005;C022,NO,NO,NO,NO,YES,NO,
B022,S009,C022,YES,NO,NO,NO,YES,NO,GAP-003
B023,S009,C008,YES,NO,NO,NO,YES,NO,GAP-003
B024,S009,C003,NO,YES,NO,NO,NO,NO,
B025,S009,C006,YES,NO,NO,NO,YES,NO,GAP-003
B026,S009,C006,NO,NO,NO,NO,YES,NO,
B027,S009,C002;C003,NO,NO,NO,NO,NO,NO,
B028,S009,C007,NO,YES,NO,YES,YES,NO,GAP-004
B029,S009,C007,NO,NO,NO,YES,YES,YES_LABELLED_RECONSTRUCTION_TEXT_OVERLAY_EDITOR_NATIVE,GAP-006
B030,S009,C007,YES,NO,NO,NO,YES,NO,GAP-003
B031,S009,C003;C008;C009,NO,YES,NO,NO,NO,NO,
B032,S009;S001;S002,C009,NO,NO,NO,NO,YES,NO,
B033,S009;S001,C009,NO,NO,NO,NO,YES,NO,
B034,S001;S009;S012,C010,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,GAP-005
B035,S001;S009,C011,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_NO_FAKE_SOURCE_UI,GAP-005
B036,S001;S009,C010;C011,NO,NO,NO,NO,NO,NO,
B037,S009;S001,C009;C010;C011,NO,YES,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_GENERIC_NO_IDENTIFIABLE_ACTOR_CLAIMS,
B038,S009,C012,NO,NO,NO,YES,YES,YES_LABELLED_RECONSTRUCTION_GENERIC_NO_IDENTIFIABLE_ACTOR_CLAIMS,GAP-004
B039,S009;S001;S005,C012,YES,NO,NO,YES,YES,YES_LABELLED_RECONSTRUCTION_ATTEMPT_ONLY_NO_INSTALLED_TRACKER,GAP-007
B040,S009,C012,NO,NO,NO,NO,YES,YES_LABELLED_RECONSTRUCTION_ATTEMPT_ONLY_NO_INSTALLED_TRACKER,GAP-007
B041,S009,C013,NO,NO,NO,YES,YES,YES_LABELLED_RECONSTRUCTION_GENERIC_NO_IDENTIFIABLE_ACTOR_CLAIMS,GAP-004
