package_id,beats,timecode,asset,source_ids,display_mode,source_label,guardrail,rights
DOC14-001,B017-B018,02:11.060-02:26.920,DC001_CRUSH_THIS_LADY.png,S009,AUTHENTIC_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS.,Quote is not proof of later criminal authorization.,PUBLICATION_SAFE_WITH_SOURCE_CONTEXT
DOC14-002,B019,02:27.600-02:32.740,DC003_TAKE_HER_DOWN.png,S009,AUTHENTIC_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS.,Pair later with no-direct-Baugh counterweight.,PUBLICATION_SAFE_WITH_SOURCE_CONTEXT
DOC14-003,B020,02:33.580-02:39.860,DC004_NOW_IS_THE_TIME.png,S009,AUTHENTIC_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS.,Do not imply this message alone ordered later crimes.,PUBLICATION_SAFE_WITH_SOURCE_CONTEXT
DOC14-004,B023,03:00.260-03:09.800,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,S009,TIGHT_EDITOR_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS.,Use only verified Whatever it takes passage plus minimal context.,FEDERAL_COURT_TEXT
DOC14-005,B025-B026,03:14.950-03:35.980,DC002_OFF_THE_RADAR.png,S009,AUTHENTIC_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS.,Not a finding Jones knew the later criminal plan.,PUBLICATION_SAFE_WITH_SOURCE_CONTEXT
DOC14-006,B028-B030,03:39.200-04:12.480,DC005_FIDOMASTER_JUNE8.png,S003,AUTHENTIC_CROP,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,Exact June 8 date comes from S003.,DOJ_US_GOV_TEXT
DOC14-007,B032,04:23.740-04:33.040,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,S009,TIGHT_EDITOR_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS.,Show only Aug 6 planning passage.,FEDERAL_COURT_TEXT
DOC14-008,B003;B034-B036,00:07.760-05:08.420,DC022_THREATENING_MESSAGES.png,S001;S009;S012,AUTHENTIC_CROP,SOURCE: FEDERAL RECORD,Protect personal identifiers and do not invent message text.,SOURCE_DOCUMENT_WITH_GUARDRAILS
DOC14-009,B035,04:54.220-05:00.920,DC021_CRAIGSLIST_HARASSMENT.png,S001;S009,AUTHENTIC_CROP,SOURCE: FEDERAL RECORD,Do not expose address/contact details.,SOURCE_DOCUMENT_WITH_GUARDRAILS
DOC14-010,B039-B040,05:28.940-05:49.320,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png,S009;S003,AUTHENTIC_CROPS,SOURCE: FEDERAL COURT / DOJ RECORD,ATTEMPTED — INSTALLATION NOT ESTABLISHED.,PUBLICATION_SAFE_WITH_SOURCE_CONTEXT
DOC14-011,B042-B045,05:56.860-06:34.160,DC023_OBSTRUCTION_DELETION.png,S001;S002;S003,AUTHENTIC_CROP,SOURCE: DOJ / DPA RECORD,No invented police UI or deleted-file screen.,PUBLICATION_SAFE_WITH_SOURCE_CONTEXT
DOC14-012,B048-B053;B108,06:56.540-15:00.400,DC011_SEVEN_GUILTY_DOJ.png,S004,AUTHENTIC_SOURCE_PAGE_CROP,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,All seven prosecuted participants pleaded guilty.,DOJ_US_GOV_TEXT
DOC14-013,B050-B051,07:10.420-07:29.880,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,S005,AUTHENTIC_SOURCE_PAGE_CROP,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,Baugh 57 months / Harville 24 months exactly.,DOJ_US_GOV_TEXT
DOC14-014,B055-B060,07:57.340-08:44.080,S003_EBAY_CRIMINAL_INFORMATION.pdf,S003,AUTHENTIC_DOCUMENT_CROP,SOURCE: U.S. ATTORNEY’S OFFICE • JAN. 2024,Information/charges ≠ conviction; no AI-redrawn body text.,DOJ_US_GOV_TEXT
DOC14-015,B057-B064;B109,08:16.900-15:11.140,DC015_DPA_CRIMINAL_PENALTY.png,S002;S001;S012,AUTHENTIC_CROP,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,DPA ≠ conviction; $3M separate from civil settlement.,US_GOV_SOURCE_WITH_GUARDRAILS
DOC14-016,B058-B064;B109,08:20.300-15:11.140,DC016_DPA_COMPLIANCE_MONITOR.png,S002;S001;S012,AUTHENTIC_CROP,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,3-year monitor; do not imply criminal judgment.,US_GOV_SOURCE_WITH_GUARDRAILS
DOC14-017,B062-B064,08:49.300-09:15.980,DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,S002;S001;S012,AUTHENTIC_CROP,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,Preserve DPA posture.,US_GOV_SOURCE_WITH_GUARDRAILS
DOC14-018,B011-B016;B067,01:14.680-09:34.500,DC018_CIVIL_COMPLAINT_COVER.png,S010;S011,AUTHENTIC_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS.,Complaint allegations are not findings.,SOURCE_DOCUMENT_WITH_GUARDRAILS
DOC14-019,B068-B080;B104,09:35.640-14:29.060,DC010_SUMMARY_JUDGMENT_ORDER.png,S009,AUTHENTIC_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS. • 2025,Surviving claim ≠ liability; PFC ruling remains distinct.,FEDERAL_COURT_TEXT
DOC14-020,B072-B074,10:09.660-10:50.940,DC008_WENIG_NO_DIRECT_BAUGH.png,S009,AUTHENTIC_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS.,Pair with reasonable-jury standard and attributed defense position.,FEDERAL_COURT_TEXT
DOC14-021,B075-B076,10:52.280-11:07.640,DC009_WYMER_REASONABLE_JUROR.png,S009,AUTHENTIC_CROP,SOURCE: U.S. DISTRICT COURT • D. MASS.,Potential jury interpretation; not adjudicated liability.,FEDERAL_COURT_TEXT
DOC14-022,B086-B101;B110-B111,12:32.940-15:26.520,S020_D986_STIPULATION_DISMISSAL.pdf,S020,EDITOR_RECREATION_FROM_PRIMARY,COURT FILING • JULY 27 2026,Filing proves dismissal/finality not settlement allocation.,RIGHTS_REVIEW_EDITOR_RECREATE
DOC14-023,B102-B103;B114-B115,14:04.600-15:56.920,S013_EBAY_2026_SETTLEMENT_STATEMENT_REFERENCE.html,S013,EDITOR_RECREATION_FROM_SOURCE,EBAY STATEMENT • JULY 2026,Reference-only page; typeset verified wording; no default screenshot.,COPYRIGHTED_FIRST_PARTY_REFERENCE_ONLY
