event_id,date,case_name,docket_number,court_or_agency,event_type,party,description,outcome,source_id,appeal_status,current_status,notes
E001,1999,Background,,,PUBLICATION_FOUNDING,Ina and David Steiner,Steiners begin the publication later known as EcommerceBytes.,Long-running e-commerce trade publication established.,S009,,ESTABLISHED,
E002,2019-04-10,Pre-campaign,,,EXECUTIVE_COMMUNICATION,Steve Wymer / Devin Wenig,Wymer texts Wenig 'We are going to crush this lady' about an Ina Steiner compensation article.,Escalating executive hostility documented.,S009,,ESTABLISHED,
E003,2019-05-23,Pre-campaign,,,EXECUTIVE_SECURITY_MEETING,Wendy Jones / Jim Baugh,Jones asks Baugh where he is on the issue and tells him to deal with it 'off the radar' and that she does not want details.,Security response proceeds with limited-detail instruction.,S009,,ESTABLISHED,
E004,2019-05-31,Pre-campaign,,,EXECUTIVE_COMMUNICATION,Devin Wenig / Steve Wymer,Wenig texts Wymer 'take her down' regarding Ina Steiner; related messages discuss whether Baugh should proceed.,Issue continues moving toward security team.,S009,,ESTABLISHED,
E005,2019-06,Pre-campaign,,,FIRST_BOSTON_VISIT,Brian Gilbert,"After Baugh directs a Boston trip, Gilbert surveils the Steiners and graffities 'FidoMaster' on their fence.",Physical operation precedes August campaign.,S009,,ESTABLISHED,Court order describes timing as roughly a week after May 31; exact date not needed unless later sourced.
E006,2019-08-01,Pre-campaign,,,EXECUTIVE_COMMUNICATION,Devin Wenig / Steve Wymer / Jim Baugh,"Wenig tells Wymer that if they are ever going to take Ina Steiner down, now is the time; Wymer replies 'On it' and later sends escalating messages to Baugh.",Immediate lead-in to operational planning.,S009,,ESTABLISHED,
E007,2019-08-06,2019 harassment campaign,,,OPERATION_PLANNING,Jim Baugh and security team,"Baugh holds two meetings to plan the operation against the Steiners, including online harassment and disturbing deliveries.",Operational phase begins.,S009,,ESTABLISHED,
E008,2019-08-07,2019 harassment campaign,,,EXECUTIVE_SECURITY_MEETING,Steve Wymer / Jim Baugh,"Baugh meets with Wymer; according to the summary-judgment record, Wymer stresses that the conduct must stop the Steiners and says Baugh has top-level support if legal problems arise.",Further executive-security contact immediately before escalation.,S009,,ESTABLISHED,Use careful wording: underlying account includes Baugh deposition testimony.
E009,2019-08-05 to 2019-08-23,2019 harassment campaign,,,HARASSMENT_CAMPAIGN,Baugh security team,"Threatening messages, disturbing deliveries, Craigslist posts and related intimidation target the Steiners.",Sustained harassment campaign.,S001,,ADMITTED_BY_EBAY,
E010,2019-08-15,2019 harassment campaign,,,SURVEILLANCE,Baugh / Harville / Zea,"Team travels to Natick and attempts to install a GPS tracker on the Steiners' vehicle, followed by surveillance and following them by car.",Physical surveillance phase.,S009,,ESTABLISHED,
